年度(昭和・平成・令和),地域,事業費a(億円),用地費ｂ(億円),ｂ／ａ(%),買収面積(千m2),1m2単価(万円)
22,区部,414.7,191.2,46.1,20.4,93.7
22,多摩,233.7,69.9,29.9,24.9,28.1
22,島しょ,19.8,0.5,2.5,2.2,2.3
22,計,668.2,261.6,39.1,47.5,55.1
23,区部,445.6,187.8,42.1,27.1,69.3
23,多摩,334.1,136.4,40.8,58.5,23.3
23,島しょ,20.7,0.7,3.4,3.2,2.2
23,計,800.4,324.9,40.6,88.8,36.6
24,区部,510,279.8,54.9,26.3,106.4
24,多摩,296.9,116.4,39.2,51.4,22.6
24,島しょ,10.3,0.8,7.7,3.6,2.2
24,計,817.2,397,48.6,81.3,48.8
25,区部,526.8,297.3,56.4,25.4,117.3
25,多摩,206.6,68.2,33,40.2,17
25,島しょ,9.3,0.6,6.4,1.1,5.6
25,計,742.6,366.1,49.3,66.6,54.9
26,区部,404.9,160.1,39.5,33.7,47.6
26,多摩,208.7,73.3,35.1,40.5,18.1
26,島しょ,13.1,0.5,4.1,1.4,3.8
26,計,626.7,233.9,37.3,75.6,30.9
27,区部,493.3,227.3,46.1,30.9,73.6
27,多摩,210,78.8,37.5,35,22.5
27,島しょ,12,0.6,5.3,3.4,1.9
27,計,715.3,306.7,42.9,69.3,44.3
28,区部,457.2,214.5,46.9,35.5,60.4
28,多摩,169.1,65.5,38.7,35.6,18.4
28,島しょ,7.6,0.5,6.3,5.1,0.9
28,計,633.9,280.5,44.2,76.3,36.8
29,区部,478.4,227.8,47.6,35,65.1
29,多摩,162.5,60,36.9,40.3,14.9
29,島しょ,9.8,0.4,4.1,3.2,1.3
29,計,650.7,288.2,44.3,78.5,36.7
30,区部,540.7,310.4,57.4,39.5,78.6
30,多摩,171.4,59.7,34.8,29.7,20.1
30,島しょ,5.5,0.3,5.5,1.9,1.6
30,計,717.6,370.4,51.6,71.1,52.1
31,区部,569,292.6,51.4,44.5,65.8
31,多摩,174.7,66.8,38.2,27.4,24.4
31,島しょ,9.4,0.4,4.3,3.2,1.3
31,計,753.1,359.8,47.8,75.1,47.9
2,区部,679.8,404.4,59.5,33.3,121.4
2,多摩,212.9,92.6,43.5,39.8,23.3
2,島しょ,8.7,0.8,9.2,5.5,1.5
2,計,901.4,497.8,55.2,78.6,63.3
3,予算／区部,878.2,425.4,48.4,66.4,64.1
3,予算／多摩,299.6,97.8,32.6,61.1,16
3,予算／島しょ,18,1.6,8.9,10.3,1.6
3,予算／計,1195.8,524.8,43.9,137.8,38.1
4,予算／区部,977.4,445.3,45.6,65.7,67.8
4,予算／多摩,295.4,98.8,33.4,59.7,16.5
4,予算／島しょ,13.3,0.7,5.3,9.7,0.7
4,予算／計,1286.1,544.8,42.4,135.1,40.3
