区分,平成２０年度／空き家率／全体（％）,平成２０年度／空き家率／二次的（％）,平成２０年度／空き家率／賃貸用（％）,平成２０年度／空き家率／売却用（％）,平成２０年度／空き家率／その他（％）,平成２０年度／住宅総数（戸数）,平成２５年度／空き家率／全体（％）,平成２５年度／空き家率／二次的（％）,平成２５年度／空き家率／賃貸用（％）,平成２５年度／空き家率／売却用（％）,平成２５年度／空き家率／その他（％）,平成２５年度／住宅総数（戸数）
区部＿板橋区,11.6 ,0.2 ,7.6 ,0.6 ,3.2 ,279420,11.4 ,0.1 ,8.8 ,0.6 ,1.8 ,305370
区部＿練馬区,10.0 ,0.2 ,7.1 ,0.4 ,2.2 ,334410,9.5 ,0.1 ,7.0 ,0.4 ,2.0 ,380910
区部＿足立区,12.5 ,0.3 ,9.3 ,1.1 ,1.9 ,310590,9.7 ,0.1 ,6.9 ,0.5 ,2.2 ,362950
区部＿葛飾区,11.8 ,0.2 ,7.7 ,0.7 ,3.3 ,204660,11.1 ,0.1 ,8.5 ,0.7 ,1.9 ,224480
区部＿江戸川区,9.5 ,0.1 ,6.8 ,0.5 ,2.2 ,314690,10.9 ,0.1 ,7.4 ,0.5 ,2.9 ,346710
区部＿区部計,11.3 ,0.2 ,7.4 ,0.8 ,2.9 ,4801080,11.2 ,0.2 ,8.1 ,0.8 ,2.2 ,5246470
市部＿八王子市,10.7 ,0.1 ,7.8 ,0.9 ,1.9 ,260340,10.3 ,0.1 ,7.6 ,0.5 ,2.1 ,281300
市部＿立川市,10.2 ,0.4 ,7.1 ,1.0 ,1.7 ,85970,10.8 ,0.0 ,8.3 ,0.5 ,1.9 ,83760
市部＿武蔵野市,8.9 ,0.1 ,7.0 ,0.2 ,1.6 ,76380,14.1 ,0.4 ,10.8 ,0.5 ,2.4 ,82930
市部＿三鷹市,12.4 ,0.1 ,7.2 ,0.5 ,4.7 ,96100,11.1 ,0.0 ,8.0 ,1.3 ,1.8 ,97820
市部＿青梅市,10.5 ,0.8 ,4.9 ,0.3 ,4.5 ,58570,13.2 ,0.3 ,8.4 ,2.3 ,2.3 ,57500
市部＿府中市,11.0 ,0.6 ,6.0 ,0.7 ,3.7 ,120450,12.0 ,0.1 ,10.1 ,0.5 ,1.2 ,129130
市部＿昭島市,9.4 ,0.4 ,6.6 ,0.3 ,2.1 ,51170,11.7 ,0.1 ,8.0 ,0.8 ,2.8 ,54080
市部＿調布市,10.4 ,0.3 ,6.4 ,0.4 ,3.3 ,115750,11.9 ,0.1 ,9.8 ,0.6 ,1.5 ,123790
市部＿町田市,8.6 ,0.3 ,6.4 ,1.3 ,0.6 ,187500,7.7 ,0.2 ,6.1 ,0.4 ,1.1 ,224120
市部＿小金井市,9.9 ,0.6 ,7.7 ,0.6 ,1.0 ,58750,11.8 ,0.1 ,9.4 ,0.3 ,1.9 ,64630
市部＿小平市,11.6 ,0.1 ,8.9 ,0.9 ,1.8 ,86760,11.6 ,0.1 ,8.6 ,0.5 ,2.3 ,93650
市部＿日野市,11.6 ,0.1 ,8.0 ,1.6 ,1.9 ,87720,12.8 ,0.0 ,10.0 ,1.0 ,1.7 ,90340
市部＿東村山市,10.4 ,0.1 ,6.6 ,1.1 ,2.6 ,68970,9.9 ,0.3 ,6.6 ,0.6 ,2.4 ,71910
市部＿国分寺市,9.5 ,0.2 ,7.1 ,0.5 ,1.8 ,63700,12.1 ,0.2 ,9.8 ,0.2 ,1.8 ,70060
市部＿国立市,12.7 ,0.6 ,9.0 ,0.6 ,2.5 ,38850,12.7 ,0.1 ,10.0 ,0.5 ,2.2 ,41650
市部＿福生市,14.4 ,0.2 ,10.7 ,0.7 ,2.8 ,30540,12.7 ,0.1 ,10.1 ,0.2 ,2.3 ,29820
市部＿狛江市,9.7 ,0.0 ,7.5 ,0.2 ,2.0 ,42890,11.5 ,0.1 ,9.8 ,0.2 ,1.3 ,44620
市部＿東大和市,10.7 ,0.2 ,6.3 ,0.6 ,3.6 ,35920,11.9 ,0.3 ,9.4 ,0.5 ,1.7 ,39160
市部＿清瀬市,9.6 ,0.3 ,6.6 ,0.3 ,2.4 ,34630,9.9 ,0.0 ,7.3 ,0.6 ,2.0 ,36660
市部＿東久留米市,10.7 ,0.1 ,5.6 ,0.3 ,4.8 ,54280,9.2 ,0.1 ,6.5 ,2.4 ,0.2 ,54770
市部＿武蔵村山市,12.2 ,0.2 ,9.8 ,0.2 ,2.0 ,32000,11.5 ,0.6 ,7.9 ,0.4 ,2.7 ,30160
市部＿多摩市,7.5 ,0.1 ,5.0 ,0.2 ,2.2 ,71780,9.6 ,0.4 ,7.6 ,1.0 ,0.7 ,73860
市部＿稲城市,8.1 ,0.1 ,6.1 ,0.5 ,1.4 ,34170,8.5 ,0.1 ,6.7 ,0.5 ,1.1 ,39080
市部＿羽村市,11.0 ,0.9 ,7.4 ,0.3 ,2.4 ,25390,11.5 ,0.4 ,9.5 ,0.2 ,1.4 ,26730
市部＿あきる野市,10.5 ,0.4 ,6.3 ,0.6 ,3.1 ,30810,10.5 ,0.6 ,6.0 ,0.5 ,3.3 ,33570
市部＿西東京市,9.3 ,0.2 ,5.5 ,0.6 ,3.0 ,92270,9.3 ,0.2 ,7.2 ,0.3 ,1.7 ,96700
市部＿市部計,10.3 ,0.2 ,7.0 ,0.7 ,2.4 ,1941620,10.8 ,0.2 ,8.3 ,0.6 ,1.8 ,2071730
合計,11.0 ,0.2 ,7.3 ,0.8 ,2.8 ,6742700,11.1 ,0.2 ,8.2 ,0.7 ,2.0 ,7318200

