区分,平成29年－平成28年計／床面積（千m2）,平成29年－平成28年計／増減率（％）,平成29年－平成28年住宅・アパート／床面積（千m2）,平成29年－平成28年住宅・アパート／増減率（％）,平成29年－平成28年事務所・店舗等／床面積（千m2）,平成29年－平成28年事務所・店舗等／増減率（％）,平成29年－平成28年工場・倉庫／床面積（千m2）,平成29年－平成28年工場・倉庫／増減率（％）,平成29年－平成28年その他／床面積（千m2）,平成29年－平成28年その他／増減率（％）
区部＿中野区,61 ,0.5 ,93 ,0.8 ,-5 ,-0.4 ,-2 ,-1.9 ,-25 ,-15.0 
区部＿杉並区,125 ,0.6 ,145 ,0.7 ,-16 ,-1.1 ,-3 ,-1.0 ,-1 ,-0.4 
区部＿豊島区,32 ,0.2 ,73 ,0.7 ,-16 ,-0.4 ,-23 ,-9.9 ,-2 ,-0.3 
区部＿北区,169 ,1.2 ,191 ,1.7 ,10 ,0.8 ,-31 ,-3.7 ,-1 ,-0.3 
区部＿荒川区,58 ,0.6 ,48 ,0.6 ,7 ,1.1 ,-14 ,-2.7 ,16 ,6.7 
区部＿板橋区,236 ,1.0 ,217 ,1.1 ,18 ,1.1 ,2 ,0.1 ,-1 ,-0.2 
区部＿練馬区,198 ,0.7 ,195 ,0.8 ,9 ,0.6 ,-7 ,-1.4 ,1 ,0.3 
区部＿足立区,257 ,1.0 ,263 ,1.2 ,13 ,0.7 ,-25 ,-1.1 ,6 ,0.8 
区部＿葛飾区,216 ,1.2 ,183 ,1.2 ,33 ,2.8 ,-3 ,-0.3 ,3 ,1.1 
区部＿江戸川区,254 ,1.0 ,242 ,1.1 ,14 ,0.7 ,-7 ,-0.4 ,6 ,1.4 
区部＿区部計,3955 ,0.8 ,3737 ,1.1 ,139 ,0.1 ,-85 ,-0.3 ,165 ,1.2 
市部＿八王子市,283 ,1.1 ,354 ,1.7 ,-82 ,-2.7 ,18 ,0.7 ,-7 ,-1.0 
市部＿立川市,294 ,3.5 ,94 ,1.6 ,120 ,6.9 ,66 ,9.2 ,14 ,4.8 
市部＿武蔵野市,34 ,0.5 ,55 ,1.0 ,5 ,0.3 ,-26 ,-16.0 ,0 ,0.1 
市部＿三鷹市,71 ,1.0 ,68 ,1.1 ,-4 ,-0.6 ,-2 ,-0.4 ,9 ,6.1 
市部＿青梅市,45 ,0.7 ,48 ,1.0 ,0 ,0.1 ,0 ,0.0 ,-4 ,-1.0 
市部＿府中市,78 ,0.7 ,80 ,1.0 ,2 ,0.1 ,-2 ,-0.2 ,-1 ,-0.1 
市部＿昭島市,99 ,1.9 ,52 ,1.4 ,-6 ,-0.9 ,55 ,6.6 ,-2 ,-1.2 
市部＿調布市,112 ,1.2 ,111 ,1.5 ,11 ,1.1 ,-12 ,-3.0 ,3 ,0.8 
市部＿町田市,246 ,1.3 ,226 ,1.5 ,15 ,0.8 ,2 ,0.2 ,3 ,0.4 
市部＿小金井市,42 ,0.9 ,41 ,1.0 ,3 ,1.1 ,0 ,-0.5 ,-2 ,-1.3 
市部＿小平市,83 ,1.1 ,82 ,1.3 ,1 ,0.1 ,2 ,0.3 ,-1 ,-2.1 
市部＿日野市,261 ,3.2 ,61 ,1.0 ,2 ,0.2 ,199 ,26.8 ,0 ,-0.2 
市部＿東村山市,31 ,0.5 ,35 ,0.7 ,0 ,-0.1 ,-4 ,-1.2 ,0 ,-0.2 
市部＿国分寺市,38 ,0.8 ,60 ,1.4 ,-10 ,-1.9 ,-4 ,-2.6 ,-8 ,-8.7 
市部＿国立市,22 ,0.7 ,19 ,0.7 ,2 ,0.7 ,0 ,0.1 ,1 ,0.4 
市部＿福生市,16 ,0.6 ,16 ,0.8 ,0 ,0.0 ,0 ,-0.1 ,0 ,-0.4 
市部＿狛江市,-110 ,-3.5 ,7 ,0.3 ,-36 ,-16.7 ,-5 ,-10.2 ,-77 ,-57.4 
市部＿東大和市,34 ,1.0 ,28 ,1.0 ,1 ,0.3 ,2 ,0.8 ,3 ,4.2 
市部＿清瀬市,29 ,1.1 ,28 ,1.2 ,1 ,0.4 ,0 ,0.0 ,0 ,-0.4 
市部＿東久留米市,60 ,1.3 ,57 ,1.6 ,3 ,0.7 ,-2 ,-1.0 ,2 ,1.0 
市部＿武蔵村山市,43 ,1.3 ,33 ,1.5 ,1 ,0.3 ,9 ,1.7 ,-1 ,-0.8 
市部＿多摩市,87 ,1.2 ,61 ,1.2 ,-30 ,-2.0 ,54 ,29.2 ,2 ,0.4 
市部＿稲城市,83 ,2.4 ,63 ,2.2 ,17 ,5.7 ,3 ,1.0 ,0 ,-0.4 
市部＿羽村市,25 ,0.8 ,18 ,0.9 ,0 ,-0.1 ,1 ,0.1 ,6 ,11.5 
市部＿あきる野市,34 ,0.9 ,37 ,1.2 ,-1 ,-0.2 ,-2 ,-0.6 ,-1 ,-0.4 
市部＿西東京市,66 ,0.9 ,64 ,1.0 ,8 ,1.3 ,-6 ,-3.0 ,0 ,0.0 
市部＿市部計,2106 ,1.2 ,1797 ,1.3 ,24 ,0.1 ,347 ,2.8 ,-62 ,-1.0 
西多摩郡＿瑞穂町,28 ,1.2 ,10 ,0.9 ,0 ,-0.1 ,20 ,2.4 ,-1 ,-0.8 
西多摩郡＿日の出町,6 ,0.6 ,7 ,1.2 ,0 ,0.0 ,0 ,0.0 ,-1 ,-0.6 
西多摩郡＿檜原村,0 ,-0.2 ,0 ,0.0 ,0 ,0.0 ,0 ,-2.3 ,0 ,-0.1 
西多摩郡＿奥多摩町,-3 ,-0.6 ,-2 ,-0.5 ,0 ,-1.2 ,-1 ,-2.1 ,0 ,-0.3 
西多摩郡＿西多摩郡計,32 ,0.8 ,16 ,0.7 ,0 ,-0.1 ,19 ,1.9 ,-2 ,-0.6 
多摩地域計,2138 ,1.2 ,1813 ,1.3 ,23 ,0.1 ,365 ,2.7 ,-64 ,-1.0 
区部・多摩計,6093 ,0.9 ,5550 ,1.1 ,162 ,0.1 ,280 ,0.7 ,101 ,0.5 
