"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202308","アキュモード鍼灸院","東京都港区北青山三丁目3番4号","栄屋ビル6階","03-3478-8267","2023/1/1","あん摩、はり、きゅう","35.668776","139.715302"
"202308","Ｈｅａｌｔｈ　Ｃａｒｅ　Ｒｏｏｍ","東京都港区港南二丁目16番3号","品川グランドセントラルタワー21階","03-4332-5300","2023/7/31","あん摩","35.626615","139.740774"
"202308","鍼処ＳＨＩＲＡＫＡＷＡ株式会社","東京都港区浜松町一丁目3番2号","パークコート浜離宮ザタワー3702",,"2023/8/19","はり、きゅう","35.659347","139.757489"
"202308","１５１＋α","東京都港区南青山一丁目16番10号","‐302",,"2023/8/4","はり、きゅう","35.668286","139.726035"
"202308","青山はり治療院","東京都港区南青山一丁目22番15号",,,"2023/8/17","はり、きゅう","35.666956","139.725308"
"202308","押小路治療室","東京都港区南青山二丁目2番15号","ウィン青山726","03-5843-0071","2023/7/1","あん摩","35.671444","139.723779"
"202308","ワユーリ鍼灸院","東京都港区南青山六丁目12番14号","ハウス青山203",,"2023/8/4","はり、きゅう","35.660517","139.714758"
"202309","高輪マッサージ指圧針灸院","東京都港区高輪四丁目20番16号","セントリバー高輪102",,"2023/9/3","あん摩、はり、きゅう","35.625879","139.735046"
"202309","鍼灸治療院ハリントン","東京都港区東麻布二丁目22番10号","メゾン東麻布207",,"2023/9/15","はり、きゅう","35.656480","139.741041"
"202309","ユニ・チャーム　マッサージルーム","東京都港区三田三丁目5番19号","住友不動産東京三田ガーデンタワー42階","03-3451-5111","2023/9/1","あん摩","35.645046","139.743469"
"202310","赤坂山王鍼灸治療院","東京都港区赤坂七丁目10番6号","ストークビル赤坂405号室","03-3588-8588","2023/10/1","あん摩、はり、きゅう","35.6697","139.732771"
"202310","ハリのち晴れ鍼灸治療院","東京都港区芝大門二丁目1番13号","4F","03-5777-1322","2023/10/2","はり、きゅう","35.655898","139.75298"
"202310","ハリのち晴れ鍼灸治療院本院","東京都港区芝大門二丁目8番16号","2F","03-5777-1322","2023/10/2","はり、きゅう","35.655661","139.75288"
"202310","リライフ鍼灸マッサージ院","東京都港区新橋三丁目11番9号","烏森通りビル3F","03-6435-8382","2023/10/1","あん摩、はり、きゅう","35.666281","139.755725"
"202310","株式会社ＴＤモバイル　健康管理室","東京都港区浜松町一丁目30番5号","浜松町スクエア5階","03-6830-2360","2023/10/1","あん摩","35.657061","139.756769"
"202310","株式会社メディカルジャパン　青山鍼灸院","東京都港区南青山二丁目18番5号","アエリア南青山802","03-6300-4207","2023/10/31","あん摩、はり、きゅう","35.669253","139.720399"
"202310","ハリアップ六本木ヒルズ院","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワーウエストウォーク6階","03-3403-0866","2023/10/1","あん摩、はり、きゅう","35.660705","139.729207"
"202311","鍼灸院　赤坂養美","東京都港区赤坂二丁目13番23号","赤坂MYビル602",,"2023/11/1","あん摩、はり、きゅう","35.672994","139.738132"
"202311","デポルターレ鍼灸院","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー4階","03-6804-6680","2023/9/3","あん摩、はり、きゅう","35.660882","139.740657"
"202311","ハリアップ麻布台ヒルズ院","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー4F","03-5544-9136","2023/11/24","あん摩、はり、きゅう","35.660882","139.740657"
"202311","ＳＷＩＴＣＨ","東京都港区芝大門一丁目15番7号","芝大門ABC館ビル1階",,"2023/11/4","はり","35.657059","139.753928"
"202311","ＡＩＧハーモニー株式会社マッサージルーム","東京都港区虎ノ門四丁目3番20号","神谷町MTビル11階","03-5400-6480","2023/10/30","あん摩","35.663494","139.744526"
"202311","ＺＡＢ鍼灸院","東京都港区東麻布三丁目8番10号","801号室","03-6230-9479","2023/11/16","はり、きゅう","35.656485","139.737491"
"202311","プラチナサロン六本木","東京都港区六本木五丁目18番20号","301",,"2023/11/20","はり、きゅう","35.660759","139.736902"
"202312","ハリのち晴れ鍼灸治療院大門駅前店","東京都港区芝大門二丁目3番5号","大貫ビル3階","03-5777-1322","2023/12/1","はり、きゅう","35.656460","139.753978"
"202312","白金台　もりこや鍼灸院","東京都港区白金台五丁目18番6号","1階","080-3594-9477","2023/12/21","はり、きゅう","35.636997","139.723372"
"202312","株式会社商船三井鍼灸マッサージ室","東京都港区虎ノ門二丁目1番1号","商船三井ビル7階","03-3587-7655","2023/12/25","あん摩、はり、きゅう","35.669722","139.747018"
"202312","よつ葉元氣治療院","東京都港区西新橋二丁目15番17号","レインボービル2階","03-4400-0508","2023/12/28","あん摩","35.667059","139.750631"
"202401","指圧処　匠三代目","東京都港区赤坂六丁目13番6号","赤坂キャステール902","03-3568-2853","2024/1/12","あん摩","35.669894","139.734327"
"202401","Ｌｉｔａ鍼灸サロン","東京都港区麻布十番三丁目5番7号","麻布カジタ303",,"2024/1/7","あん摩、はり、きゅう","35.653179","139.735844"
"202401","あん摩マッサージ指圧　坂柳長生院","東京都港区芝三丁目17番2号","コンフォートアオキ201",,"2024/1/25","あん摩","35.652110","139.745344"
"202402","Ｂｒｅａｔｈ鍼灸院","東京都港区白金台五丁目18番18号","バルビゾンビル18　6F","03-6822-7769","2024/2/19","はり、きゅう","35.637305","139.723608"
"202402","福建中医薬大学付属中国鍼灸院","東京都港区新橋二丁目20番15号","新橋駅前ビル1号館208号","03-6264-6444","2024/2/15","はり、きゅう","35.666214","139.759538"
"202402","鍼灸マッサージ治療院　Ｈａｒｉｃｉｅｒｅ","東京都港区新橋六丁目8番6号","108TamagawaResidene401",,"2024/2/23","あん摩、はり、きゅう","35.661651","139.755436"
"202402","意一堂日本株式会社（鍼）","東京都港区三田五丁目1番2号",,"03-6441-3750","2024/2/16","はり","35.648330","139.737441"
"202402","日本タタ・コンサルタンシー・サービシズ株式会社リラクゼーションルーム","東京都港区六本木三丁目1番1号","六本木ティーキューブ5階","03-6161-6500","2023/10/23","あん摩","35.665431","139.738132"
"202403","ＫｕｍａＳＰＡ","東京都港区赤坂九丁目7番2号","ミッドタウン・イースト5階","03-6721-7772","2022/2/1","あん摩","35.665980","139.730875"
"202403","ソレイユ麻布鍼灸治療院","東京都港区麻布十番二丁目5番12号","アザブビルディングNo.3　3階","03-5545-5151","2024/3/25","あん摩、はり、きゅう","35.656318","139.733192"
"202403","ｈｏｇｕｓｈｉ鍼灸院","東京都港区浜松町二丁目1番16号","浜松町北田ビル5階","03-6721-5986","2024/3/6","はり、きゅう","35.655949","139.754896"

"施術所（あはき）開設一覧(令和6年3月31日現在)","Ver202403",,,,,,,
