"年月[西暦]","調査項目","設問","会・グループ等","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","週４回以上","19","1.1","1.5"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","週２～３回","103","6.1","7.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","週１回","136","8.1","10.4"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","月１～３回","194","11.6","14.8"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","年に数回","73","4.4","5.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","参加していない","783","46.7","59.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ウ．趣味のグループ","無回答","367","21.9",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","週４回以上","9","0.5","0.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","週２～３回","33","2.0","2.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","週１回","83","5.0","6.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","月１～３回","92","5.5","7.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","年に数回","87","5.2","7.2"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","参加していない","898","53.6","74.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","エ．学習・教養サークル","無回答","473","28.2",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","週４回以上","27","1.6","2.0"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","週２～３回","214","12.8","16.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","週１回","184","11.0","13.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","月１～３回","38","2.3","2.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","年に数回","40","2.4","3.0"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","参加していない","825","49.3","62.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","オ．（健康トレーニングや各種マシントレーニングの講座など、いきいきプラザやラクっちゃ等で実施している各種介護予防事業や、高齢者相談センターで申込みを行うみんなと元気塾やみんなの倶楽部、また、介護予防リーダーが実施する自主活動グループなど）介護予防のための通いの場","無回答","347","20.7",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","週４回以上","4","0.2","0.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","週２～３回","12","0.7","1.0"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","週１回","20","1.2","1.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","月１～３回","27","1.6","2.2"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","年に数回","57","3.4","4.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","参加していない","1093","65.3","90.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","カ．老人クラブ","無回答","462","27.6",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","週４回以上","5","0.3","0.4"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","週２～３回","14","0.8","1.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","週１回","14","0.8","1.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","月１～３回","78","4.7","6.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","年に数回","184","11.0","14.8"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","参加していない","950","56.7","76.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","キ．町内会・自治会","無回答","430","25.7",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","週４回以上","226","13.5","18.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","週２～３回","91","5.4","7.4"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","週１回","31","1.9","2.5"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","月１～３回","42","2.5","3.4"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","年に数回","32","1.9","2.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","参加していない","814","48.6","65.9"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ク．収入のある仕事","無回答","439","26.2",

"港区保健福祉基礎調査（高齢者）・単純集計表・日常生活全般についてQ16","Ver202003",,,,,,
