,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
17,薪炭,300,-,150,930,"1,426",75,"3,930","5,700",420,"1,485",-,30,"1,211",-,300,60,-,-,-,-,17,薪炭,,,
鉱産品,,600,"1,281","10,886","11,783","52,694",30,"13,078","1,047","20,694",435,"9,810",315,"1,275","2,771",465,"6,223","4,100","1,240","2,956",540,鉱産品,,,,
18,石炭,-,-,"3,150",840,-,-,"1,815",-,"1,545",260,"5,881",-,-,"2,370",-,-,30,-,"2,070",-,18,石炭,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,31,-,-,-,-,30,-,-,-,-,-,-,19,鉄鉱石,,,
20,金属鉱,-,-,15,-,75,-,-,-,60,15,-,-,-,15,-,-,30,60,57,-,20,金属鉱,,,
21,砂利・砂,450,708,"1,230","2,220",75,-,-,120,405,15,150,-,-,-,150,"1,455",-,395,379,255,21,砂利・砂,,,
22,石材,-,64,888,"2,708","51,918",-,"7,100",195,"3,782",75,524,315,555,150,-,"4,768","3,891",60,-,135,22,石材,,,
23,原油,-,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-,23,原油,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,
25,石灰石,-,30,-,-,-,-,930,-,-,-,-,-,-,-,-,-,-,22,-,-,25,石灰石,,,
26,原塩,-,-,15,-,30,30,-,462,-,25,"1,815",-,-,30,315,-,119,112,-,-,26,原塩,,,
27,非金属鉱物,150,368,"5,588","6,015",596,-,"3,233",270,"14,871",45,"1,440",-,720,176,-,-,30,501,450,150,27,非金属鉱物,,,
金属機械工業品,,"15,484","10,537","174,654","237,986","289,071","59,705","162,603","154,392","319,437","180,542","207,126","142,286","85,473","63,182","110,033","69,685","17,039","78,910","14,300","62,739",金属機械工業品,,,,
28,鉄鋼,-,-,105,180,60,13,-,765,"2,271",-,"3,210",-,-,"4,922",-,-,-,-,133,15,28,鉄鋼,,,
29,鋼材,187,431,"13,779","1,683",825,465,46,"1,924","11,612","1,540","4,837",565,"1,508",638,41,-,349,565,61,"1,271",29,鋼材,,,
30,非鉄金属,"2,308",120,"6,499","1,341","2,121",483,"1,595","1,774","2,883","2,826","1,925","2,013","1,064","1,324","1,868","3,661",353,"1,841",469,"4,796",30,非鉄金属,,,
31,金属製品,"4,105","2,064","66,791","61,930","79,298","20,923","20,452","20,405","33,346","31,886","20,655","25,783","54,575","12,203","4,976","9,922",707,"39,435","5,353","17,624",31,金属製品,,,
32,鉄道車両,-,-,-,163,-,-,15,45,-,-,"3,241",-,21,-,-,-,-,18,-,-,32,鉄道車両,,,
33,完成自動車,15,316,191,61,-,-,33,53,67,192,"2,004",147,-,506,-,-,55,539,125,11,33,完成自動車,,,
34,その他輸送用車両,384,63,418,"2,630","2,161",250,-,30,15,"4,660",934,8,809,615,22,30,33,209,160,675,34,その他輸送用車両,,,
35,二輪自動車,26,-,397,-,30,-,393,197,"1,635","1,125","6,528",124,-,4,-,-,-,689,-,45,35,二輪自動車,,,
36,自動車部品,775,"1,405","30,943","3,721","23,358","8,177","48,478","4,665","7,482","9,411","59,330","32,984","3,967","11,248","15,379","11,515","4,173","17,667","2,953","3,367",36,自動車部品,,,
37,その他輸送機械,515,161,"1,653",60,"1,252",255,992,"3,503","175,542","5,813",768,174,300,244,315,21,"1,769",479,207,"4,372",37,その他輸送機械,,,
38,産業機械,"4,063","2,210","25,039","60,226","6,230","4,982","51,881","18,514","53,807","35,031","72,373","58,293","2,392","18,436","24,147","18,242","5,424","7,792","2,875","21,276",38,産業機械,,,
39,電気機械,"2,654","3,300","17,307","103,517","161,584","19,579","32,433","83,162","27,400","74,625","21,420","17,229","17,763","7,332","54,035","25,908","3,085","7,368",287,"6,100",39,電気機械,,,
40,測量・光学・医療機械,452,405,"11,339","2,213","10,813","4,351","5,092","18,449","3,377","4,507","8,880","2,160","2,468","5,021","5,414",374,"1,091","2,213",952,"2,327",40,測量・光学・医療機械,,,
41,事務用機器,-,-,178,129,"1,309",202,541,756,-,"8,056",431,"2,806",441,-,"2,135",-,-,-,-,590,41,事務用機器,,,
42,その他機械,-,62,15,132,30,25,652,150,-,870,590,-,165,689,"1,701",12,-,95,725,270,42,その他機械,,,
化学工業品,,"28,286","28,285","129,848","37,594","30,262","34,728","24,989","114,220","78,450","20,018","70,258","47,192","41,157","104,955","5,744","9,689","39,040","30,017","43,647","44,295",化学工業品,,,,
43,陶磁器,86,430,"2,099",105,"11,797",315,"12,715",60,"2,075",105,"1,107","1,121","1,035","1,803",78,-,101,348,"1,510","2,040",43,陶磁器,,,
44,セメント,-,-,90,-,1,-,-,-,165,-,-,-,-,390,-,-,-,15,-,-,44,セメント,,,
45,ガラス類,"6,464","1,535","16,907","4,482","4,288",195,"2,223","3,150","3,853","1,833","7,992",584,85,"1,662",995,15,938,560,357,"4,606",45,ガラス類,,,
46,窯業品,"5,290","1,572","5,381","5,211",420,15,450,"11,070","33,309",885,"5,176","1,667",487,"9,687",138,15,30,"1,843",174,163,46,窯業品,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,-,-,48,揮発油,,,
49,その他の石油,150,30,98,-,45,-,7,415,-,-,929,15,-,"1,425",-,-,717,317,"1,995",60,49,その他の石油,,,
50,LNG/液化天然ガス,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-,50,LNG/液化天然ガス,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,
52,その他石油製品,90,52,480,235,794,-,-,240,15,454,304,-,"1,755","1,132",-,-,645,102,"2,824",75,52,その他石油製品,,,
53,コークス,30,-,"1,680",-,-,-,75,-,"1,139",-,-,30,-,-,-,-,-,-,-,"3,495",53,コークス,,,
54,石炭製品,-,-,-,-,-,-,-,15,-,-,-,-,-,21,-,-,-,-,-,-,54,石炭製品,,,
55,化学薬品,"5,264","6,714","21,279","5,888","3,807",120,"2,401","9,628","18,766","8,505","14,989","5,916","8,790","30,539",450,"4,095","5,270","6,859","7,374","11,210",55,化学薬品,,,
56,化学肥料,580,263,"2,805","1,485",30,-,585,672,"3,540",225,"1,760",105,-,420,-,405,60,206,13,105,56,化学肥料,,,
57,その他化学工業品,"10,332","17,689","79,014","20,188","9,080","34,083","6,533","88,970","15,588","8,011","38,001","37,754","29,005","57,876","4,083","5,159","31,046","19,767","29,400","22,541",57,その他化学工業品,,,
軽工業品,,"318,541","179,390","157,645","87,448","62,890","58,649","19,346","78,594","65,618","73,071","65,890","37,777","36,389","163,104","5,344","99,983","170,589","34,720","123,323","12,313",軽工業品,,,,
58,紙・パルプ,"36,138",405,"64,149","12,194","7,443",874,"7,389","6,471","18,638","44,476","11,741","24,124","1,795","8,427",722,674,"1,362","3,078","102,646","1,329",58,紙・パルプ,,,
59,糸及び紡績半製品,-,-,"7,037",-,60,330,-,435,60,300,319,"3,489",45,145,"1,800",22,-,-,312,195,59,糸及び紡績半製品,,,
60,その他繊維工業品,240,177,"24,014","2,550","2,599","2,965","4,249","22,072","13,659","1,869","1,032","5,713","2,134","10,938",-,843,259,"1,158","7,067","2,163",60,その他繊維工業品,,,
61,砂糖,"1,779","4,611",180,-,10,-,-,90,226,-,"8,026",15,-,"2,469",-,-,"1,523","2,255","1,035",15,61,砂糖,,,
62,製造食品,"232,803","101,917","37,663","72,115","52,322","49,867","6,353","43,715","31,937","24,898","28,882","3,649","26,749","54,103","2,767","96,629","61,271","19,604","4,870","5,644",62,製造食品,,,
63,飲料,"10,749","32,050","13,463",454,126,"4,058","1,115","1,416",75,868,"8,211",60,"5,531","52,355",40,"1,800","82,682","1,655","7,393",262,63,飲料,,,
64,水,"35,386","40,230","4,494",60,30,-,-,405,-,-,30,-,-,"5,950",-,-,334,"6,910",-,-,64,水,,,
65,たばこ,30,-,255,-,30,-,-,"1,845",540,180,884,727,-,"6,696",15,-,"4,530",-,-,"2,685",65,たばこ,,,
66,その他食料工業品,"1,416",-,"6,390",75,270,555,240,"2,145",483,480,"6,765",-,135,"22,021",-,15,"18,628",60,-,20,66,その他食料工業品,,,
雑工業品,,"46,462","7,804","199,749","253,113","218,374","456,657","361,109","240,991","138,167","300,120","104,485","280,013","287,049","59,236","255,662","24,266","24,459","20,819","24,433","85,490",雑工業品,,,,
67,がん具,143,107,"1,855",370,"9,868","21,339","60,221",745,936,"18,267","4,554","3,953","2,672",855,"3,296",75,290,231,60,"1,333",67,がん具,,,
68,衣服・身廻品・はきもの,"2,794","2,452","32,426","85,392","114,139","310,763","234,217","51,516","52,813","95,844","8,883","142,697","198,180","8,473","11,151","15,328","2,953","6,388","9,153","10,255",68,衣服・身廻品・はきもの,,,
69,文房具・運動娯楽用品・楽器,"5,780","1,313","12,001","4,603","41,014","38,968","12,649","10,238","4,766","31,763","11,848","2,663","20,207","2,699","1,186","5,792","2,975","4,567","6,019","15,209",69,文房具・運動娯楽用品・楽器,,,
70,家具装備品,"3,126","2,783","57,829","74,643","37,610","79,634","38,314","68,487","52,603","119,513","27,193","32,261","46,856","13,538","12,555",841,"5,589","5,286","1,160","48,746",70,家具装備品,,,
71,その他日用品,"30,026",143,"5,200","1,589",649,"1,131","5,114","11,063","12,357","13,114","1,350","33,235","1,741","3,492","1,118",495,"3,869",565,240,"1,003",71,その他日用品,,,
72,ゴム製品,220,291,"17,722","10,098","2,427","1,366","2,693","8,601","4,603","5,663","6,444","44,233","1,715","17,525","7,281",-,"8,093",610,836,"4,503",72,ゴム製品,,,
73,木製品,"3,886",390,"68,199","74,901","8,217","1,221","6,708","84,585","5,931","7,410","39,100","5,340","8,770","10,427","217,969","1,720",315,306,420,804,73,木製品,,,
74,その他製造工業品,487,325,"4,517","1,517","4,450","2,235","1,193","5,756","4,158","8,546","5,113","15,631","6,908","2,227","1,106",15,375,"2,866","6,545","3,637",74,その他製造工業品,,,
特殊品,,"411,416","53,529","57,817","27,686","10,395","12,412","112,679","9,302","14,812","13,125","10,937","17,724","20,970","7,599","10,776","14,343","6,468","68,218","17,733","11,633",特殊品,,,,
75,金属くず,"2,138","2,353","3,899",474,10,103,74,885,78,132,"1,451",456,120,376,570,120,-,"4,893","4,901",298,75,金属くず,,,
76,再利用資材,"20,806",630,"1,365",-,-,300,-,399,-,60,90,-,60,45,-,-,-,"1,597",-,90,76,再利用資材,,,
77,動植物性製造飼肥料,"386,440","44,868","16,063","1,605",375,780,120,"1,283",417,"1,320","2,346",90,"9,311","1,837",22,"2,850","1,068","42,679","4,869","2,145",77,動植物性製造飼肥料,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,
80,輸送用容器,"1,891","2,364","36,239","24,437","9,386","8,049","109,965","6,051","13,011","9,549","4,012","16,842","10,145","3,755","8,571","10,910","5,400","12,911","4,252","8,700",80,輸送用容器,,,
81,取合せ品,141,"3,314",251,"1,170",624,"3,180","2,520",684,"1,306","2,064","3,038",336,"1,334","1,586","1,613",463,-,"6,138","3,711",400,81,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
