,,,,,,,(単位：ＴＥＵ）
チェンナイ,1,1,-,-,-,1,-
ツチコリン,23,23,-,-,-,23,-
コーチン,117,117,-,-,-,117,-
マルマガオ,2,2,-,-,-,2,-
ナブラキ,390,390,-,-,-,390,-
ハルディア,4,4,-,-,-,4,-
ムンドラ,92,92,-,-,-,92,-
ナヴァセバ,7,7,-,-,-,7,-
ハジラ,244,244,-,-,-,244,-
諸港(インド),11,11,-,-,-,11,-
パキスタン,1,1,-,-,-,1,-
カラチ,1,1,-,-,-,1,-
,,,,,,,
* 四捨五入しているので、合計の数字と内訳の数字が一致しない場合がある。,,,,,,,
