"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている(公表の内容を見たことがある)[人]","知っているが公表の内容は見たことがない[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","学生","13","1","1","10","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","無職","81","11","17","52","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","その他","31","3","5","23","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","無回答","14","2","1","9","2"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝地区","86","9","13","63","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","麻布地区","87","8","14","65","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","赤坂地区","81","12","12","55","2"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","高輪地区","146","18","22","106","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝浦港南地区","139","16","22","100","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","居住地区別","無回答","19","1","3","12","3"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（一戸建）","64","8","13","42","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（マンション）","267","39","41","186","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","借家（一戸建）","9","1","3","5","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","11","19","118","3"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","3","5","18","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","0","2","9","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","1","0","9","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","0","4","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","その他","5","0","2","3","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","住居形態別","無回答","11","1","1","7","2"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","36","47","191","5"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","203","22","29","151","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","5","5","34","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","1","4","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","0","4","9","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","わからない","10","0","0","10","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","定住意向別","無回答","3","1","0","2","0"

"第33回港区民世論調査クロス集計表・区政全般Q9","Ver202203",,,,,,,,
