区分,１月／件数,１月／患者数,２月／件数,２月／患者数,３月／件数,３月／患者数,４月／件数,４月／患者数,５月／件数,５月／患者数,６月／件数,６月／患者数,７月／件数,７月／患者数,８月／件数,８月／患者数,９月／件数,９月／患者数,１０月／件数,１０月／患者数,１１月／件数,１１月／患者数,１２月／件数,１２月／患者数,合計／件数,合計／患者数,Sal／件数,Sal／患者数,Sta／件数,Sta／患者数,V.p／件数,V.p／患者数,EHEC／件数,EHEC／患者数,C.p／件数,C.p／患者数,Camp／件数,Camp／患者数,B.c／件数,B.c／患者数,Sal，Camp／件数,Sal，Camp／患者数,NV／件数,NV／患者数,塩素／件数,塩素／患者数,ヒスタミン／件数,ヒスタミン／患者数,植／件数,植／患者数,寄ア／件数,寄ア／患者数,寄ク／件数,寄ク／患者数,不明／件数,不明／患者数
不明,寄ア／1,寄ア／1,,,Camp／1,Camp／2,寄ア／1,寄ア／1,寄ア／1,寄ア／1,,,,,,,,,,,,,,,4,8,,,,,,,,,,,2,6,,,,,,,,,,,,,2,2,,,,
合計,23,780,13,227,19,225,12,146,14,94,14,159,16,156,4,16,11,71,8,183,6,99,9,102,149,2258,6,108,4,31,1,4,5,32,2,63,47,271,2,8,1,2,56,1576,1,5,1,29,1,2,13,14,1,2,4,88
細菌／サルモネラ,,,,,,,,,3,19,,,2,66,,,,,,,1,23,,,6,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／黄色ブドウ球菌,,,,,,,,,1,21,1,2,,,,,1,4,,,1,4,,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／腸炎ビブリオ,,,,,,,,,,,,,,,,,1,4,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／腸管出血性大腸菌,,,,,,,,,1,3,2,21,1,6,1,2,,,,,,,,,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／ウェルシュ菌,1,10,,,,,,,,,6,18,,,,,,,,,1,53,,,2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／カンピロバクター,1,4,2,10,5,40,8,63,5,39,,,7,38,2,8,4,19,3,13,,,4,19,47,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／セレウス菌,,,,,,,,,,,,,1,5,,,1,3,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌／サルモネラ及びカンピロバクター,,,,,,,,,,,,,,,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウイルス／ノロウイルス,17,758,11,217,12,182,2,50,2,9,4,109,1,7,,,,,2,161,2,18,3,65,56,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化学物質／塩素,,,,,,,,,,,,,,,,,,,1,5,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化学物質／ヒスタミン,1,5,,,,,,,,,1,9,2,32,1,6,,,,,,,,,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然毒／植物性自然毒,,,,,,,,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寄生中／アニサキス,3,3,,,2,3,1,1,1,1,,,2,2,,,2,2,,,1,1,1,1,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寄生中／クドア,,,,,,,,,,,,,],,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不明,,,,,,,,,,,,,,,,,2,39,,,,,1,17,4,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
