年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成24,2012,2,13205,5,青梅市,Ome-shi,43744,39161,28693,1544,1464,7400,60,4583,30655,10468,119,15762,6154,6154
平成24,2012,2,13206,6,府中市,Fuchu-shi,66681,59456,37990,3360,2012,16007,87,7225,43222,21466,-,28194,410,410
平成24,2012,2,13207,7,昭島市,Akishima-shi,33401,31679,22300,1507,865,6958,49,1722,24182,9408,67,12271,876,876
平成24,2012,2,13208,8,調布市,Chofu-shi,60145,55659,30797,3993,1401,19391,77,4486,33597,24099,-,29576,370,370
平成24,2012,2,13209,9,町田市,Machida-shi,129057,117344,88726,6592,4739,17146,141,11713,97487,28787,6,41182,16900,16900
平成24,2012,2,13210,10,小金井市,Koganei-shi,26994,25489,12836,3714,878,8022,39,1505,12836,12653,55,13979,105,105
平成24,2012,2,13211,11,小平市,Kodaira-shi,52122,49818,33699,5489,1031,9529,70,2304,39345,16120,60,17961,459,459
平成24,2012,2,13212,12,日野市,Hino-shi,45359,43518,26518,5770,1546,9620,64,1841,32764,15940,109,16385,7268,7268
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,40428,37402,24808,2088,1317,9126,63,3026,25304,12594,-,17437,369,369
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,33207,30951,19496,2731,752,7928,44,2256,20949,11560,33,14058,365,365
平成24,2012,2,13215,15,国立市,Kunitachi-shi,22625,21276,14502,1715,644,4389,26,1349,16302,6774,-,7410,251,251
平成24,2012,2,13218,16,福生市,Fussa-shi　,17947,16612,11446,715,553,3873,25,1335,12403,5166,58,6613,116,116
平成24,2012,2,13219,17,狛江市,Komae-shi,20723,19298,13264,1009,398,4606,21,1425,14410,6034,-,7834,54,54
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,23228,22164,16128,965,235,4814,22,1064,17165,6037,11,8349,448,448
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,18955,17613,12179,1430,61,3916,27,1342,13384,5434,-,7206,305,305
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,33173,29595,21449,2073,128,5907,38,3578,23220,8146,-,12811,451,451
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,21944,21282,15039,1163,380,4671,29,662,16484,6243,14,7672,217,217
平成24,2012,2,13224,22,多摩市,Tama-shi,45968,41396,31910,1533,1107,6801,45,4572,33888,9486,76,16074,379,379
平成24,2012,2,13225,23,稲城市,Inagi-shi,24006,21691,16619,1311,354,3377,30,2315,18024,5072,-,7900,2572,2572
平成24,2012,2,13227,24,羽村市,Hamura-shi,18094,17010,11398,400,578,4609,25,1084,12155,5612,69,6817,598,598
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,25537,23501,14665,3305,745,4752,34,2036,18539,8836,3184,6645,7143,7143
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,51320,47789,30666,3485,170,13415,53,3531,33568,17123,-,20730,537,537
平成24,2012,1,13300,,郡部,All gun,20376,19207,13176,1326,807,3866,32,1169,14793,6066,1027,6142,6298,6298
平成24,2012,2,13303,1,瑞穂町,Mizuho-machi,11778,11393,7717,338,468,2851,19,385,8311,3676,77,4144,1646,1646
平成24,2012,2,13305,2,日の出町,Hinode-machi,5258,4685,3263,745,226,443,8,573,4136,1521,697,1045,578,578
平成24,2012,2,13307,3,檜原村,Hinohara-mura,841,819,442,99,86,192,-,22,610,278,102,219,840,840
平成24,2012,2,13308,4,奥多摩町,Okutama-machi,2499,2310,1754,144,27,380,5,189,1736,591,151,734,3234,3234
平成24,2012,1,13350,,島部,All islands,15295,15294,10859,1711,1254,1441,29,1,11038,2478,2929,1702,24556,24556
平成24,2012,2,13361,1,大島町,Oshima-machi,3853,3853,3267,222,242,115,7,-,3267,586,667,364,9349,9349
平成24,2012,2,13362,2,利島村,Toshima-mura,129,129,107,9,-,13,-,-,110,13,13,10,639,639
平成24,2012,2,13363,3,新島村,Niijima-mura,2350,2350,1159,1119,6,66,-,-,1161,68,400,40,1755,1755
平成24,2012,2,13364,4,神津島村,Kouzushima-mura,1774,1774,901,71,770,29,3,-,931,168,837,137,906,906
平成24,2012,2,13381,5,三宅村,Miyake-mura,1578,1578,1165,138,190,85,-,-,1296,411,329,5,1942,1942
平成24,2012,2,13382,6,御蔵島村,Mikurajima-mura,271,271,249,7,10,4,1,-,249,24,31,9,64,64
平成24,2012,2,13401,7,八丈町,Hachijo-machi,4091,4091,3238,125,-,725,3,-,3238,728,484,725,9474,9474
平成24,2012,2,13402,8,青ヶ島村,Aogashima-mura,119,119,76,20,-,23,-,-,76,43,9,23,76,76
平成24,2012,2,13421,9,小笠原村,Ogasawara-mura,1130,1129,697,-,36,381,15,1,710,437,159,389,351,351
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,
19-9  ごみ ・ し尿 (平成22～平成24年度) 19-9  REFUSE AND HUMAN WASTE ( Fiscal years 2010-2012 ),,,,,,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部一般廃棄物対策課「東京都区市町村清掃事業年報」 Source: Bureau of Environment， TMG        ,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
