年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成25,2013,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,16,5,11,12,2,8,2,-,4
平成25,2013,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,484,142,342,342,176,18,52,96,142
平成25,2013,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,1199,453,746,837,258,117,205,257,362
平成25,2013,3,,うち監護者の指定,(of which) Designation of a child custodian ,334,128,206,235,52,44,73,66,99
平成25,2013,3,,うち養育費請求,(of which) Claim for child support payments,317,94,223,237,117,8,30,82,80
平成25,2013,3,,うち面会交流,(of which) Visitation and contacts,281,125,156,163,73,13,26,51,118
平成25,2013,3,,うち子の引渡し,(of which) Surrender of child custody,267,106,161,202,16,52,76,58,65
平成25,2013,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,111,60,51,70,20,6,18,26,41
平成25,2013,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,32,7,25,18,9,1,7,1,14
平成25,2013,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,1,-,1,-,-,-,-,-,1
平成25,2013,2,7,親権者の指定又は変更,Designation or change of person having parental authority,270,78,192,202,103,17,36,46,68
平成25,2013,2,8,扶養に関する処分,Disposition on support,44,14,30,19,5,6,4,4,25
平成25,2013,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,501,233,268,315,192,5,35,83,186
平成25,2013,2,10,寄与分を定める処分,Disposition to determine an heir's contributing portion,155,62,93,89,18,48,10,13,66
平成25,2013,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,216,31,185,176,150,2,15,9,40
平成25,2013,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成25,2013,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir ／ rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),28,28,-,23,4,8,7,4,5
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-5  家事審判事件の種類別件数 （平成25年） 20-5  CASES OF ADJUDICATION OF DOMESTIC RELATIONS BY KIND ( 2013 ),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
