年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted,生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成24,2012,2,13118,荒川区,Arakawa-ku,5252,4732,4757,195,916,4455,-,79,25,6415
平成24,2012,2,13119,板橋区,Itabashi-ku,13640,11886,12098,958,1710,11080,1,460,43,18795
平成24,2012,2,13120,練馬区,Nerima-ku,12246,10940,11022,943,1936,9442,1,515,26,16848
平成24,2012,2,13121,足立区,Adachi-ku,17921,16268,15985,1303,3048,13241,1,643,64,26237
平成24,2012,2,13122,葛飾区,Katsushika-ku,9506,8484,8630,563,1556,8242,0,214,20,12773
平成24,2012,2,13123,江戸川区,Edogawa-ku,14344,13204,13316,1167,1814,13440,1,589,48,20023
平成24,2012,1,13200,市部,All shi,52164,45892,45838,3633,7786,44213,1,1794,113,72553
平成24,2012,2,13201,八王子市,Hachioji-shi,8181,7031,6937,692,1160,6466,0,230,19,11778
平成24,2012,2,13202,立川市,Tachikawa-shi,3757,3325,3401,225,637,3486,0,118,11,5140
平成24,2012,2,13203,武蔵野市,Musashino-shi,1733,1469,1496,54,215,1388,0,37,3,2087
平成24,2012,2,13204,三鷹市,Mitaka-shi,2721,2387,2393,149,378,2540,-,85,5,3574
平成24,2012,2,13205,青梅市,Ome-shi,1707,1510,1410,130,214,1322,-,73,3,2458
平成24,2012,2,13206,府中市,Fuchu-shi,3484,3197,3152,267,500,3218,-,142,10,4808
平成24,2012,2,13207,昭島市,Akishima-shi,1620,1425,1376,81,314,1343,-,50,5,2190
平成24,2012,2,13208,調布市,Chofu-shi,2243,1922,1944,97,351,2053,-,45,5,2877
平成24,2012,2,13209,町田市,Machida-shi,4737,4147,4255,431,713,3630,0,240,7,7005
平成24,2012,2,13210,小金井市,Koganei-shi,1200,1020,1042,28,136,820,-,20,4,1413
平成24,2012,2,13211,小平市,Kodaira-shi,2256,2051,1973,150,325,2181,-,82,6,3159
平成24,2012,2,13212,日野市,Hino-shi,1533,1379,1339,97,314,1376,-,53,3,2088
平成24,2012,2,13213,東村山市,Higashimurayama-shi,2242,1949,1909,158,321,1648,-,78,6,3065
平成24,2012,2,13214,国分寺市,Kokubunji-shi,788,704,700,23,112,644,-,20,1,979
平成24,2012,2,13215,国立市,Kunitachi-shi,725,651,659,28,95,639,-,12,1,903
平成24,2012,2,13218,福生市,Fussa-shi,828,737,747,40,147,737,-,22,2,1100
平成24,2012,2,13219,狛江市,Komae-shi,805,721,728,33,137,732,-,9,1,990
平成24,2012,2,13220,東大和市,Higashiyamato-shi,1179,1053,1060,120,177,1011,-,52,2,1791
平成24,2012,2,13221,清瀬市,Kiyose-shi,1470,1324,1326,91,262,1347,0,55,4,2061
平成24,2012,2,13222,東久留米市,Higashikurume-shi,1456,1324,1327,120,239,1101,0,67,3,2114
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,1218,1075,1102,97,197,1079,0,38,4,1888
平成24,2012,2,13224,多摩市,Tama-shi,1673,1431,1468,164,198,1470,-,78,4,2480
平成24,2012,2,13225,稲城市,Inagi-shi,809,701,711,54,110,591,-,34,2,1163
平成24,2012,2,13227,羽村市,Hamura-shi,528,456,467,40,62,463,-,20,1,739
平成24,2012,2,13228,あきる野市,Akiruno-shi,611,522,513,60,72,539,-,24,1,906
平成24,2012,2,13229,西東京市,Nishitokyo-shi,2660,2380,2404,204,400,2390,1,113,3,3797
平成24,2012,1,13300,郡部,All gun,696,554,517,70,109,631,0,32,0,1075
平成24,2012,1,13350,島部,All islands,404,332,219,12,92,354,0,8,1,501
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成20～24年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2008-2012 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 保護停止中の世帯を含む。,,,,,,,,,,,,,,,
Note: 1) Inculuding households under stopping.,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
