年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of community-based LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of community-based LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第2号 Secondary
平成25,2013,2,13210,小金井市,Koganei-shi,23608,4459,120,2902,75,211,4,576,10
平成25,2013,2,13211,小平市,Kodaira-shi,40335,6929,195,4279,133,403,7,1067,14
平成25,2013,2,13212,日野市,Hino-shi,41385,7233,176,4537,115,228,12,1070,14
平成25,2013,2,13213,東村山市,Higashimurayama-shi,35860,6916,214,4075,134,200,5,1120,16
平成25,2013,2,13214,国分寺市,Kokubunji-shi,24844,4302,111,2742,71,181,4,602,8
平成25,2013,2,13215,国立市,Kunitachi-shi,15740,2870,95,1735,57,140,5,459,9
平成25,2013,2,13218,福生市,Fussa-shi,13074,1852,68,1108,44,15,-,445,4
平成25,2013,2,13219,狛江市,Komae-shi,18380,3334,79,2178,46,78,-,395,8
平成25,2013,2,13220,東大和市,Higashiyamato-shi,20493,3038,85,1846,56,79,2,501,5
平成25,2013,2,13221,清瀬市,Kiyose-shi,19069,3405,89,2144,54,77,1,588,10
平成25,2013,2,13222,東久留米市,Higashikurume-shi,29783,4367,125,2819,81,124,1,657,8
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,16502,2264,73,1399,45,91,-,454,9
平成25,2013,2,13224,多摩市,Tama-shi,35745,4559,142,2952,92,210,3,674,12
平成25,2013,2,13225,稲城市,Inagi-shi,16205,2231,73,1500,55,156,1,332,2
平成25,2013,2,13227,羽村市,Hamura-shi,12373,1683,51,889,33,38,-,318,5
平成25,2013,2,13228,あきる野市,Akiruno-shi,20490,2597,86,1413,56,79,1,673,14
平成25,2013,2,13229,西東京市,Nishitokyo-shi,44152,8367,203,5474,130,398,6,1111,16
平成25,2013,1,13300,郡部,All gun,15571,2302,89,1150,59,45,2,669,10
平成25,2013,1,13350,島部,All islands,8771,1727,36,1013,14,69,-,385,10
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成23～25年度） 18-9  PERSONS INSURANCE， APPROVAL， RECIPIENT ( Fiscal Years 2011-2013 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
