年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成25,2013,2,13222,20,東久留米市,Higashikurume-shi,※,116171,2,2000,116171,-,-,-,115645,-,-,-,-,-,2,2000,526,100
平成25,2013,2,13223,21,武蔵村山市,Musashimurayama-shi,※,70433,2,1059,70433,-,-,-,70253,-,-,-,-,-,2,1059,180,100
平成25,2013,2,13224,22,多摩市,Tama-shi,※,147683,3,1600,147683,-,-,-,146442,-,-,-,-,-,3,1600,1241,100
平成25,2013,2,13225,23,稲城市,Inagi-shi,※,86661,-,-,86661,-,-,-,86661,-,-,-,-,-,-,-,-,100
平成25,2013,2,13227,24,羽村市,Hamura-shi,,56732,2,60000,56622,6821,1,60000,56622,6821,-,-,-,-,1,-,-,99.81
平成25,2013,2,13228,25,あきる野市,Akiruno-shi,※,80916,2,-,80916,-,-,-,80916,-,-,-,-,-,2,-,-,100
平成25,2013,2,13229,26,西東京市,Nishitokyo-shi,※,198882,1,7000,198882,-,-,-,198882,-,-,-,-,-,1,7000,-,100
平成25,2013,1,13300,,郡部,All gun,,58030,4,3400,57854,371,-,-,55524,-,1,3400,2330,371,3,-,-,99.7
平成25,2013,2,13303,1,瑞穂町,Mizuho-machi,※,33084,1,-,33084,-,-,-,33084,-,-,-,-,-,1,-,-,100
平成25,2013,2,13305,2,日の出町,Hinode-machi,※,17080,-,-,17080,-,-,-,17080,-,-,-,-,-,-,-,-,100
平成25,2013,2,13307,3,檜原村,Hinohara-mura,,2441,2,3400,2330,371,-,-,-,-,1,3400,2330,371,1,-,-,95.45
平成25,2013,2,13308,4,奥多摩町,Okutama-machi,※,5425,1,-,5360,-,-,-,5360,-,-,-,-,-,1,-,-,98.8
平成25,2013,1,13350,,島部,All islands,,26760,13,35730,26649,4569,2,15750,11826,2219,10,19980,14823,2350,1,-,-,99.59
平成25,2013,2,13361,1,大島町,Oshima-machi,,8133,2,10650,8124,1339,1,6450,5545,926,1,4200,2579,413,-,-,-,99.89
平成25,2013,2,13362,2,利島村,Toshima-mura,,290,1,350,290,40,-,-,-,-,1,350,290,40,-,-,-,100
平成25,2013,2,13363,3,新島村,Niijima-mura,,2892,1,3100,2854,398,-,-,-,-,1,3100,2854,398,-,-,-,98.69
平成25,2013,2,13364,4,神津島村,Kozushima-mura,,1902,1,2150,1898,359,-,-,-,-,1,2150,1898,359,-,-,-,99.79
平成25,2013,2,13381,5,三宅村,Miyake-mura,,2686,1,3920,2686,431,-,-,-,-,1,3920,2686,431,-,-,-,100
平成25,2013,2,13382,6,御蔵島村,Mikurajima-mura,,287,1,500,287,55,-,-,-,-,1,500,287,55,-,-,-,100
平成25,2013,2,13401,7,八丈町,Hachijo-machi,,7899,2,11930,7857,1608,1,9300,6281,1293,1,2630,1576,315,-,-,-,99.47
平成25,2013,2,13402,8,青ヶ島村,Aogashima-mura,,160,1,300,160,32,-,-,-,-,1,300,160,32,-,-,-,100
平成25,2013,2,13421,9,小笠原村,Ogasawara-mura,,2511,3,2830,2493,307,-,-,-,-,2,2830,2493,307,1,-,-,99.28
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-4  地域別水道の普及状況（平成21～平成25年度末） 6-4  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
