年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成25,2013,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2124536,1452950,671586
平成25,2013,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,743322,454350,288972
平成25,2013,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,339095,214208,124887
平成25,2013,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,177479,114447,63032
平成25,2013,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,49888,24132,25755
平成25,2013,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1788071,961910,826161
平成25,2013,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1534719,894601,640118
平成25,2013,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,253352,67309,186043
平成25,2013,京王電鉄,Keio Corporation,,,77.6,66,7027750,4374696,2653054
平成25,2013,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,5952877,3743600,2209277
平成25,2013,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1074873,631096,443777
平成25,2013,京成電鉄,Keisei Electric Railway,,,23.9,19,1178067,703733,474334
平成25,2013,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,779447,433224,346223
平成25,2013,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,374256,255162,119094
平成25,2013,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,24364,15347,9017
平成25,2013,東武鉄道,Tobu Railway ,,,28.2,28,3050280,2045750,1004530
平成25,2013,東武鉄道,Tobu Railway ,東武スカイツリーライン,Tobu Skytree Line,13.4,13,1450351,969656,480695
平成25,2013,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,4969,3189,1780
平成25,2013,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31631,19191,12440
平成25,2013,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1563329,1053714,509615
平成25,2013,北総鉄道,Hokuso Railway,,,2,2,28953,20779,8174
平成25,2013,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,28953,20779,8174
平成25,2013,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,2006,12,1994
平成25,2013,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1256,12,1244
平成25,2013,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,750,-,750
平成25,2013,東京モノレール,Tokyo Monorail,,,17.8,11,524651,154506,370145
平成25,2013,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,570,1,569
平成25,2013,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,502,1,501
平成25,2013,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,68,-,68
平成25,2013,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,237506,54893,182613
平成25,2013,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,484410,244898,239512
平成25,2013,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,248644,163074,85570
平成25,2013,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,864142,594919,269223
,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成21～25年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2009-2013 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
