年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成25,2013,2,13207,7,昭島市,Akishima-shi,75,136,69,9,3,6,1,12,7,5,0,0,3,1,0,2,33
平成25,2013,2,13208,8,調布市,Chofu-shi,106,244,145,20,6,14,8,7,5,2,0,0,8,0,4,4,47
平成25,2013,2,13209,9,町田市,Machida-shi,202,477,231,29,2,27,5,28,22,5,1,0,14,10,0,4,17
平成25,2013,2,13210,10,小金井市,Koganei-shi,59,112,67,5,1,4,0,2,0,2,0,0,2,0,0,2,30
平成25,2013,2,13211,11,小平市,Kodaira-shi,111,168,104,15,2,13,2,5,1,3,1,0,3,0,0,3,44
平成25,2013,2,13212,12,日野市,Hino-shi,84,163,82,5,0,5,0,2,1,1,0,0,2,0,0,2,40
平成25,2013,2,13213,13,東村山市,Higashimurayama-shi,83,169,103,7,2,5,0,11,6,5,0,0,1,0,0,1,33
平成25,2013,2,13214,14,国分寺市,Kokubunji-shi,48,132,65,8,2,6,0,7,5,2,0,0,1,0,0,1,23
平成25,2013,2,13215,15,国立市,Kunitachi-shi,48,111,45,10,2,8,1,6,5,1,0,0,1,0,0,1,22
平成25,2013,2,13218,16,福生市,Fussa-shi,46,101,35,2,0,2,0,3,1,1,1,0,1,0,0,1,15
平成25,2013,2,13219,17,狛江市,Komae-shi,42,72,47,6,4,2,0,1,0,1,0,0,2,0,0,2,19
平成25,2013,2,13220,18,東大和市,Higashiyamato-shi,57,92,52,9,2,7,0,5,0,5,0,0,2,0,0,2,20
平成25,2013,2,13221,19,清瀬市,Kiyose-shi,42,82,45,4,3,1,0,0,0,0,0,0,1,0,0,1,24
平成25,2013,2,13222,20,東久留米市,Higashikurume-shi,53,102,70,12,2,10,0,1,0,1,0,0,1,0,0,1,30
平成25,2013,2,13223,21,武蔵村山市,Musashimurayama-shi,36,67,34,5,1,4,3,4,0,4,0,0,14,12,0,2,23
平成25,2013,2,13224,22,多摩市,Tama-shi,60,130,76,24,1,23,1,10,6,4,0,0,20,9,0,11,42
平成25,2013,2,13225,23,稲城市,Inagi-shi,38,56,46,10,1,9,1,1,1,0,0,0,2,0,0,2,30
平成25,2013,2,13227,24,羽村市,Hamura-shi,45,96,31,5,0,5,6,4,2,2,0,0,3,0,0,3,16
平成25,2013,2,13228,25,あきる野市,Akiruno-shi,60,84,36,10,0,10,8,27,0,13,14,0,4,0,0,4,28
平成25,2013,2,13229,26,西東京市,Nishitokyo-shi,113,221,139,19,4,15,0,4,2,2,0,0,6,0,1,5,43
平成25,2013,1,13300,,郡部,All gun,44,57,30,20,0,20,43,83,7,24,52,0,10,9,0,1,20
平成25,2013,1,13500,,島部,All islands,38,60,13,28,0,28,38,610,5,112,493,0,2,0,0,2,41
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成21～平成25年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2009-2013 )   ,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,
