 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,65 ,"707,128 ",439 ,"4,818,125 ",-,-,-,-,65 ,"707,128 ",439 ,"4,818,125 "
10号東岸壁,27 ,"12,136 ",199 ,"88,146 ",-,-,-,-,27 ,"12,136 ",199 ,"88,146 "
東京港フェリーふ頭,30 ,"379,080 ",197 ,"2,489,292 ",-,-,-,-,30 ,"379,080 ",197 ,"2,489,292 "
多目的ふ頭,1 ,"5,747 ",6 ,"16,236 ",-,-,-,-,1 ,"5,747 ",6 ,"16,236 "
辰巳ふ頭,75 ,"25,674 ",542 ,"189,940 ",-,-,-,-,75 ,"25,674 ",542 ,"189,940 "
青海コンテナふ頭（公共）,118 ,"1,427,047 ",808 ,"9,658,989 ",76 ,"1,395,531 ",521 ,"9,410,150 ",42 ,"31,516 ",287 ,"248,839 "
有明ふ頭,6 ,"5,148 ",34 ,"29,178 ",-,-,-,-,6 ,"5,148 ",34 ,"29,178 "
大井水産物ふ頭,-,-,2 ,"8,524 ",-,-,-,-,-,-,2 ,"8,524 "
大井食品ふ頭（OL）,12 ,"44,670 ",127 ,"491,512 ",2 ,"43,308 ",21 ,"473,262 ",10 ,"1,362 ",106 ,"18,250 "
大井食品ふ頭（OM）,5 ,"44,854 ",31 ,"279,115 ",5 ,"44,854 ",31 ,"279,115 ",-,-,-,-
大井食品ふ頭（ON）,3 ,"34,372 ",9 ,"82,143 ",3 ,"34,372 ",6 ,"68,795 ",-,-,3 ,"13,348 "
若洲内貿ふ頭,12 ,"120,408 ",85 ,"852,890 ",-,-,-,-,12 ,"120,408 ",85 ,"852,890 "
15号地木材ふ頭,1 ,"30,488 ",9 ,"137,366 ",1 ,"30,488 ",5 ,"126,790 ",-,-,4 ,"10,576 "
若洲建材ふ頭,35 ,"19,742 ",243 ,"138,773 ",-,-,-,-,35 ,"19,742 ",243 ,"138,773 "
大井建材ふ頭,61 ,"35,253 ",443 ,"255,073 ",-,-,-,-,61 ,"35,253 ",443 ,"255,073 "
城南島建設発生土ふ頭,53 ,"32,868 ",506 ,"331,547 ",-,-,-,-,53 ,"32,868 ",506 ,"331,547 "
中央防波堤内側ばら物ふ頭,2 ,"43,510 ",28 ,"196,673 ",1 ,"43,012 ",9 ,"184,831 ",1 ,498 ,19 ,"11,842 "
中央防波堤内側建設発生土ふ頭,10 ,"11,698 ",40 ,"42,457 ",-,-,-,-,10 ,"11,698 ",40 ,"42,457 "
中央防波堤内側内貿ふ頭,21 ,"222,243 ",143 ,"1,513,842 ",-,-,-,-,21 ,"222,243 ",143 ,"1,513,842 "
官公庁（晴海）,2 ,"5,186 ",10 ,"28,384 ",-,-,-,-,2 ,"5,186 ",10 ,"28,384 "
官公庁（月島）,6 ,"1,194 ",27 ,"5,367 ",-,-,-,-,6 ,"1,194 ",27 ,"5,367 "
官公庁（有明）,1 ,"3,884 ",7 ,"20,253 ",-,-,-,-,1 ,"3,884 ",7 ,"20,253 "
東京港埠頭㈱計,301 ,"7,243,775 ","2,240 ","53,366,753 ",191 ,"7,070,721 ","1,423 ","52,064,468 ",110 ,"173,054 ",817 ,"1,302,285 "
青海コンテナふ頭(埠頭㈱),28 ,"1,080,623 ",332 ,"9,927,302 ",22 ,"1,075,587 ",271 ,"9,858,225 ",6 ,"5,036 ",61 ,"69,077 "
お台場ライナーふ頭,20 ,"116,889 ",191 ,"1,117,191 ",6 ,"54,200 ",60 ,"610,926 ",14 ,"62,689 ",131 ,"506,265 "
大井コンテナふ頭,253 ,"6,046,263 ","1,717 ","42,322,260 ",163 ,"5,940,934 ","1,092 ","41,595,317 ",90 ,"105,329 ",625 ,"726,943 "
民間計,497 ,"1,748,812 ","3,484 ","8,682,360 ",86 ,"1,314,353 ",359 ,"5,259,870 ",411 ,"434,459 ","3,125 ","3,422,490 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
