"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（使用したことがある）[人]","知っているが 使用したことはない[人]","知らないが使用してみたい[人]","知らないし使用してみたいとも思わない[人]","無回答[人]"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","無回答","14","0","0","1","2","11"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","自営業主・家族従業","86","2","15","30","36","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","会社員・団体職員・公務員","243","11","46","116","70","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","アルバイト・パートタイマー","35","0","10","14","11","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","家事専業","55","3","12","28","12","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","学生","13","2","3","6","2","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","無職","81","2","7","41","29","2"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","その他","31","2","3","16","10","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","職業別","無回答","14","0","1","1","1","11"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","芝地区","86","4","15","37","30","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","麻布地区","87","5","15","41","25","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","赤坂地区","81","4","14","31","29","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","高輪地区","146","5","24","71","45","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","芝浦港南地区","139","4","29","66","39","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","居住地区別","無回答","19","0","0","6","3","10"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","持家（一戸建）","64","2","9","29","23","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","持家（マンション）","267","12","51","113","88","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","借家（一戸建）","9","0","1","3","5","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","民間の賃貸マンション・アパート","151","6","23","78","44","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","都営住宅・区営住宅・区立住宅","26","0","7","11","7","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","1","1","8","1","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","社宅・公務員宿舎","10","1","2","4","3","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","2","2","0","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","その他","5","0","1","4","0","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","住居形態別","無回答","11","0","0","0","0","11"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","ずっと住み続けていたい","279","10","46","118","95","10"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","当分は住んでいたい","203","9","38","103","50","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","3","5","19","17","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","2","1","2","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","近いうちに区外に転居する予定である","13","0","4","7","1","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","わからない","10","0","0","4","6","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","定住意向別","無回答","3","0","2","0","0","1"

"第33回港区民世論調査クロス集計表・やさしい日本語Q32","Ver202203",,,,,,,,,
