区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の主な産業別内訳〕／情報通信業,550,531,19,3.6,406,391,15,3.8,145,141,4,2.8
〔就業者の主な産業別内訳〕／運輸業,315,337,-22,-6.5,262,281,-19,-6.8,52,56,-4,-7.1
〔就業者の主な産業別内訳〕／卸売・小売業,1231,1226,5,0.4,659,651,8,1.2,572,575,-3,-0.5
〔就業者の主な産業別内訳〕／金融・保険業,275,245,30,12.2,151,136,15,11,124,109,15,13.8
〔就業者の主な産業別内訳〕／不動産業,186,192,-6,-3.1,114,117,-3,-2.6,72,74,-2,-2.7
〔就業者の主な産業別内訳〕／飲食店，宿泊業,444,447,-3,-0.7,216,211,5,2.4,228,236,-8,-3.4
〔就業者の主な産業別内訳〕／医療，福祉,536,515,21,4.1,143,142,1,0.7,393,373,20,5.4
〔就業者の主な産業別内訳〕／教育，学習支援業,308,291,17,5.8,132,139,-7,-5,177,152,25,16.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1327,1304,23,1.8,745,720,25,3.5,582,584,-2,-0.3
〔就業者の主な産業別内訳〕／その他(上記以外のもの),328,386,-58,-15,220,255,-35,-13.7,107,130,-23,-17.7
〔雇用者の主な産業別内訳〕／建設業,419,409,10,2.4,352,348,4,1.1,67,62,5,8.1
〔雇用者の主な産業別内訳〕／製造業,811,807,4,0.5,599,589,10,1.7,212,218,-6,-2.8
〔雇用者の主な産業別内訳〕／情報通信業,525,511,14,2.7,387,377,10,2.7,138,134,4,3
〔雇用者の主な産業別内訳〕／運輸業,285,303,-18,-5.9,233,248,-15,-6,52,55,-3,-5.5
〔雇用者の主な産業別内訳〕／卸売・小売業,1132,1128,4,0.4,604,596,8,1.3,528,533,-5,-0.9
〔雇用者の主な産業別内訳〕／金融・保険業,272,243,29,11.9,149,135,14,10.4,122,108,14,13
〔雇用者の主な産業別内訳〕／不動産業,159,162,-3,-1.9,100,101,-1,-1,59,61,-2,-3.3
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,365,353,12,3.4,174,164,10,6.1,192,189,3,1.6
〔雇用者の主な産業別内訳〕／医療，福祉,498,472,26,5.5,121,116,5,4.3,377,356,21,5.9
〔雇用者の主な産業別内訳〕／教育，学習支援業,278,266,12,4.5,127,133,-6,-4.5,152,132,20,15.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1114,1092,22,2,613,589,24,4.1,501,502,-1,-0.2
〔雇用者の主な産業別内訳〕／その他(上記以外のもの),289,314,-25,-8,196,193,3,1.6,92,98,-6,-6.1
〔非農林業雇用者の従業者規模別内訳〕／総数,6148,6059,89,1.5,3656,3610,46,1.3,2492,2449,43,1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1868,1926,-58,-3,1076,1120,-44,-3.9,792,806,-14,-1.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1950,1919,31,1.6,1152,1119,33,2.9,798,800,-2,-0.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1898,1764,134,7.6,1194,1109,85,7.7,704,654,50,7.6
〔完全失業率（年齢階級別）(%)〕／総数,3.8,3.8,0,,3.6,3.7,-0.1,,4.1,4,0.1,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.2,6.4,-0.2,,6.2,5.6,0.6,,6.1,6.8,-0.7,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5,4.7,0.3,,4.8,4.9,-0.1,,5.3,4.4,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.5,3.6,-0.1,,2.9,3.2,-0.3,,4.3,4.2,0.1,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.7,2.9,-0.2,,2.6,2.7,-0.1,,2.9,3.3,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3,3.5,-0.5,,3.2,3.5,-0.3,,2.7,3.4,-0.7,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.9,2.3,0.6,,3.2,2.8,0.4,,2.3,1.4,0.9,
〔労働力人口比率(%)〕／総数,63.1,63,0.1,,76,76,0,,50.5,50.2,0.3,
,,,,,,,,,,,,
東京の労働力統計データ（平成20年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成20年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
注3)「雇用者の主な産業別内訳」は17年集計から追加した。,,,,,,,,,,,,
