年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成10年１～３月平均,1998,01～03,10335,6605,6312,293,3712,63.9,4.4,5139,3990,3814,177,1137,77.6,4.4,5196,2614,2498,116,2575,50.3,4.4
実数／平成10年４～６月平均,1998,04～06,10369,6770,6398,372,3579,65.3,5.5,5150,4077,3859,219,1060,79.2,5.4,5219,2693,2540,153,2519,51.6,5.7
実数／平成10年７～９月平均,1998,07～09,10360,6627,6295,332,3726,64,5,5142,4041,3828,212,1097,78.6,5.2,5217,2586,2467,119,2628,49.6,4.6
実数／平成10年10～12月平均,1998,10～12,10358,6598,6282,316,3748,63.7,4.8,5136,4007,3809,198,1121,78,4.9,5222,2590,2473,118,2628,49.6,4.6
実数／平成11年１～３月平均,1999,01～03,10349,6611,6242,369,3710,63.9,5.6,5123,4001,3774,226,1105,78.1,5.6,5225,2610,2468,143,2606,50,5.5
実数／平成11年４～６月平均,1999,04～06,10366,6670,6274,395,3672,64.3,5.9,5126,4022,3759,263,1093,78.5,6.5,5240,2648,2515,133,2578,50.5,5
実数／平成11年７～９月平均,1999,07～09,10355,6504,6159,344,3837,62.8,5.3,5119,3970,3766,204,1139,77.6,5.1,5236,2533,2393,140,2698,48.4,5.5
実数／平成11年10～12月平均,1999,10～12,10355,6564,6234,330,3783,63.4,5,5111,3963,3760,203,1143,77.5,5.1,5244,2601,2474,127,2640,49.6,4.9
実数／平成12年１～３月平均,2000,01～03,10370,6513,6167,345,3845,62.8,5.3,5114,3959,3754,205,1149,77.4,5.2,5256,2554,2414,140,2696,48.6,5.5
実数／平成12年４～６月平均,2000,04～06,10385,6544,6185,359,3828,63,5.5,5117,3946,3747,199,1163,77.1,5,5268,2598,2438,160,2664,49.3,6.2
実数／平成12年７～９月平均,2000,07～09,10376,6466,6134,332,3900,62.3,5.1,5110,3909,3705,204,1196,76.5,5.2,5266,2557,2429,128,2704,48.6,5
実数／平成12年10～12月平均,2000,10～12,10389,6574,6297,277,3796,63.3,4.2,5109,3966,3791,176,1128,77.6,4.4,5280,2608,2507,101,2668,49.4,3.9
実数／平成13年１～３月平均,2001,01～03,10401,6512,6201,311,3870,62.6,4.8,5113,3953,3759,194,1150,77.3,4.9,5288,2559,2442,117,2720,48.4,4.6
実数／平成13年４～６月平均,2001,04～06,10428,6503,6153,350,3921,62.4,5.4,5121,3938,3732,205,1182,76.9,5.2,5306,2565,2421,144,2739,48.3,5.6
実数／平成13年７～９月平均,2001,07～09,10427,6476,6116,360,3942,62.1,5.6,5119,3907,3686,221,1207,76.3,5.7,5308,2569,2430,139,2735,48.4,5.4
実数／平成13年10～12月平均,2001,10～12,10447,6554,6231,323,3889,62.7,4.9,5123,3897,3690,206,1225,76.1,5.3,5324,2658,2541,116,2664,49.9,4.4
実数／平成14年１～３月平均,2002,01～03,10702,6749,6373,376,3946,63.1,5.6,5307,4089,3868,221,1215,77,5.4,5395,2659,2504,155,2731,49.3,5.8
実数／平成14年４～６月平均,2002,04～06,10728,6706,6299,407,4007,62.5,6.1,5318,4050,3798,252,1256,76.2,6.2,5410,2656,2502,154,2751,49.1,5.8
実数／平成14年７～９月平均,2002,07～09,10733,6662,6277,385,4065,62.1,5.8,5322,4064,3826,238,1255,76.4,5.9,5410,2598,2451,147,2809,48,5.7
実数／平成14年10～12月平均,2002,10～12,10736,6691,6371,320,4034,62.3,4.8,5321,4011,3816,196,1303,75.4,4.9,5415,2680,2556,124,2730,49.5,4.6
実数／平成15年１～３月平均,2003,01～03,10777,6582,6273,310,4182,61.1,4.7,5342,4000,3825,174,1337,74.9,4.4,5435,2583,2447,135,2846,47.5,5.2
実数／平成15年４～６月平均,2003,04～06,10826,6778,6419,359,4037,62.6,5.3,5363,4135,3924,211,1224,77.1,5.1,5463,2643,2496,147,2813,48.4,5.6
実数／平成15年７～９月平均,2003,07～09,10830,6767,6439,328,4055,62.5,4.8,5365,4027,3827,200,1335,75.1,5,5465,2740,2611,128,2720,50.1,4.7
実数／平成15年10～12月平均,2003,10～12,10824,6769,6408,361,4052,62.5,5.3,5361,4074,3863,211,1285,76,5.2,5463,2695,2544,150,2767,49.3,5.6
実数／平成16年１～３月平均,2004,01～03,10860,6656,6302,353,4185,61.3,5.3,5376,4034,3826,209,1332,75,5.2,5483,2622,2477,145,2853,47.8,5.5
実数／平成16年４～６月平均,2004,04～06,10887,6751,6428,324,4134,62,4.8,5386,4055,3862,193,1329,75.3,4.8,5501,2696,2565,131,2804,49,4.9
実数／平成16年７～９月平均,2004,07～09,10874,6767,6431,336,4102,62.2,5,5382,4002,3796,205,1377,74.4,5.1,5492,2766,2634,131,2724,50.4,4.7
実数／平成16年10～12月平均,2004,10～12,10880,6681,6356,325,4185,61.4,4.9,5383,3995,3795,200,1379,74.2,5,5497,2686,2561,126,2806,48.9,4.7
実数／平成17年１～３月平均,2005,01～03,10917,6683,6348,334,4221,61.2,5,5396,4028,3821,207,1361,74.6,5.1,5520,2654,2527,128,2859,48.1,4.8
実数／平成17年４～６月平均,2005,04～06,10928,6759,6419,340,4160,61.9,5,5402,4034,3832,201,1364,74.7,5,5526,2726,2587,139,2796,49.3,5.1
実数／平成17年７～９月平均,2005,07～09,10958,6791,6483,308,4153,62,4.5,5419,3995,3819,175,1418,73.7,4.4,5540,2796,2663,133,2735,50.5,4.8
実数／平成17年10～12月平均,2005,10～12,10982,6857,6560,297,4114,62.4,4.3,5430,4069,3886,183,1359,74.9,4.5,5552,2788,2674,114,2755,50.2,4.1
実数／平成18年１～３月平均,2006,01～03,10976,6765,6473,292,4207,61.6,4.3,5425,4035,3839,197,1387,74.4,4.9,5551,2729,2634,95,2820,49.2,3.5
実数／平成18年４～６月平均,2006,04～06,11021,6943,6660,283,4071,63,4.1,5447,4098,3938,160,1346,75.2,3.9,5574,2845,2722,123,2726,51,4.3
実数／平成18年７～９月平均,2006,07～09,11039,6903,6633,270,4125,62.5,3.9,5456,4064,3902,162,1387,74.5,4,5583,2839,2730,109,2737,50.9,3.8
実数／平成18年10～12月平均,2006,10～12,11066,6763,6463,300,4296,61.1,4.4,5468,4017,3836,181,1448,73.5,4.5,5598,2747,2627,119,2848,49.1,4.3
実数／平成19年１～３月平均,2007,01～03,11234,7036,6723,313,4193,62.6,4.4,5572,4247,4054,194,1321,76.2,4.6,5662,2788,2669,119,2873,49.2,4.3
実数／平成19年４～６月平均,2007,04～06,11273,7160,6889,271,4102,63.5,3.8,5591,4296,4144,153,1288,76.8,3.6,5683,2864,2745,119,2814,50.4,4.2
実数／平成19年７～９月平均,2007,07～09,11295,7196,6951,245,4087,63.7,3.4,5603,4257,4100,157,1339,76,3.7,5692,2939,2851,88,2747,51.6,3
実数／平成19年10～12月平均,2007,10～12,11307,7028,6767,261,4271,62.2,3.7,5609,4206,4074,132,1401,75,3.1,5698,2822,2693,129,2869,49.5,4.6
実数／平成20年１～３月平均,2008,01～03,11301,7109,6851,258,4185,62.9,3.6,5605,4259,4107,152,1344,76,3.6,5696,2850,2744,106,2841,50,3.7
実数／平成20年４～６月平均,2008,04～06,11342,7160,6878,282,4180,63.1,3.9,5623,4284,4121,163,1338,76.2,3.8,5719,2876,2757,119,2842,50.3,4.1
対前年・前年同期増減数／平成10年平均,1998,,45,4,-49,53,45,-0.3,0.8,9,-8,-52,43,19,-0.2,1.1,36,12,2,9,26,-0.1,0.3
対前年・前年同期増減数／平成11年平均,1999,,0,-63,-95,32,59,-0.6,0.6,-22,-40,-62,23,16,-0.5,0.6,22,-23,-31,9,43,-0.7,0.4
対前年・前年同期増減数／平成12年平均,2000,,24,-63,-31,-32,92,-0.7,-0.5,-7,-44,-16,-28,39,-0.7,-0.6,31,-19,-16,-4,53,-0.6,-0.1
対前年・前年同期増減数／平成13年平均,2001,,46,-13,-21,8,63,-0.5,0.2,6,-21,-32,11,32,-0.5,0.3,39,9,11,-3,31,-0.2,-0.1
対前年・前年同期増減数／平成14年平均,2002,,299,191,155,36,108,0.1,0.4,198,130,110,20,66,-0.5,0.3,102,60,45,16,41,0.2,0.5
対前年・前年同期増減数／平成15年平均,2003,,89,22,55,-33,69,-0.3,-0.6,41,5,33,-28,38,-0.4,-0.7,49,17,22,-5,32,-0.2,-0.2
対前年・前年同期増減数／平成16年平均,2004,,61,-10,-6,-4,69,-0.5,0,24,-37,-40,-66,1502,-1.1,0.1,36,27,34,-7,10,0.2,-0.4
対前年・前年同期増減数／平成17年平均,2005,,71,58,74,-15,11,0.2,-0.3,30,9,20,-11,20,-0.2,-0.3,41,49,54,-4,-10,0.5,-0.2
対前年・前年同期増減数／平成18年平均,2006,,80,72,104,-34,13,0.2,-0.5,37,23,39,-16,17,-0.1,-0.4,43,49,65,-17,-4,0.5,-0.7
対前年・前年同期増減数／平成19年平均,2007,,251,261,275,-13,-12,0.9,-0.4,145,198,214,-16,-55,1.6,-0.6,107,63,62,2,43,0.2,0
対前年・前年同期増減数／平成10年１～３月平均,1998,01～03,59,44,9,35,15,0.1,0.5,22,-9,-45,37,30,-0.6,0.9,37,52,53,-1,-14,0.6,-0.2
対前年・前年同期増減数／平成10年４～６月平均,1998,04～06,48,12,-57,69,36,-0.2,1,14,-3,-55,52,17,-0.2,1.3,34,16,-1,17,19,0,0.6
対前年・前年同期増減数／平成10年７～９月平均,1998,07～09,43,-22,-65,43,73,-0.4,0.7,5,-17,-49,30,27,-0.4,0.7,37,-5,-16,11,45,-0.4,0.4
対前年・前年同期増減数／平成10年10～12月平均,1998,10～12,28,-18,-83,65,56,-0.3,1,-5,-2,-58,56,-1,0,1.4,33,-17,-25,9,58,-0.6,0.4
対前年・前年同期増減数／平成11年１～３月平均,1999,01～03,14,6,-70,76,-2,0,1.2,-16,11,-40,49,-32,0.5,1.2,29,-4,-30,27,31,-0.3,1.1
対前年・前年同期増減数／平成11年４～６月平均,1999,04～06,-3,-100,-124,23,93,-1,0.4,-24,-55,-100,44,33,-0.7,1.1,21,-45,-25,-20,59,-1.1,-0.7
対前年・前年同期増減数／平成11年７～９月平均,1999,07～09,-5,-123,-136,12,111,-1.2,0.3,-23,-71,-62,-8,42,-1,-0.1,19,-53,-74,21,70,-1.2,0.9
対前年・前年同期増減数／平成11年10～12月平均,1999,10～12,-3,-34,-48,14,35,-0.3,0.2,-25,-44,-49,5,22,-0.5,0.2,22,11,1,9,12,0,0.3
対前年・前年同期増減数／平成12年１～３月平均,2000,01～03,21,-98,-75,-24,135,-1.1,-0.3,-9,-42,-20,-21,44,-0.7,-0.4,31,-56,-54,-3,90,-1.4,0
対前年・前年同期増減数／平成12年４～６月平均,2000,04～06,19,-126,-89,-36,156,-1.3,-0.4,-9,-76,-12,-64,70,-1.4,-1.5,28,-50,-77,27,86,-1.2,1.2
対前年・前年同期増減数／平成12年７～９月平均,2000,07～09,21,-38,-25,-12,63,-0.5,-0.2,-9,-61,-61,0,57,-1.1,0.1,30,24,36,-12,6,0.2,-0.5
対前年・前年同期増減数／平成12年10～12月平均,2000,10～12,34,10,63,-53,13,-0.1,-0.8,-2,3,31,-27,-15,0.1,-0.7,36,7,33,-26,28,-0.2,-1
対前年・前年同期増減数／平成13年１～３月平均,2001,01～03,31,-1,34,-34,25,-0.2,-0.5,-1,-6,5,-11,1,-0.1,-0.3,32,5,28,-23,24,-0.2,-0.9
対前年・前年同期増減数／平成13年４～６月平均,2001,04～06,43,-41,-32,-9,93,-0.6,-0.1,4,-8,-15,6,19,-0.2,0.2,38,-33,-17,-16,75,-1,-0.6
対前年・前年同期増減数／平成13年７～９月平均,2001,07～09,51,10,-18,28,42,-0.2,0.5,9,-2,-19,17,11,-0.2,0.5,42,12,1,11,31,-0.2,0.4
対前年・前年同期増減数／平成13年10～12月平均,2001,10～12,58,-20,-66,46,93,-0.6,0.7,14,-69,-101,30,97,-1.5,0.9,44,50,34,15,-4,0.5,0.5
対前年・前年同期増減数／平成14年１～３月平均,2002,01～03,301,237,172,65,76,0.5,0.8,194,136,109,27,65,-0.3,0.5,107,100,62,38,11,0.9,1.2
対前年・前年同期増減数／平成14年４～６月平均,2002,04～06,300,203,146,57,86,0.1,0.7,197,112,66,47,74,-0.7,1,104,91,81,10,12,0.8,0.2
対前年・前年同期増減数／平成14年７～９月平均,2002,07～09,306,186,161,25,123,0,0.2,203,157,140,17,48,0.1,0.2,102,29,21,8,74,-0.4,0.3
対前年・前年同期増減数／平成14年10～12月平均,2002,10～12,289,137,140,-3,145,-0.4,-0.1,198,114,126,-10,78,-0.7,-0.4,91,22,15,8,66,-0.4,0.2
対前年・前年同期増減数／平成15年１～３月平均,2003,01～03,75,-167,-100,-66,236,-2,-0.9,35,-89,-43,-47,122,-2.1,-1,40,-76,-57,-20,115,-1.8,-0.6
対前年・前年同期増減数／平成15年４～６月平均,2003,04～06,98,72,120,-48,30,0.1,-0.8,45,85,126,-41,-32,0.9,-1.1,53,-13,-6,-7,62,-0.7,-0.2
対前年・前年同期増減数／平成15年７～９月平均,2003,07～09,97,105,162,-57,-10,0.4,-1,43,-37,1,-38,80,-1.3,-0.9,55,142,160,-19,-89,2.1,-1
対前年・前年同期増減数／平成15年10～12月平均,2003,10～12,88,78,37,41,18,0.2,0.5,40,63,47,15,-18,0.6,0.3,48,15,-12,26,37,-0.2,1
対前年・前年同期増減数／平成16年１～３月平均,2004,01～03,83,74,29,43,3,0.2,0.6,34,34,1,35,-5,0.1,0.8,48,39,30,10,7,0.3,0.3
対前年・前年同期増減数／平成16年４～６月平均,2004,04～06,61,-27,9,-35,97,-0.6,-0.5,23,-80,-62,-18,105,-1.8,-0.3,38,53,69,-16,-9,0.6,-0.7
対前年・前年同期増減数／平成16年７～９月平均,2004,07～09,44,0,-8,8,47,-0.3,0.2,17,-25,-31,5,42,-0.7,0.1,27,26,23,3,4,0.3,0
対前年・前年同期増減数／平成16年10～12月平均,2004,10～12,56,-88,-52,-36,133,-1.1,-0.4,22,-79,-68,-11,94,-1.8,-0.2,34,-9,17,-24,39,-0.4,-0.9
対前年・前年同期増減数／平成17年１～３月平均,2005,01～03,57,27,46,-19,36,-0.1,-0.3,20,-6,-5,-2,29,-0.4,-0.1,37,32,50,-17,6,0.3,-0.7
対前年・前年同期増減数／平成17年４～６月平均,2005,04～06,41,8,-9,16,26,-0.1,0.2,16,-21,-30,8,35,-0.6,0.2,25,30,22,8,-8,0.3,0.2
対前年・前年同期増減数／平成17年７～９月平均,2005,07～09,84,24,52,-28,51,-0.2,-0.5,37,-7,23,-30,41,-0.7,-0.7,48,30,29,2,11,0.1,0.1
対前年・前年同期増減数／平成17年10～12月平均,2005,10～12,102,176,204,-28,-71,1,-0.6,47,74,91,-17,-20,0.7,-0.5,55,102,113,-12,-51,1.3,-0.6
対前年・前年同期増減数／平成18年１～３月平均,2006,01～03,59,82,125,-42,-14,0.4,-0.7,29,7,18,-10,26,-0.2,-0.2,31,75,107,-33,-39,1.1,-1.3
対前年・前年同期増減数／平成18年４～６月平均,2006,04～06,93,184,241,-57,-89,1.1,-0.9,45,64,106,-41,-18,0.5,-1.1,48,119,135,-16,-70,1.7,-0.8
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,81,112,150,-38,-28,0.5,-0.6,37,69,83,-13,-31,0.8,-0.4,43,43,67,-24,2,0.4,-1
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,84,-94,-97,3,182,-1.3,0.1,38,-52,-50,-2,89,-1.4,0,46,-41,-47,5,93,-1.1,0.2
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,258,271,250,21,-14,1,0.1,147,212,215,-3,-66,1.8,-0.3,111,59,35,24,53,0,0.8
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,252,217,229,-12,31,0.5,-0.3,144,198,206,-7,-58,1.6,-0.3,109,19,23,-4,88,-0.6,-0.1
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,256,293,318,-25,-38,1.2,-0.5,147,193,198,-5,-48,1.5,-0.3,109,100,121,-21,10,0.7,-0.8
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,241,265,304,-39,-25,1.1,-0.7,141,189,238,-49,-47,1.5,-1.4,100,75,66,10,21,0.4,0.3
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,67,73,128,-55,-8,0.3,-0.8,33,12,53,-42,23,-0.2,-1,34,62,75,-13,-32,0.8,-0.6
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,69,0,-11,11,78,-0.4,0.1,32,-12,-23,10,50,-0.6,0.2,36,12,12,0,28,-0.1,-0.1
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成20年４～６月平均）,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態別、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,
注)15歳以上人口には、不詳を含む。,,,,,,,,,,,,,,,,,,,,,,,
