年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男／平成14年10～12月平均,2002,10～12,421,600,285,298,627,91,91,208,96,160,634
実数／男／平成15年１～３月平均,2003,01～03,433,638,320,287,542,106,83,218,132,156,606
実数／男／平成15年４～６月平均,2003,04～06,400,634,397,257,655,136,84,209,108,103,654
実数／男／平成15年７～９月平均,2003,07～09,389,564,377,274,672,100,89,176,115,134,667
実数／男／平成15年10～12月平均,2003,10～12,387,568,292,301,611,132,84,222,129,138,672
実数／男／平成16年１～３月平均,2004,01～03,427,606,344,239,574,127,85,202,129,147,611
実数／男／平成16年４～６月平均,2004,04～06,398,568,351,216,659,112,79,215,105,135,687
実数／男／平成16年７～９月平均,2004,07～09,403,579,347,251,647,97,87,157,119,119,717
実数／男／平成16年10～12月平均,2004,10～12,386,557,307,254,658,152,68,186,118,159,683
実数／男／平成17年１～３月平均,2005,01～03,392,558,334,234,637,108,92,226,136,145,664
実数／男／平成17年４～６月平均,2005,04～06,394,630,311,218,600,126,99,218,124,116,719
実数／男／平成17年７～９月平均,2005,07～09,422,626,334,266,552,104,118,188,141,126,698
実数／男／平成17年10～12月平均,2005,10～12,404,554,335,270,615,137,90,204,123,151,708
実数／男／平成18年１～３月平均,2006,01～03,378,591,350,286,613,111,114,185,122,149,649
実数／男／平成18年４～６月平均,2006,04～06,416,647,375,289,615,122,106,205,128,135,688
実数／男／平成18年７～９月平均,2006,07～09,399,571,364,285,564,124,127,227,143,134,721
実数／男／平成18年10～12月平均,2006,10～12,371,529,329,293,589,131,94,205,120,112,775
実数／男／平成19年１～３月平均,2007,01～03,393,638,414,309,625,123,123,187,140,143,681
実数／男／平成19年４～６月平均,2007,04～06,454,677,386,276,654,128,112,202,137,140,686
実数／男／平成19年７～９月平均,2007,07～09,409,593,373,251,683,145,117,245,150,143,766
実数／男／平成19年10～12月平均,2007,10～12,403,624,389,287,644,150,118,209,142,131,748
実数／男／平成20年１～３月平均,2008,01～03,427,647,412,291,654,156,118,210,129,123,709
実数／男／平成20年４～６月平均,2008,04～06,402,617,368,248,696,165,115,218,119,156,752
実数／男／平成20年７～９月平均,2008,07～09,416,615,415,270,641,153,116,210,163,124,750
実数／男／平成20年10～12月平均,2008,10～12,434,655,427,241,645,130,109,227,161,124,770
実数／女／平成14年平均,2002,,76,272,113,50,535,117,64,231,293,145,498
実数／女／平成15年平均,2003,,78,249,117,58,533,97,64,231,333,149,501
実数／女／平成16年平均,2004,,88,232,121,49,548,119,52,222,346,150,515
実数／女／平成17年平均,2005,,66,245,128,52,542,109,59,220,392,158,525
実数／女／平成18年平均,2006,,69,251,126,57,559,99,65,229,387,161,558
実数／女／平成19年平均,2007,,69,242,141,56,575,109,74,236,373,152,584
実数／女／平成14年１～３月平均,2002,01～03,80,283,106,53,542,105,61,218,291,158,501
実数／女／平成14年４～６月平均,2002,04～06,82,291,127,47,531,115,57,242,307,116,487
実数／女／平成14年７～９月平均,2002,07～09,68,242,105,41,520,132,69,229,298,143,488
実数／女／平成14年10～12月平均,2002,10～12,73,272,113,59,548,117,70,236,274,162,516
実数／女／平成15年１～３月平均,2003,01～03,69,260,103,52,492,82,88,210,298,147,528
実数／女／平成15年４～６月平均,2003,04～06,103,242,142,52,522,85,48,218,328,150,502
実数／女／平成15年７～９月平均,2003,07～09,71,222,113,62,592,115,58,235,361,157,500
実数／女／平成15年10～12月平均,2003,10～12,70,269,110,65,527,108,63,260,344,142,473
実数／女／平成16年１～３月平均,2004,01～03,75,245,130,47,539,112,67,211,304,122,513
実数／女／平成16年４～６月平均,2004,04～06,114,231,142,42,541,107,51,205,330,179,519
実数／女／平成16年７～９月平均,2004,07～09,82,218,113,56,579,125,46,241,356,155,526
実数／女／平成16年10～12月平均,2004,10～12,79,233,101,53,534,130,47,230,396,145,501
実数／女／平成17年１～３月平均,2005,01～03,82,233,140,50,511,106,55,214,349,138,539
実数／女／平成17年４～６月平均,2005,04～06,70,247,136,47,517,87,51,195,414,181,516
実数／女／平成17年７～９月平均,2005,07～09,54,240,129,62,558,120,61,238,398,160,526
実数／女／平成17年10～12月平均,2005,10～12,58,259,107,49,581,122,71,233,405,152,520
実数／女／平成18年１～３月平均,2006,01～03,82,259,120,62,545,97,74,215,335,161,561
実数／女／平成18年４～６月平均,2006,04～06,74,248,126,53,523,85,65,236,411,178,592
実数／女／平成18年７～９月平均,2006,07～09,55,256,153,65,587,108,57,233,406,160,557
実数／女／平成18年10～12月平均,2006,10～12,65,243,106,47,583,104,65,230,394,144,523
実数／女／平成19年１～３月平均,2007,01～03,80,274,119,66,577,95,85,216,351,129,544
実数／女／平成19年４～６月平均,2007,04～06,73,247,131,57,549,93,91,234,368,141,610
実数／女／平成19年７～９月平均,2007,07～09,62,226,164,61,628,124,63,255,378,169,593
実数／女／平成19年10～12月平均,2007,10～12,61,221,148,41,544,123,59,237,395,169,588
実数／女／平成20年１～３月平均,2008,01～03,83,253,143,63,576,126,87,245,352,169,536
実数／女／平成20年４～６月平均,2008,04～06,74,226,121,51,620,125,70,227,387,173,540
実数／女／平成20年７～９月平均,2008,07～09,67,218,139,48,563,132,64,230,417,199,580
実数／女／平成20年10～12月平均,2008,10～12,61,221,148,41,544,123,59,237,395,169,588
対前年・前年同期増減数／男女計／平成15年平均,2003,,-9,-66,73,4,-13,-2,-2,-8,53,-6,6
対前年・前年同期増減数／男女計／平成16年平均,2004,,11,-40,-4,-48,30,25,-17,-25,10,9,38
対前年・前年同期増減数／男女計／平成17年平均,2005,,-22,28,-2,10,-40,-13,27,17,58,2,34
対前年・前年同期増減数／男女計／平成18年平均,2006,,-9,-1,24,46,12,-8,16,5,-7,1,44
対前年・前年同期増減数／男女計／平成19年平均,2007,,24,39,50,-8,71,25,17,13,0,-2,37
対前年・前年同期増減数／男女計／平成15年１～３月平均,2003,01～03,-2,-49,48,5,-100,-25,29,-9,13,-7,-58
対前年・前年同期増減数／男女計／平成15年４～６月平均,2003,04～06,15,-106,164,-7,-6,-5,-8,-34,18,27,51
対前年・前年同期増減数／男女計／平成15年７～９月平均,2003,07～09,-11,-72,79,9,90,-12,-15,-28,77,0,35
対前年・前年同期増減数／男女計／平成15年10～12月平均,2003,10～12,-37,-35,3,9,-37,32,-13,38,102,-43,-5
対前年・前年同期増減数／男女計／平成16年１～３月平均,2004,01～03,0,-46,50,-52,79,51,-20,-15,3,-33,-10
対前年・前年同期増減数／男女計／平成16年４～６月平均,2004,04～06,9,-78,-45,-51,23,-1,-2,-8,-2,60,50
対前年・前年同期増減数／男女計／平成16年７～９月平均,2004,07～09,25,11,-30,-30,-37,8,-15,-12,-2,-17,76
対前年・前年同期増減数／男女計／平成16年10～12月平均,2004,10～12,8,-47,6,-59,54,43,-32,-65,41,25,39
対前年・前年同期増減数／男女計／平成17年１～３月平均,2005,01～03,-28,-61,1,-2,35,-25,-4,27,52,13,79
対前年・前年同期増減数／男女計／平成17年４～６月平均,2005,04～06,-48,79,-48,7,-83,-5,20,-7,104,-16,30
対前年・前年同期増減数／男女計／平成17年７～９月平均,2005,07～09,-9,69,3,21,-115,1,47,27,64,12,-19
対前年・前年同期増減数／男女計／平成17年10～12月平均,2005,10～12,-2,23,35,13,4,-24,46,20,14,-1,45
対前年・前年同期増減数／男女計／平成18年１～３月平均,2006,01～03,-13,59,-3,64,11,-6,39,-40,-27,28,7
対前年・前年同期増減数／男女計／平成18年４～６月平均,2006,04～06,26,17,55,77,21,-7,21,29,1,16,45
対前年・前年同期増減数／男女計／平成18年７～９月平均,2006,07～09,-22,-39,53,22,40,8,5,33,10,8,54
対前年・前年同期増減数／男女計／平成18年10～12月平均,2006,10～12,-27,-42,-8,20,-25,-24,-2,-2,-14,-47,69
対前年・前年同期増減数／男女計／平成19年１～３月平均,2007,01～03,11,61,62,27,43,9,21,4,32,-38,15
対前年・前年同期増減数／男女計／平成19年４～６月平均,2007,04～06,37,29,16,-9,65,14,31,-5,-34,-31,14
対前年・前年同期増減数／男女計／平成19年７～９月平均,2007,07～09,17,-8,22,-38,160,37,-4,41,-21,17,81
対前年・前年同期増減数／男女計／平成19年10～12月平均,2007,10～12,28,74,102,-12,17,38,18,11,23,44,38
対前年・前年同期増減数／男女計／平成20年１～３月平均,2008,01～03,39,-11,22,-21,28,65,-3,51,-10,20,20
対前年・前年同期増減数／男女計／平成20年４～６月平均,2008,04～06,-52,-81,-29,-34,113,70,-18,9,0,47,-4
対前年・前年同期増減数／男女計／平成20年７～９月平均,2008,07～09,12,15,16,6,-107,17,0,-60,52,12,-29
対前年・前年同期増減数／男女計／平成20年10～12月平均,2008,10～12,42,43,67,-39,-13,-32,-4,-9,39,-11,104
対前年・前年同期増減数／男／平成15年平均,2003,,-11,-42,69,-3,-11,16,-2,-8,12,-9,3
対前年・前年同期増減数／男／平成16年平均,2004,,2,-23,-9,-40,14,4,-5,-16,-3,7,24
対前年・前年同期増減数／男／平成17年平均,2005,,-1,14,-9,7,-33,-3,20,19,13,-6,23
対前年・前年同期増減数／男／平成18年平均,2006,,-12,-8,27,41,-6,3,10,-4,-3,-1,11
対前年・前年同期増減数／男／平成19年平均,2007,,34,79,-86,-8,-3,-13,-28,14,-2,18,-17
対前年・前年同期増減数／男／平成15年１～３月平均,2003,01～03,8,-25,51,7,-50,-3,1,-1,6,5,-85
対前年・前年同期増減数／男／平成15年４～６月平均,2003,04～06,-5,-59,149,-12,3,25,1,-10,-3,-7,36
対前年・前年同期増減数／男／平成15年７～９月平均,2003,07～09,-14,-51,71,-13,20,4,-5,-34,13,-14,23
対前年・前年同期増減数／男／平成15年10～12月平均,2003,10～12,-34,-32,7,3,-16,41,-7,14,33,-22,38
対前年・前年同期増減数／男／平成16年１～３月平均,2004,01～03,-6,-32,24,-48,32,21,2,-16,-3,-9,5
対前年・前年同期増減数／男／平成16年４～６月平均,2004,04～06,-2,-66,-46,-41,4,-24,-5,6,-3,32,33
対前年・前年同期増減数／男／平成16年７～９月平均,2004,07～09,14,15,-30,-23,-25,-3,-2,-19,4,-15,50
対前年・前年同期増減数／男／平成16年10～12月平均,2004,10～12,-1,-11,15,-47,47,20,-16,-36,-11,21,11
対前年・前年同期増減数／男／平成17年１～３月平均,2005,01～03,-35,-48,-10,-5,63,-19,7,24,7,-2,53
対前年・前年同期増減数／男／平成17年４～６月平均,2005,04～06,-4,62,-40,2,-59,14,20,3,19,-19,32
対前年・前年同期増減数／男／平成17年７～９月平均,2005,07～09,19,47,-13,15,-95,7,31,31,22,7,-19
対前年・前年同期増減数／男／平成17年10～12月平均,2005,10～12,18,-3,28,16,-43,-15,22,18,5,-8,25
対前年・前年同期増減数／男／平成18年１～３月平均,2006,01～03,-14,33,16,52,-24,3,22,-41,-14,4,-15
対前年・前年同期増減数／男／平成18年４～６月平均,2006,04～06,22,17,64,71,15,-4,7,-13,4,19,-31
対前年・前年同期増減数／男／平成18年７～９月平均,2006,07～09,-23,-55,30,19,12,20,9,39,2,8,23
対前年・前年同期増減数／男／平成18年10～12月平均,2006,10～12,-33,-25,-6,23,-26,-6,4,1,-3,-39,67
対前年・前年同期増減数／男／平成19年１～３月平均,2007,01～03,15,47,64,23,12,12,9,2,18,-6,32
対前年・前年同期増減数／男／平成19年４～６月平均,2007,04～06,38,30,11,-13,39,6,6,-3,9,5,-2
対前年・前年同期増減数／男／平成19年７～９月平均,2007,07～09,10,22,9,-34,119,21,-10,18,7,9,45
対前年・前年同期増減数／男／平成19年10～12月平均,2007,10～12,32,95,60,-6,55,19,24,4,22,19,-27
対前年・前年同期増減数／男／平成20年１～３月平均,2008,01～03,34,9,-2,-18,29,33,-5,23,-11,-20,28
対前年・前年同期増減数／男／平成20年４～６月平均,2008,04～06,-52,-60,-18,-28,42,37,3,16,-18,16,66
対前年・前年同期増減数／男／平成20年７～９月平均,2008,07～09,7,22,42,19,-42,8,-1,-35,13,-19,-16
対前年・前年同期増減数／男／平成20年10～12月平均,2008,10～12,31,31,38,-46,1,-20,-9,18,19,-7,22
対前年・前年同期増減数／女／平成15年平均,2003,,2,-23,4,8,-2,-20,0,0,40,4,3
対前年・前年同期増減数／女／平成16年平均,2004,,10,-17,4,-9,15,22,-12,-9,13,1,14
対前年・前年同期増減数／女／平成17年平均,2005,,-22,13,7,3,-6,-10,7,-2,46,8,10
対前年・前年同期増減数／女／平成18年平均,2006,,3,6,-2,5,17,-10,6,9,-5,3,33
対前年・前年同期増減数／女／平成19年平均,2007,,0,-9,15,-1,16,10,9,7,-14,-9,26
対前年・前年同期増減数／女／平成15年１～３月平均,2003,01～03,-11,-23,-3,-1,-50,-23,27,-8,7,-11,27
対前年・前年同期増減数／女／平成15年４～６月平均,2003,04～06,21,-49,15,5,-9,-30,-9,-24,21,34,15
対前年・前年同期増減数／女／平成15年７～９月平均,2003,07～09,3,-20,8,21,72,-17,-11,6,63,14,12
対前年・前年同期増減数／女／平成15年10～12月平均,2003,10～12,-3,-3,-3,6,-21,-9,-7,24,70,-20,-43
対前年・前年同期増減数／女／平成16年１～３月平均,2004,01～03,6,-15,27,-5,47,30,-21,1,6,-25,-15
対前年・前年同期増減数／女／平成16年４～６月平均,2004,04～06,11,-11,0,-10,19,22,3,-13,2,29,17
対前年・前年同期増減数／女／平成16年７～９月平均,2004,07～09,11,-4,0,-6,-13,10,-12,6,-5,-2,26
対前年・前年同期増減数／女／平成16年10～12月平均,2004,10～12,9,-36,-9,-12,7,22,-16,-30,52,3,28
対前年・前年同期増減数／女／平成17年１～３月平均,2005,01～03,7,-12,10,3,-28,-6,-12,3,45,16,26
対前年・前年同期増減数／女／平成17年４～６月平均,2005,04～06,-44,16,-6,5,-24,-20,0,-10,84,2,-3
対前年・前年同期増減数／女／平成17年７～９月平均,2005,07～09,-28,22,16,6,-21,-5,15,-3,42,5,0
対前年・前年同期増減数／女／平成17年10～12月平均,2005,10～12,-21,26,6,-4,47,-8,24,3,9,7,19
対前年・前年同期増減数／女／平成18年１～３月平均,2006,01～03,0,26,-20,12,34,-9,19,1,-14,23,22
対前年・前年同期増減数／女／平成18年４～６月平均,2006,04～06,4,1,-10,6,6,-2,14,41,-3,-3,76
対前年・前年同期増減数／女／平成18年７～９月平均,2006,07～09,1,16,24,3,29,-12,-4,-5,8,0,31
対前年・前年同期増減数／女／平成18年10～12月平均,2006,10～12,7,-16,-1,-2,2,-18,-6,-3,-11,-8,3
対前年・前年同期増減数／女／平成19年１～３月平均,2007,01～03,-2,15,-1,4,32,-2,11,1,16,-32,-17
対前年・前年同期増減数／女／平成19年４～６月平均,2007,04～06,-1,-1,5,4,26,8,26,-2,-43,-37,18
対前年・前年同期増減数／女／平成19年７～９月平均,2007,07～09,7,-30,11,-4,41,16,6,22,-28,9,36
対前年・前年同期増減数／女／平成19年10～12月平均,2007,10～12,-4,-22,42,-6,-39,19,-6,7,1,25,65
対前年・前年同期増減数／女／平成20年１～３月平均,2008,01～03,3,-21,24,-3,-1,31,2,29,1,40,-8
対前年・前年同期増減数／女／平成20年４～６月平均,2008,04～06,1,-21,-10,-6,71,32,-21,-7,19,32,-70
対前年・前年同期増減数／女／平成20年７～９月平均,2008,07～09,5,-8,-25,-13,-65,8,1,-25,39,30,-13
対前年・前年同期増減数／女／平成20年10～12月平均,2008,10～12,11,12,29,7,-14,-12,6,-27,20,-3,83
,,,,,,,,,,,,,
東京の労働力統計データ（平成20年10～12月平均）,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,
※サービス業は、他に分類されないものを言う。,,,,,,,,,,,,,
