男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,完全失業率（％、ポイント）
実数／女／平成11年平均,1999,5236,2598,2463,2418,1679,640,99,45,189,161,2101,1656,136,2630,1787,412,430,49.6,5.2
実数／女／平成12年平均,2000,5267,2579,2447,2406,1678,642,86,41,169,155,2114,1669,132,2683,1787,413,482,49,5.1
実数／女／平成13年平均,2001,5306,2588,2458,2404,1680,642,83,54,152,152,2145,1673,129,2714,1780,392,543,48.8,5
実数／女／平成14年平均,2002,5408,2648,2503,2448,1708,664,76,55,151,153,2186,1706,145,2755,1755,401,600,49,5.5
実数／女／平成15年平均,2003,5457,2665,2525,2468,1714,663,91,56,157,148,2206,1720,140,2787,1825,400,562,48.8,5.3
実数／女／平成16年平均,2004,5493,2692,2559,2505,1773,653,78,55,145,143,2260,1749,133,2797,1800,401,595,49,4.9
実数／女／平成17年平均,2005,5534,2741,2613,2556,1784,687,85,57,168,125,2306,1785,129,2787,1766,381,640,49.5,4.7
実数／女／平成18年平均,2006,5577,2790,2678,2621,1824,704,94,57,148,124,2388,1870,112,2783,1713,390,680,50,4
実数／女／平成19年平均,2007,5684,2853,2740,2669,1864,710,95,71,150,117,2451,1918,114,2826,1736,355,735,50.2,4
実数／女／平成20年平均,2008,5715,2884,2767,2701,1903,707,91,66,153,105,2494,1975,117,2829,1734,353,742,50.5,4.1
対前年増減数／男女計／平成10年平均,1998,45,4,-49,-57,-90,13,20,8,19,-23,-42,-77,53,45,27,7,81,-0.3,0.8
対前年増減数／男女計／平成11年平均,1999,0,-63,-95,-95,-69,-37,12,0,-31,-19,-52,-71,32,59,53,-6,12,-0.6,0.6
対前年増減数／男女計／平成12年平均,2000,24,-63,-31,-21,-18,6,-10,-10,-48,-10,33,7,-32,92,6,-33,119,-0.7,-0.5
対前年増減数／男女計／平成13年平均,2001,46,-13,-21,-39,-30,3,-11,18,-33,-8,19,-12,8,63,-8,-34,106,-0.5,0.2
対前年増減数／男女計／平成14年平均,2002,299,191,155,152,127,27,-2,3,11,6,135,98,36,108,-23,15,116,0.1,0.4
対前年増減数／男女計／平成15年平均,2003,89,22,55,50,39,-9,20,5,19,-6,41,36,-33,69,68,16,-16,-0.3,-0.6
対前年増減数／男女計／平成16年平均,2004,61,-10,-6,-2,24,-7,-18,-4,-5,-9,9,-47,-4,69,-16,-3,88,-0.5,0
対前年増減数／男女計／平成17年平均,2005,71,58,74,68,5,48,14,6,21,-13,57,42,-15,11,-34,-32,76,0.2,-0.3
対前年増減数／男女計／平成18年平均,2006,80,72,104,99,72,21,6,5,-34,-1,134,142,-34,13,-47,16,44,0.2,-0.5
対前年増減数／男女計／平成19年平均,2007,251,261,275,265,241,5,19,10,0,-14,286,260,-13,-12,32,-86,44,0.9,-0.4
対前年増減数／男女計／平成20年平均,2008,60,53,53,50,68,-9,-9,3,-10,-17,89,108,0,13,-6,-3,20,0.1,0
対前年増減数／男／平成10年平均,1998,9,-8,-52,-50,-66,7,9,-1,-3,-8,-38,-52,43,19,2,8,8,-0.2,1.1
対前年増減数／男／平成11年平均,1999,-22,-40,-62,-66,-60,-3,-3,3,-24,1,-43,-37,23,16,5,-10,21,-0.5,0.6
対前年増減数／男／平成12年平均,2000,-7,-44,-16,-10,-16,4,3,-6,-28,-4,19,-5,-28,39,7,-34,66,-0.7,-0.6
対前年増減数／男／平成13年平均,2001,6,-21,-32,-36,-32,3,-8,4,-16,-5,-11,-16,11,32,-1,-13,46,-0.5,0.3
対前年増減数／男／平成14年平均,2002,198,130,110,108,98,5,5,2,12,5,93,65,20,66,1,6,59,-0.5,0.3
対前年増減数／男／平成15年平均,2003,41,5,33,29,34,-9,5,4,14,-1,21,22,-28,38,-2,18,22,-0.4,-0.7
対前年増減数／男／平成16年平均,2004,24,-37,-40,-37,-35,4,-6,-3,6,-4,-45,-76,3,60,10,-6,55,-1.1,0.1
対前年増減数／男／平成17年平均,2005,30,9,20,16,-6,14,8,4,-1,5,12,6,-11,20,1,-11,31,-0.2,-0.3
対前年増減数／男／平成18年平均,2006,37,23,39,34,33,4,-3,5,-15,0,51,57,-16,17,5,7,5,-0.1,-0.4
対前年増減数／男／平成19年平均,2007,145,198,214,217,200,-1,18,-4,-2,-6,223,211,-16,-55,9,-51,-13,1.6,-0.6
対前年増減数／男／平成20年平均,2008,28,22,25,18,28,-6,-5,8,-13,-6,45,52,-3,9,-4,-1,14,0,-0.1
対前年増減数／女／平成10年平均,1998,36,12,2,-7,-24,6,11,10,23,-17,-3,-25,9,26,24,-1,4,-0.1,0.3
対前年増減数／女／平成11年平均,1999,22,-23,-31,-29,-10,-34,15,-2,-8,-19,-8,-35,9,43,47,4,-10,-0.7,0.4
対前年増減数／女／平成12年平均,2000,31,-19,-16,-12,-1,2,-13,-4,-20,-6,13,13,-4,53,0,1,52,-0.6,-0.1
対前年増減数／女／平成13年平均,2001,39,9,11,-2,2,0,-3,13,-17,-3,31,4,-3,31,-7,-21,61,-0.2,-0.1
対前年増減数／女／平成14年平均,2002,102,60,45,44,28,22,-7,1,-1,1,41,33,16,41,-25,9,57,0.2,0.5
対前年増減数／女／平成15年平均,2003,49,17,22,20,6,-1,15,1,6,-5,20,14,-5,32,70,-1,-38,-0.2,-0.2
対前年増減数／女／平成16年平均,2004,36,27,34,37,59,-10,-13,-1,-12,-5,54,29,-7,10,-25,1,33,0.2,-0.4
対前年増減数／女／平成17年平均,2005,41,49,54,51,11,34,7,2,23,-18,46,36,-4,-10,-34,-20,45,0.5,-0.2
対前年増減数／女／平成18年平均,2006,43,49,65,65,40,17,9,0,-20,-1,82,85,-17,-4,-53,9,40,0.5,-0.7
対前年増減数／女／平成19年平均,2007,107,63,62,48,40,6,1,14,2,-7,63,48,2,43,23,-35,55,0.2,0
対前年増減数／女／平成20年平均,2008,31,31,27,32,39,-3,-4,-5,3,-12,43,57,3,3,-2,-2,7,0.3,0.1
,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成20年平均）,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,
