（輸出）,,,,,,,,,(単位：トン）
,,平成29年(2017年),,,0,,,"平成28年
(2016年)",増減
6 ,韓国,"1,438,728 ",99.8%,3.9%,その他化学工業品,製造食品,飲料,"1,441,554 ","-2,826 "
7 ,フィリピン,"1,330,144 ",109.3%,3.6%,野菜・果物,木製品,電気機械,"1,216,650 ","113,494 "
8 ,台湾,"1,161,192 ",108.3%,3.2%,その他化学工業品,家具装備品,金属製品,"1,072,118 ","89,074 "
9 ,シンガポール,"1,146,899 ",121.2%,3.1%,衣服・身廻品・はきもの,その他化学工業品,製造食品,"946,155 ","200,744 "
10 ,マレーシア,"998,301 ",96.2%,2.7%,その他化学工業品,電気機械,家具装備品,"1,037,945 ","-39,644 "
11 ,インドネシア,"846,737 ",103.0%,2.3%,衣服・身廻品・はきもの,木製品,紙・パ　ル　プ,"821,846 ","24,891 "
12 ,ドイツ,"579,481 ",112.3%,1.6%,製材,木製品,産業機械,"516,231 ","63,250 "
13 ,オランダ,"530,909 ",107.2%,1.5%,その他化学工業品,飲料,製造食品,"495,271 ","35,638 "
14 ,チリ,"485,685 ",106.2%,1.3%,飲料,水産品,取合せ品,"457,362 ","28,323 "
15 ,ニュージーランド,"315,461 ",126.5%,0.9%,野菜・果物,製造食品,木製品,"249,369 ","66,092 "
16 ,フランス,"309,655 ",105.1%,0.8%,飲料,製造食品,その他化学工業品,"294,613 ","15,042 "
17 ,メキシコ,"194,169 ",77.5%,0.5%,野菜・果物,その他畜産品,自動車部品,"250,640 ","-56,471 "
18 ,イタリア,"187,895 ",96.5%,0.5%,製造食品,飲料,その他化学工業品,"194,610 ","-6,715 "
19 ,イギリス,"176,588 ",106.3%,0.5%,飲料,その他化学工業品,その他食料工業品,"166,113 ","10,475 "
20 ,オーストラリア,"150,475 ",84.0%,0.4%,非金属鉱物,麦,石炭,"179,066 ","-28,591 "
,その他,"1,195,176 ",102.3%,3.3%,,,,"1,167,784 ","27,392 "
