,,,,,,,,,(単位：トン）,,,
    21年(2009),"72,413,330","22,610,207","49,803,123","40,684,247","12,134,684","28,549,563","31,729,083","10,475,523","21,253,560",,,
    22年(2010),"77,515,271","25,008,352","52,506,919","45,149,688","13,574,996","31,574,692","32,365,583","11,433,356","20,932,227",,,
    23年(2011),"83,394,743","26,312,640","57,082,103","46,841,252","12,953,609","33,887,643","36,553,491","13,359,031","23,194,460",,,
    24年(2012),"82,786,421","25,979,518","56,806,903","47,399,227","13,146,722","34,252,505","35,387,194","12,832,796","22,554,398",,,
    25年(2013),"86,032,354","27,393,605","58,638,749","48,494,300","13,146,512","35,347,788","37,538,054","14,247,093","23,290,961",,,
    26年(2014),"87,189,132","27,438,804","59,750,328","48,867,479","13,222,318","35,645,161","38,321,653","14,216,486","24,105,167",,,
    27年(2015),"85,332,872","26,838,023","58,494,849","46,699,117","12,933,120","33,765,997","38,633,755","13,904,903","24,728,852",,,
    28年(2016),"85,954,195","27,664,131","58,290,064","48,102,417","13,368,468","34,733,949","37,851,778","14,295,663","23,556,115",,,
平成29年(2017),"90,780,146","29,300,368","61,479,778","50,116,156","13,508,587","36,607,569","40,663,990","15,791,781","24,872,209",,,
1月,"6,990,458","2,069,395","4,921,063","3,944,531","915,431","3,029,100","3,045,927","1,153,964","1,891,963",,,
2月,"6,697,580","2,357,754","4,339,826","3,462,486","1,148,147","2,314,339","3,235,094","1,209,607","2,025,487",,,
3月,"8,270,979","2,723,507","5,547,472","4,648,456","1,298,732","3,349,724","3,622,523","1,424,775","2,197,748",,,
4月,"7,627,564","2,575,478","5,052,086","4,158,993","1,212,772","2,946,221","3,468,571","1,362,706","2,105,865",,,
5月,"7,329,062","2,328,645","5,000,417","4,125,303","1,045,923","3,079,380","3,203,759","1,282,722","1,921,037",,,
6月,"7,624,714","2,511,862","5,112,852","4,154,705","1,135,145","3,019,560","3,470,009","1,376,717","2,093,292",,,
7月,"7,839,805","2,529,675","5,310,130","4,321,954","1,142,363","3,179,591","3,517,851","1,387,312","2,130,539",,,
8月,"7,246,400","2,285,310","4,961,090","4,110,217","1,039,495","3,070,722","3,136,183","1,245,815","1,890,368",,,
9月,"7,651,290","2,490,105","5,161,185","4,173,531","1,133,908","3,039,623","3,477,759","1,356,197","2,121,562",,,
10月,"7,294,218","2,334,489","4,959,729","4,038,989","1,065,038","2,973,951","3,255,229","1,269,451","1,985,778",,,
11月,"8,184,212","2,530,619","5,653,593","4,592,500","1,154,444","3,438,056","3,591,712","1,376,175","2,215,537",,,
12月,"8,023,864","2,563,529","5,460,335","4,384,491","1,217,189","3,167,302","3,639,373","1,346,340","2,293,033",,,
前年比（％）,105.6%,105.9%,105.5%,104.2%,101.0%,105.4%,107.4%,110.5%,105.6%,,,
前年比較増減,"4,825,951","1,636,237","3,189,714","2,013,739","140,119","1,873,620","2,812,212","1,496,118","1,316,094",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
