男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（再掲）（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
対前年増減数／女／平成18年平均,2006,43,49,65,65,40,9,17,0,-20,-1,82,…,…,85,-17,-4,9,-53,40,0.5,…,-0.7
対前年増減数／女／平成19年平均,2007,107,63,62,48,40,1,6,14,2,-7,63,…,…,48,2,43,-35,23,55,0.2,…,0
対前年増減数／女／平成20年平均,2008,31,31,27,32,39,-4,-3,-5,3,-12,43,…,…,57,3,3,-2,-2,7,0.3,…,0.1
対前年増減数／女／平成21年平均,2009,21,33,3,-21,-6,4,-19,24,17,-5,-13,…,…,-36,30,-13,-9,-65,62,0.4,-0.1,0.9
対前年増減数／女／平成22年平均,2010,17,21,17,14,6,-4,12,3,2,-2,16,…,…,29,4,-5,-2,22,-25,0.2,0.1,0.1
対前年増減数／女／平成23年平均,2011,185,146,153,155,116,-2,41,-2,-12,3,161,…,…,154,-7,42,23,62,-44,0.8,1,-0.4
対前年増減数／女／平成24年平均,2012,24,-6,0,-1,28,-3,-26,1,-6,-14,22,…,…,18,-6,30,-14,-39,83,-0.3,-0.2,-0.2
対前年増減数／女／平成25年平均,2013,27,82,93,84,59,6,18,9,10,3,77,…,…,321,-11,-57,-21,-96,59,1.2,1.3,-0.5
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年平均）,,,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,,,
