区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成25年平均,2013,5989,636,944,1106,881,773,1648,27,-8,-10,-5,34,-38,53,0.5,-1.2,-1,-0.5,4,-4.7,3.3
労働力人口／平成15年平均,2003,2665,310,718,493,528,434,181,17,-10,-7,5,-7,24,11,0.6,-3.1,-1,1,-1.3,5.9,6.5
労働力人口／平成16年平均,2004,2692,299,740,519,497,450,188,27,-11,22,26,-31,16,7,1,-3.5,3.1,5.3,-5.9,3.7,3.9
労働力人口／平成17年平均,2005,2741,302,738,565,487,466,184,49,3,-2,46,-10,16,-4,1.8,1,-0.3,8.9,-2,3.6,-2.1
労働力人口／平成18年平均,2006,2790,298,732,597,495,458,209,49,-4,-6,32,8,-8,25,1.8,-1.3,-0.8,5.7,1.6,-1.7,13.6
労働力人口／平成19年平均,2007,2853,308,707,621,522,477,218,63,10,-25,24,27,19,9,2.3,3.4,-3.4,4,5.5,4.1,4.3
労働力人口／平成20年平均,2008,2884,310,698,651,524,481,221,31,2,-9,30,2,4,3,1.1,0.6,-1.3,4.8,0.4,0.8,1.4
労働力人口／平成21年平均,2009,2917,294,704,700,544,456,220,33,-16,6,49,20,-25,-1,1.1,-5.2,0.9,7.5,3.8,-5.2,-0.5
労働力人口／平成22年平均,2010,2938,281,701,710,553,454,240,21,-13,-3,10,9,-2,20,0.7,-4.4,-0.4,1.4,1.7,-0.4,9.1
労働力人口／平成23年平均,2011,3084,290,739,746,584,467,260,146,9,38,36,31,13,20,5,3.2,5.4,5.1,5.6,2.9,8.3
労働力人口／平成24年平均,2012,3078,288,722,750,600,456,263,-6,-2,-17,4,16,-11,3,-0.2,-0.7,-2.3,0.5,2.7,-2.4,1.2
労働力人口／平成25年平均,2013,3160,296,730,775,639,441,278,82,8,8,25,39,-15,15,2.7,2.8,1.1,3.3,6.5,-3.3,5.7
就業者数／平成15年平均,2003,2525,288,667,466,511,416,177,22,-6,-3,7,-7,21,10,0.9,-2,-0.4,1.5,-1.4,5.3,6
就業者数／平成16年平均,2004,2559,276,696,491,476,436,183,34,-12,29,25,-35,20,6,1.3,-4.2,4.3,5.4,-6.8,4.8,3.4
就業者数／平成17年平均,2005,2613,279,693,542,472,446,181,54,3,-3,51,-4,10,-2,2.1,1.1,-0.4,10.4,-0.8,2.3,-1.1
就業者数／平成18年平均,2006,2678,281,695,575,477,444,206,65,2,2,33,5,-2,25,2.5,0.7,0.3,6.1,1.1,-0.4,13.8
就業者数／平成19年平均,2007,2740,287,676,596,505,461,215,62,6,-19,21,28,17,9,2.3,2.1,-2.7,3.7,5.9,3.8,4.4
就業者数／平成20年平均,2008,2767,291,661,622,509,468,216,27,4,-15,26,4,7,1,1,1.4,-2.2,4.4,0.8,1.5,0.5
就業者数／平成21年平均,2009,2770,274,658,661,522,439,216,3,-17,-3,39,13,-29,0,0.1,-5.8,-0.5,6.3,2.6,-6.2,0
就業者数／平成22年平均,2010,2787,258,659,672,529,433,235,17,-16,1,11,7,-6,19,0.6,-5.8,0.2,1.7,1.3,-1.4,8.8
就業者数／平成23年平均,2011,2940,271,702,706,556,449,257,153,13,43,34,27,16,22,5.5,5,6.5,5.1,5.1,3.7,9.4
就業者数／平成24年平均,2012,2940,268,689,716,573,437,258,0,-3,-13,10,17,-12,1,0,-1.1,-1.9,1.4,3.1,-2.7,0.4
就業者数／平成25年平均,2013,3033,281,698,744,614,425,272,93,13,9,28,41,-12,14,3.2,4.9,1.3,3.9,7.2,-2.7,5.4
完全失業者数／平成15年平均,2003,140,22,51,27,17,19,5,-5,-4,-4,-2,0,4,3,-3.4,-15.4,-7.3,-6.9,0,26.7,150
完全失業者数／平成16年平均,2004,133,23,43,28,20,14,4,-7,1,-8,1,3,-5,-1,-5,4.5,-15.7,3.7,17.6,-26.3,-20
完全失業者数／平成17年平均,2005,129,23,45,23,15,20,3,-4,0,2,-5,-5,6,-1,-3,0,4.7,-17.9,-25,42.9,-25
完全失業者数／平成18年平均,2006,112,17,37,22,18,14,3,-17,-6,-8,-1,3,-6,0,-13.2,-26.1,-17.8,-4.3,20,-30,0
完全失業者数／平成19年平均,2007,114,21,31,26,17,16,3,2,4,-6,4,-1,2,0,1.8,23.5,-16.2,18.2,-5.6,14.3,0
完全失業者数／平成20年平均,2008,117,19,37,28,15,13,5,3,-2,6,2,-2,-3,2,2.6,-9.5,19.4,7.7,-11.8,-18.8,66.7
完全失業者数／平成21年平均,2009,147,20,47,39,22,17,4,30,1,10,11,7,4,-1,25.6,5.3,27,39.3,46.7,30.8,-20
完全失業者数／平成22年平均,2010,151,22,41,38,24,21,5,4,2,-6,-1,2,4,1,2.7,10,-12.8,-2.6,9.1,23.5,25
完全失業者数／平成23年平均,2011,144,19,37,40,28,18,3,-7,-3,-4,2,4,-3,-2,-4.6,-13.6,-9.8,5.3,16.7,-14.3,-40
完全失業者数／平成24年平均,2012,138,20,33,34,27,18,5,-6,1,-4,-6,-1,0,2,-4.2,5.3,-10.8,-15,-3.6,0,66.7
完全失業者数／平成25年平均,2013,127,15,32,32,25,16,6,-11,-5,-1,-2,-2,-2,1,-8,-25,-3,-5.9,-7.4,-11.1,20
非労働力人口／平成15年平均,2003,2787,421,325,347,252,401,1040,32,-6,5,29,-32,3,32,1.2,-1.4,1.6,9.1,-11.3,0.8,3.2
非労働力人口／平成16年平均,2004,2797,414,296,351,252,415,1069,10,-7,-29,4,0,14,29,0.4,-1.7,-8.9,1.2,0,3.5,2.8
非労働力人口／平成17年平均,2005,2787,398,288,337,239,412,1113,-10,-16,-8,-14,-13,-3,44,-0.4,-3.9,-2.7,-4,-5.2,-0.7,4.1
非労働力人口／平成18年平均,2006,2783,404,281,334,218,413,1133,-4,6,-7,-3,-21,1,20,-0.1,1.5,-2.4,-0.9,-8.8,0.2,1.8
非労働力人口／平成19年平均,2007,2826,381,281,368,210,396,1190,43,-23,0,34,-8,-17,57,1.5,-5.7,0,10.2,-3.7,-4.1,5
非労働力人口／平成20年平均,2008,2829,364,269,371,217,378,1232,3,-17,-12,3,7,-18,42,0.1,-4.5,-4.3,0.8,3.3,-4.5,3.5
非労働力人口／平成21年平均,2009,2816,359,237,345,213,382,1280,-13,-5,-32,-26,-4,4,48,-0.5,-1.4,-11.9,-7,-1.8,1.1,3.9
非労働力人口／平成22年平均,2010,2811,350,220,345,226,379,1291,-5,-9,-17,0,13,-3,11,-0.2,-2.5,-7.2,0,6.1,-0.8,0.9
非労働力人口／平成23年平均,2011,2853,364,230,362,235,373,1288,42,14,10,17,9,-6,-3,1.5,4,4.5,4.9,4,-1.6,-0.2
非労働力人口／平成24年平均,2012,2883,356,233,361,247,355,1332,30,-8,3,-1,12,-18,44,1.1,-2.2,1.3,-0.3,5.1,-4.8,3.4
非労働力人口／平成25年平均,2013,2826,340,213,329,242,332,1370,-57,-16,-20,-32,-5,-23,38,-2,-4.5,-8.6,-8.9,-2,-6.5,2.9
労働力人口比率／平成15年平均,2003,48.8,42.3,68.7,58.6,67.6,51.9,14.8,-0.2,-0.5,-0.5,-1.9,2.3,1.2,0.4,-,-,-,-,-,-,-
労働力人口比率／平成16年平均,2004,49,41.9,71.4,59.6,66.3,52,15,0.2,-0.4,2.7,1,-1.3,0.1,0.2,-,-,-,-,-,-,-
労働力人口比率／平成17年平均,2005,49.5,43,71.7,62.6,67,53.1,14.2,0.5,1.1,0.33,3,0.7,1.1,-0.8,-,-,-,-,-,-,-
労働力人口比率／平成18年平均,2006,50,42.5,72.2,64.1,69.3,52.5,15.6,0.5,-0.5,0.5,1.5,2.3,-0.6,1.4,-,-,-,-,-,-,-
労働力人口比率／平成19年平均,2007,50.2,44.6,71.4,62.8,71.2,54.6,15.5,0.2,2.1,-0.8,-1.3,1.9,2.1,-0.1,-,-,-,-,-,-,-
労働力人口比率／平成20年平均,2008,50.5,46,72.3,63.7,70.7,56.1,15.2,0.3,1.4,0.9,0.9,-0.5,1.5,-0.3,-,-,-,-,-,-,-
労働力人口比率／平成21年平均,2009,50.9,45,74.7,67,71.9,54.4,14.7,0.4,-1,2.4,3.3,1.2,-1.7,-0.5,-,-,-,-,-,-,-
労働力人口比率／平成22年平均,2010,51.1,44.5,76.1,67.2,71,54.5,15.7,0.2,-0.5,1.4,0.2,-0.9,0.1,1,-,-,-,-,-,-,-
労働力人口比率／平成23年平均,2011,51.9,44.3,76.2,67.3,71.3,55.6,16.8,0.8,-0.2,0.1,0.1,0.3,1.1,1.1,-,-,-,-,-,-,-
労働力人口比率／平成24年平均,2012,51.6,44.7,75.7,67.5,70.8,56.2,16.5,-0.3,0.4,-0.5,0.2,-0.5,0.6,-0.3,-,-,-,-,-,-,-
労働力人口比率／平成25年平均,2013,52.8,46.5,77.3,70.1,72.5,57.1,16.9,1.2,1.8,1.6,2.6,1.7,0.9,0.4,-,-,-,-,-,-,-
就業率／平成20年平均,2008,48.4,43.2,68.4,60.9,68.7,54.5,14.9,…,…,…,…,…,…,…,-,-,-,-,-,-,-
就業率／平成21年平均,2009,48.3,41.9,69.9,63.3,69,52.4,14.4,-0.1,-1.3,1.5,2.4,0.3,-2.1,-0.5,-,-,-,-,-,-,-
就業率／平成22年平均,2010,48.4,40.8,71.6,63.6,67.9,52,15.3,0.1,-1.1,1.7,0.3,-1.1,-0.4,0.9,-,-,-,-,-,-,-
就業率／平成23年平均,2011,49.5,41.4,72.4,63.7,67.9,53.5,16.6,1.1,0.6,0.8,0.1,0,1.5,1.3,-,-,-,-,-,-,-
就業率／平成24年平均,2012,49.3,41.6,72.2,64.4,67.7,53.9,16.2,-0.2,0.2,-0.2,0.7,-0.2,0.4,-0.4,-,-,-,-,-,-,-
就業率／平成25年平均,2013,50.6,44.2,73.9,67.3,69.7,55,16.5,1.3,2.6,1.7,2.9,2,1.1,0.3,-,-,-,-,-,-,-
完全失業率／平成15年平均,2003,5.3,7.1,7.1,5.5,3.2,4.4,2.8,-0.2,-1,-0.5,-0.4,0,0.7,1.6,-,-,-,-,-,-,-
完全失業率／平成16年平均,2004,4.9,7.7,5.8,5.4,4,3.1,2.1,-0.4,0.6,-1.3,-0.1,0.8,-1.3,-0.7,-,-,-,-,-,-,-
完全失業率／平成17年平均,2005,4.7,7.6,6.1,4.1,3.1,4.3,1.6,-0.2,-0.1,0.3,-1.3,-0.9,1.2,-0.5,-,-,-,-,-,-,-
完全失業率／平成18年平均,2006,4,5.7,5.1,3.7,3.6,3.1,1.4,-0.7,-1.9,-1,-0.4,0.5,-1.2,-0.2,-,-,-,-,-,-,-
完全失業率／平成19年平均,2007,4,6.8,4.4,4.2,3.3,3.4,1.4,0,1.1,-0.7,0.5,-0.3,0.3,0,-,-,-,-,-,-,-
完全失業率／平成20年平均,2008,4.1,6.1,5.3,4.3,2.9,2.7,2.3,0.1,-0.7,0.9,0.1,-0.4,-0.7,0.9,-,-,-,-,-,-,-
完全失業率／平成21年平均,2009,5,6.8,6.7,5.6,4,3.7,1.8,0.9,0.7,1.4,1.3,1.1,1,-0.5,-,-,-,-,-,-,-
完全失業率／平成22年平均,2010,5.1,7.8,5.8,5.4,4.3,4.6,2.1,0.1,1,-0.9,-0.2,0.3,0.9,0.3,-,-,-,-,-,-,-
完全失業率／平成23年平均,2011,4.7,6.6,5,5.4,4.8,3.9,1.2,-0.4,-1.2,-0.8,0,0.5,-0.7,-0.9,-,-,-,-,-,-,-
完全失業率／平成24年平均,2012,4.5,6.9,4.6,4.5,4.5,3.9,1.9,-0.2,0.3,-0.4,-0.9,-0.3,0,0.7,-,-,-,-,-,-,-
完全失業率／平成25年平均,2013,4,5.1,4.4,4.1,3.9,3.6,2.2,-0.5,-1.8,-0.2,-0.4,-0.6,-0.3,0.3,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（女）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
