年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・前年同期増減数／男／平成24年４～６月平均,2012,04～06,36,8,8,3,-11,-14,-1,-16,0,0,20,22,-12
対前年・前年同期増減数／男／平成24年７～９月平均,2012,07～09,5,-20,-4,-27,16,-26,9,18,9,-1,-8,21,13
対前年・前年同期増減数／男／平成24年10～12月平均,2012,10～12,-11,54,-38,-20,-43,25,-10,-23,-2,-13,-15,8,25
対前年・前年同期増減数／男／平成25年１～３月平均,2013,01～03,16,-1,-36,20,-17,12,-9,1,19,-16,26,13,-27
対前年・前年同期増減数／男／平成25年４～６月平均,2013,04～06,-8,6,48,52,-53,-18,-19,49,2,-1,7,-4,-19
対前年・前年同期増減数／女／平成22年平均,2010,,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4
対前年・前年同期増減数／女／平成23年平均,2011,,16,19,19,-13,56,4,3,-3,4,4,10,28,7
対前年・前年同期増減数／女／平成24年平均,2012,,0,-23,-8,-3,-3,-8,-1,14,17,-2,-2,16,9
対前年・前年同期増減数／女／平成23年１～３月平均,2011,01～03,16,23,-4,-12,70,1,-9,-9,46,18,15,47,4
対前年・前年同期増減数／女／平成23年４～６月平均,2011,04～06,6,32,21,10,58,4,10,-6,-31,-14,8,23,37
対前年・前年同期増減数／女／平成23年７～９月平均,2011,07～09,23,-12,39,-4,77,6,-1,2,8,-6,-16,22,-11
対前年・前年同期増減数／女／平成23年10～12月平均,2011,10～12,20,33,20,-45,20,4,13,2,-6,21,34,21,0
対前年・前年同期増減数／女／平成24年１～３月平均,2012,01～03,2,-15,-1,-24,-12,-1,2,16,-6,-29,0,42,31
対前年・前年同期増減数／女／平成24年４～６月平均,2012,04～06,-2,-31,-7,-1,-10,-14,-10,4,29,9,10,1,3
対前年・前年同期増減数／女／平成24年７～９月平均,2012,07～09,1,-28,-2,12,5,-22,3,27,29,18,3,1,28
対前年・前年同期増減数／女／平成24年10～12月平均,2012,10～12,2,-17,-21,1,5,8,-2,9,17,-7,-18,20,-24
対前年・前年同期増減数／女／平成25年１～３月平均,2013,01～03,-6,-16,22,7,-20,30,9,-10,-30,-4,17,40,-81
対前年・前年同期増減数／女／平成25年４～６月平均,2013,04～06,-1,-54,18,-12,36,20,12,9,9,17,28,43,-87
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年４～６月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
