区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成25年平均,2013,11776,1297,1938,2266,1818,1562,2894,46,-17,-24,-12,69,-73,103,0.4,-1.3,-1.2,-0.5,3.9,-4.5,3.7
労働力人口／平成15年平均,2003,6724,634,1780,1383,1312,1109,506,22,-47,-1,40,-43,50,23,0.3,-6.9,-0.1,3,-3.2,4.7,4.8
労働力人口／平成16年平均,2004,6714,594,1784,1426,1242,1157,511,-10,-40,4,43,-70,48,5,-0.1,-6.3,0.2,3.1,-5.3,4.3,1
労働力人口／平成17年平均,2005,6772,591,1766,1501,1209,1184,522,58,-3,-18,75,-33,27,11,0.9,-0.5,-1,5.3,-2.7,2.3,2.2
労働力人口／平成18年平均,2006,6844,571,1752,1557,1211,1177,576,72,-20,-14,56,2,-7,54,1.1,-3.4,-0.8,3.7,0.2,-0.6,10.3
労働力人口／平成19年平均,2007,7105,645,1692,1642,1274,1237,615,261,74,-60,85,63,60,39,3.8,13,-3.4,5.5,5.2,5.1,6.8
労働力人口／平成20年平均,2008,7158,631,1678,1706,1287,1235,621,53,-14,-14,64,13,-2,6,0.7,-2.2,-0.8,3.9,1,-0.2,1
労働力人口／平成21年平均,2009,7115,566,1650,1768,1327,1184,620,-43,-65,-28,62,40,-51,-1,-0.6,-10.3,-1.7,3.6,3.1,-4.1,-0.2
労働力人口／平成22年平均,2010,7117,527,1619,1781,1359,1182,650,2,-39,-31,13,32,-2,30,0,-6.9,-1.9,0.7,2.4,-0.2,4.8
労働力人口／平成23年平均,2011,7420,559,1697,1869,1425,1207,664,303,32,78,88,66,25,14,4.3,6.1,4.8,4.9,4.9,2.1,2.2
労働力人口／平成24年平均,2012,7406,546,1664,1881,1471,1158,686,-14,-13,-33,12,46,-49,22,-0.2,-2.3,-1.9,0.6,3.2,-4.1,3.3
労働力人口／平成25年平均,2013,7475,558,1648,1896,1541,1107,726,69,12,-16,15,70,-51,40,0.9,2.2,-1,0.8,4.8,-4.4,5.8
就業者数／平成15年平均,2003,6385,583,1678,1324,1263,1048,488,55,-30,15,42,-41,52,16,0.9,-4.9,0.9,3.3,-3.1,5.2,3.4
就業者数／平成16年平均,2004,6379,543,1674,1366,1193,1106,497,-6,-40,-4,42,-70,58,9,-0.1,-6.9,-0.2,3.2,-5.5,5.5,1.8
就業者数／平成17年平均,2005,6453,543,1667,1441,1168,1127,507,74,0,-7,75,-25,21,10,1.2,0,-0.4,5.5,-2.1,1.9,2
就業者数／平成18年平均,2006,6557,537,1655,1504,1171,1128,563,104,-6,-12,63,3,1,56,1.6,-1.1,-0.7,4.4,0.3,0.1,11
就業者数／平成19年平均,2007,6832,605,1612,1583,1237,1194,601,275,68,-43,79,66,66,38,4.2,12.7,-2.6,5.3,5.6,5.9,6.7
就業者数／平成20年平均,2008,6885,592,1594,1647,1252,1198,603,53,-13,-18,64,15,4,2,0.8,-2.1,-1.1,4,1.2,0.3,0.3
就業者数／平成21年平均,2009,6781,528,1547,1690,1278,1138,601,-104,-64,-47,43,26,-60,-2,-1.5,-10.8,-2.9,2.6,2.1,-5,-0.3
就業者数／平成22年平均,2010,6728,473,1513,1695,1303,1116,628,-53,-55,-34,5,25,-22,27,-0.8,-10.4,-2.2,0.3,2,-1.9,4.5
就業者数／平成23年平均,2011,7062,517,1601,1779,1370,1145,649,334,44,88,84,67,29,21,5,9.3,5.8,5,5.1,2.6,3.3
就業者数／平成24年平均,2012,7070,507,1585,1797,1414,1102,666,8,-10,-16,18,44,-43,17,0.1,-1.9,-1,1,3.2,-3.8,2.6
就業者数／平成25年平均,2013,7163,526,1566,1822,1484,1060,704,93,19,-19,25,70,-42,38,1.3,3.7,-1.2,1.4,5,-3.8,5.7
完全失業者数／平成15年平均,2003,339,51,102,59,48,61,18,-33,-16,-16,-2,-3,-2,7,-8.9,-23.9,-13.6,-3.3,-5.9,-3.2,63.6
完全失業者数／平成16年平均,2004,335,51,110,60,49,52,14,-4,0,8,1,1,-9,-4,-1.2,0,7.8,1.7,2.1,-14.8,-22.2
完全失業者数／平成17年平均,2005,320,48,99,60,41,58,15,-15,-3,-11,0,-8,6,1,-4.5,-5.9,-10,0,-16.3,11.5,7.1
完全失業者数／平成18年平均,2006,286,34,97,53,40,49,13,-34,-14,-2,-7,-1,-9,-2,-10.6,-29.2,-2,-11.7,-2.4,-15.5,-13.3
完全失業者数／平成19年平均,2007,273,41,79,59,37,43,14,-13,7,-18,6,-3,-6,1,-4.5,20.6,-18.6,11.3,-7.5,-12.2,7.7
完全失業者数／平成20年平均,2008,273,39,84,59,35,37,18,0,-2,5,0,-2,-6,4,0,-4.9,6.3,0,-5.4,-14,28.6
完全失業者数／平成21年平均,2009,334,38,104,78,48,47,19,61,-1,20,19,13,10,1,22.3,-2.6,23.8,32.2,37.1,27,5.6
完全失業者数／平成22年平均,2010,389,54,106,86,56,66,22,55,16,2,8,8,19,3,16.5,42.1,1.9,10.3,16.7,40.4,15.8
完全失業者数／平成23年平均,2011,358,42,96,90,55,62,15,-31,-12,-10,4,-1,-4,-7,-8,-22.2,-9.4,4.7,-1.8,-6.1,-31.8
完全失業者数／平成24年平均,2012,336,39,79,85,57,56,20,-22,-3,-17,-5,2,-6,5,-6.1,-7.1,-17.7,-5.6,3.6,-9.7,33.3
完全失業者数／平成25年平均,2013,312,32,81,74,57,47,21,-24,-7,2,-11,0,-9,1,-7.1,-17.9,2.5,-12.9,0,-16.1,5
非労働力人口／平成15年平均,2003,4082,887,381,366,279,528,1641,69,9,-3,31,-33,8,57,1.7,1,-0.8,9.3,-10.6,1.5,3.6
非労働力人口／平成16年平均,2004,4151,881,359,382,287,540,1703,69,-6,-22,16,8,12,62,1.7,-0.7,-5.8,4.4,2.9,2.3,3.8
非労働力人口／平成17年平均,2005,4162,852,360,366,275,542,1767,11,-29,1,-16,-12,2,64,0.3,-3.3,0.3,-4.2,-4.2,0.4,3.8
非労働力人口／平成18年平均,2006,4175,873,347,368,249,541,1797,13,21,-13,2,-26,-1,30,0.3,2.5,-3.6,0.5,-9.5,-0.2,1.7
非労働力人口／平成19年平均,2007,4163,796,349,401,237,507,1873,-12,-77,2,33,-12,-34,76,-0.3,-8.8,0.6,9,-4.8,-6.3,4.2
非労働力人口／平成20年平均,2008,4176,777,316,401,245,483,1953,13,-19,-33,0,8,-24,80,0.3,-2.4,-9.5,0,3.4,-4.7,4.3
非労働力人口／平成21年平均,2009,4252,795,294,380,241,497,2045,76,18,-22,-21,-4,14,92,1.8,2.3,-7,-5.2,-1.6,2.9,4.7
非労働力人口／平成22年平均,2010,4263,779,280,384,257,491,2071,11,-16,-14,4,16,-6,26,0.3,-2,-4.8,1.1,6.6,-1.2,1.3
非労働力人口／平成23年平均,2011,4270,776,298,406,267,485,2038,7,-3,18,22,10,-6,-33,0.2,-0.4,6.4,5.7,3.9,-1.2,-1.6
非労働力人口／平成24年平均,2012,4321,768,298,397,279,476,2104,51,-8,0,-9,12,-9,66,1.2,-1,0,-2.2,4.5,-1.9,3.2
非労働力人口／平成25年平均,2013,4294,739,289,367,277,455,2168,-27,-29,-9,-30,-2,-21,64,-0.6,-3.8,-3,-7.6,-0.7,-4.4,3
労働力人口比率／平成15年平均,2003,62.2,41.7,82.3,79,82.4,67.7,23.6,-0.3,-1.9,0.2,-0.9,1.2,0.6,0.2,-,-,-,-,-,-,-
労働力人口比率／平成16年平均,2004,61.7,40.2,83.1,78.8,81.2,68.1,23.1,-0.5,-1.5,0.8,-0.2,-1.2,0.4,-0.5,-,-,-,-,-,-,-
労働力人口比率／平成17年平均,2005,61.9,40.9,82.9,80.3,81.4,68.6,22.8,0.2,0.7,-0.2,1.5,0.2,0.5,-0.3,-,-,-,-,-,-,-
労働力人口比率／平成18年平均,2006,62.1,39.5,83.4,80.8,82.8,68.5,24.3,0.2,-1.4,0.5,0.5,1.4,-0.1,1.5,-,-,-,-,-,-,-
労働力人口比率／平成19年平均,2007,63,44.7,82.8,80.3,84.3,70.9,24.7,0.9,5.2,-0.6,-0.5,1.5,2.4,0.4,-,-,-,-,-,-,-
労働力人口比率／平成20年平均,2008,63.1,44.8,84.1,80.9,84,71.9,24.1,0.1,0.1,1.3,0.6,-0.3,1,-0.6,-,-,-,-,-,-,-
労働力人口比率／平成21年平均,2009,62.6,41.5,84.8,82.3,84.6,70.4,23.3,-0.5,-3.3,0.7,1.4,0.6,-1.5,-0.8,-,-,-,-,-,-,-
労働力人口比率／平成22年平均,2010,62.5,40.3,85.2,82.2,84,70.6,23.9,-0.1,-1.2,0.4,-0.1,-0.6,0.2,0.6,-,-,-,-,-,-,-
労働力人口比率／平成23年平均,2011,63.5,41.8,85,82.1,84.2,71.3,24.6,1,1.5,-0.2,-0.1,0.2,0.7,0.7,-,-,-,-,-,-,-
労働力人口比率／平成24年平均,2012,63.1,41.6,84.8,82.6,84.1,70.8,24.6,-0.4,-0.2,-0.2,0.5,-0.1,-0.5,0,-,-,-,-,-,-,-
労働力人口比率／平成25年平均,2013,63.5,43,85,83.7,84.8,70.9,25.1,0.4,1.4,0.2,1.1,0.7,0.1,0.5,-,-,-,-,-,-,-
就業率／平成20年平均,2008,60.7,42,79.9,78.1,81.7,69.7,23.4,…,…,…,…,…,…,…,-,-,-,-,-,-,-
就業率／平成21年平均,2009,59.6,38.7,79.5,78.6,81.5,67.7,22.6,-1.1,-3.3,-0.4,0.5,-0.2,-2,-0.8,-,-,-,-,-,-,-
就業率／平成22年平均,2010,59.1,36.1,79.6,78.3,80.6,66.7,23.1,-0.5,-2.6,0.1,-0.3,-0.9,-1,0.5,-,-,-,-,-,-,-
就業率／平成23年平均,2011,60.4,38.7,80.2,78.2,81,67.7,24,1.3,2.6,0.6,-0.1,0.4,1,0.9,-,-,-,-,-,-,-
就業率／平成24年平均,2012,60.3,38.6,80.8,78.9,80.8,67.4,23.9,-0.1,-0.1,0.6,0.7,-0.2,-0.3,-0.1,-,-,-,-,-,-,-
就業率／平成25年平均,2013,60.8,40.6,80.8,80.4,81.6,67.9,24.3,0.5,2,0,1.5,0.8,0.5,0.4,-,-,-,-,-,-,-
完全失業率／平成15年平均,2003,5,8,5.7,4.3,3.7,5.5,3.6,-0.6,-1.8,-0.9,-0.2,-0.1,-0.4,1.3,-,-,-,-,-,-,-
完全失業率／平成16年平均,2004,5,8.6,6.2,4.2,3.9,4.5,2.7,0,0.6,0.5,-0.1,0.2,-1,-0.9,-,-,-,-,-,-,-
完全失業率／平成17年平均,2005,4.7,8.1,5.6,4,3.4,4.9,2.9,-0.3,-0.5,-0.6,-0.2,-0.5,0.4,0.2,-,-,-,-,-,-,-
完全失業率／平成18年平均,2006,4.2,6,5.5,3.4,3.3,4.2,2.3,-0.5,-2.1,-0.1,-0.6,-0.1,-0.7,-0.6,-,-,-,-,-,-,-
完全失業率／平成19年平均,2007,3.8,6.4,4.7,3.6,2.9,3.5,2.3,-0.4,0.4,-0.8,0.2,-0.4,-0.7,0,-,-,-,-,-,-,-
完全失業率／平成20年平均,2008,3.8,6.2,5,3.5,2.7,3,2.9,0,-0.2,0.3,-0.1,-0.2,-0.5,0.6,-,-,-,-,-,-,-
完全失業率／平成21年平均,2009,4.7,6.7,6.3,4.4,3.6,4,3.1,0.9,0.5,1.3,0.9,0.9,1,0.2,-,-,-,-,-,-,-
完全失業率／平成22年平均,2010,5.5,10.2,6.5,4.8,4.1,5.6,3.4,0.8,3.5,0.2,0.4,0.5,1.6,0.3,-,-,-,-,-,-,-
完全失業率／平成23年平均,2011,4.8,7.5,5.7,4.8,3.9,5.1,2.3,-0.7,-2.7,-0.8,0,-0.2,-0.5,-1.1,-,-,-,-,-,-,-
完全失業率／平成24年平均,2012,4.5,7.1,4.7,4.5,3.9,4.8,2.9,-0.3,-0.4,-1,-0.3,0,-0.3,0.6,-,-,-,-,-,-,-
完全失業率／平成25年平均,2013,4.2,5.7,4.9,3.9,3.7,4.2,2.9,-0.3,-1.4,0.2,-0.6,-0.2,-0.6,0,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男女計）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
