 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"28,805","179,451","8,693","56,989","8,693","56,966","15,462","98,818","15,454","95,747",505,"3,804","4,145","19,840"
31,金属製品,"162,274","1,092,801","25,359","177,799","25,359","177,793","131,749","875,761","131,532","870,867","3,614","25,156","1,552","14,085"
32,鉄道車両,407,"1,917",81,464,81,464,326,"1,453",326,"1,453",-,-,-,-
33,完成自動車,"1,249,518","8,306,896","13,082","63,255","12,930","62,817","2,475","15,086","2,017","13,675","709,656","4,680,258","524,305","3,548,297"
34,その他輸送用車両,"9,700","61,942",253,"1,465",253,"1,465","8,745","52,465","8,299","49,177",690,"5,969",12,"2,043"
35,二輪自動車,"7,188","39,865","2,415","9,387","2,415","9,385","4,732","30,272","4,732","30,272",20,91,21,115
36,自動車部品,"216,469","1,444,374","138,535","916,070","138,535","916,070","72,504","491,211","72,489","491,111","2,130","14,647","3,300","22,446"
37,その他輸送機械,"60,118","384,596","7,495","36,406","7,495","36,406","27,581","211,436","27,581","211,436","8,470","54,622","16,572","82,132"
38,産業機械,"323,302","2,094,209","167,413","1,067,359","164,868","1,061,843","143,513","913,709","143,359","912,740","9,544","83,059","2,832","30,082"
39,電気機械,"377,737","2,370,293","55,365","401,300","55,365","401,181","315,952","1,939,840","315,902","1,939,180","5,185","21,885","1,235","7,268"
40,測量・光学・医療用機械,"57,231","372,654","20,646","137,651","20,129","132,777","32,616","210,320","31,240","196,640","2,006","18,239","1,963","6,444"
41,事務用機器,"20,156","132,295","2,457","16,035","2,457","16,035","14,786","98,361","14,786","98,361","2,823","17,272",90,627
42,その他機械,"5,185","38,792",797,"6,834",797,"6,834","2,214","14,579","2,214","14,579","1,158","10,229","1,016","7,150"
化学工業品,,"1,233,411","8,150,759","203,368","1,355,505","203,360","1,355,452","323,105","2,111,253","323,102","2,101,647","51,754","290,985","655,184","4,393,016"
43,陶磁器,"14,382","89,377","1,685","6,861","1,685","6,858","12,697","82,437","12,697","82,437",-,79,-,-
44,セメント,"219,296","1,509,943",140,431,140,431,"1,320","9,505","1,320","9,505","2,146","17,671","215,690","1,482,336"
45,ガラス類,"27,913","172,952","8,449","52,000","8,449","51,998","18,519","112,728","18,519","112,728",935,"7,878",10,346
46,窯業品,"35,849","238,612","10,000","65,387","9,993","65,345","18,156","126,914","18,156","126,903","4,826","21,435","2,867","24,876"
47,重油,"46,841","279,368",-,-,-,-,-,-,-,-,"22,623","133,957","24,218","145,411"
48,揮発油,185,"2,687",-,-,-,-,30,238,30,238,155,574,-,"1,875"
49,その他の石油,"381,732","2,634,478","2,506","16,578","2,506","16,578","2,099","11,125","2,099","11,125","1,661","11,832","375,466","2,594,943"
50,LNG/液化天然ガス,20,80,-,-,-,-,15,75,15,75,-,-,5,5
51,LPG/液化石油ガス,684,"5,534",-,-,-,-,90,"1,365",90,"1,365",589,"4,149",5,20
52,その他石油製品,"16,591","54,188",344,"3,997",344,"3,997","1,212","9,017","1,212","9,017",248,"2,087","14,787","39,087"
53,コークス,"14,206","46,433",-,-,-,-,765,"13,840",765,"4,319","6,322","13,271","7,119","19,322"
54,石炭製品,406,"3,956",355,"3,128",355,"3,128",51,808,51,808,-,-,-,20
55,化学薬品,"89,505","585,424","27,474","170,944","27,474","170,944","53,997","354,124","53,997","354,124","3,937","25,009","4,097","35,347"
56,化学肥料,"3,962","37,028",144,916,144,916,"3,068","31,322","3,068","31,322",365,"2,335",385,"2,455"
57,その他化学工業品,"381,839","2,490,699","152,271","1,035,263","152,270","1,035,257","211,086","1,357,755","211,083","1,357,681","7,947","50,708","10,535","46,973"
軽工業品,,"725,217","4,710,660","56,220","348,798","56,188","348,705","444,151","2,788,439","443,852","2,787,168","72,842","486,438","152,004","1,086,985"
58,紙・パルプ,"221,650","1,524,080","21,646","122,998","21,646","122,938","80,024","459,365","80,024","458,522","13,703","140,961","106,277","800,756"
59,糸及び紡績半製品,"4,756","34,341",583,"3,319",583,"3,319","4,158","30,858","4,158","30,858",15,104,-,60
60,その他繊維工業品,"31,484","208,081","4,545","30,695","4,513","30,662","26,274","176,014","26,274","176,014",665,"1,163",-,209
61,砂糖,"13,389","77,688",256,503,256,503,"3,890","27,741","3,890","27,741","1,011","7,814","8,232","41,630"
62,製造食品,"276,771","1,790,978","22,926","154,981","22,926","154,981","224,426","1,454,423","224,212","1,454,120","19,615","113,670","9,804","67,904"
63,飲料,"107,071","649,151","5,381","31,606","5,381","31,606","62,617","380,152","62,532","380,027","27,537","160,064","11,536","77,329"
64,水,"24,831","160,334",850,"4,065",850,"4,065","18,470","117,072","18,470","117,072","3,686","28,432","1,825","10,765"
65,たばこ,"10,627","67,388",24,136,24,136,"9,023","57,717","9,023","57,717",870,"5,025",710,"4,510"
66,その他食料工業品,"34,638","198,619",9,495,9,495,"15,269","85,097","15,269","85,097","5,740","29,205","13,620","83,822"
雑工業品,,"1,088,741","6,775,584","114,037","704,430","114,037","704,427","930,934","5,794,458","930,892","5,794,251","33,850","218,890","9,920","57,806"
67,がん具,"61,668","350,151","2,551","16,871","2,551","16,871","59,107","333,119","59,107","333,118",10,45,-,116
68,衣服・身廻品・はきもの,"434,114","2,627,038","13,677","95,589","13,677","95,589","419,956","2,520,373","419,948","2,520,364",141,"8,780",340,"2,296"
69,文房具・運動娯楽用品・楽器,"65,979","456,876","10,031","71,532","10,031","71,532","55,684","380,752","55,659","380,620",64,"3,647",200,945
70,家具装備品,"188,465","1,270,898","7,161","52,847","7,161","52,847","178,700","1,199,746","178,699","1,199,745","1,964","12,849",640,"5,456"
71,その他日用品,"78,281","459,248","13,211","74,648","13,211","74,648","40,727","235,324","40,727","235,323","22,101","131,981","2,242","17,295"
72,ゴム製品,"86,889","489,338","41,086","222,425","41,086","222,425","43,107","250,671","43,107","250,671","1,228","7,650","1,468","8,592"
73,木製品,"111,509","725,852","1,011","6,634","1,011","6,631","108,396","702,245","108,396","702,222","2,082","16,332",20,641
74,その他製造工業品,"61,836","396,183","25,309","163,884","25,309","163,884","25,257","172,228","25,249","172,188","6,260","37,606","5,010","22,465"
特殊品,,"1,127,010","7,158,575","240,990","1,627,686","204,215","1,344,182","191,284","1,268,641","187,217","1,247,643","461,644","2,743,147","233,092","1,519,101"
75,金属くず,"50,641","394,814","42,756","338,678","6,564","59,212","5,380","37,830","5,380","37,830","1,046","8,845","1,459","9,461"
76,再利用資材,"197,303","1,239,932","164,750","1,050,652","164,750","1,050,652","3,583","23,992","3,583","23,992","26,626","150,449","2,344","14,839"
77,動植物性製造飼肥料,"94,030","652,705","1,982","10,272","1,982","10,222","87,095","606,586","87,095","606,586","4,673","32,487",280,"3,360"
78,廃棄物,828,"7,728",-,-,-,-,-,-,-,-,315,"2,125",513,"5,603"
79,廃土砂,"108,215","660,739",-,-,-,-,-,-,-,-,"108,215","659,305",-,"1,434"
80,輸送用容器,"141,566","863,067","19,754","121,646","19,171","117,658","88,751","555,768","84,684","535,012","7,862","49,878","25,199","135,775"
81,取合せ品,"534,427","3,339,590","11,748","106,438","11,748","106,438","6,475","44,465","6,475","44,223","312,907","1,840,058","203,297","1,348,629"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
