"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"麻布ネップス整骨院","東京都港区麻布十番二丁目11番3号","ドエル麻布101","03-6275-1630","2022/2/1","柔道整復","35.654157","139.734527"
"じゅうばん整骨院","東京都港区麻布十番二丁目16番6号",,"03-5232-1010","2010/2/1","柔道整復","35.653978","139.735622"
"ちもと整骨院","東京都港区麻布十番二丁目18番8号","ABAアサミビル3階","03-6441-0704","2017/9/5","柔道整復","35.654248","139.735894"
"名倉堂接骨院","東京都港区麻布十番三丁目1番5号","ストーク麻布K&S","03-3451-2572","1984/12/18","柔道整復","35.653191","139.736434"
"Ｓｃｈｉｌｆ接骨院","東京都港区麻布十番三丁目7番11号","シャトーデスポワール麻布303",,"2021/9/16","柔道整復","35.653587","139.734806"
"麻布十番整骨院","東京都港区麻布十番三丁目10番8号","アラン麻布201","050-3552-3577","2023/6/27","柔道整復","35.652698","139.734647"
"加賀谷接骨院","東京都港区麻布十番四丁目6番8号","二進ビル7階kagaya",,"2023/5/21","柔道整復","35.653127","139.736949"
"ＬＯＯＰＬＥ（ループル）整骨院","東京都港区麻布十番四丁目6番8号","二進ビル5階","03-6435-0613","2013/12/1","柔道整復","35.653127","139.736949"
"プリーズ整骨院","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング104","03-3578-8886","2019/8/6","柔道整復","35.656996","139.758739"
"エイチスリー整骨院","東京都港区北青山二丁目7番17号","鈴越ビル3階","03-3796-2244","2018/12/26","柔道整復","35.670489","139.717157"
"青葉整骨院","東京都港区北青山三丁目4番1号","106","03-3497-9969","2003/6/1","柔道整復","35.667305","139.712289"
"東京カイロプラテック","東京都港区北青山三丁目5番9号",,"03-3478-2713","1969/7/28","柔道整復","35.666965","139.713786"
"ＰＯＬＬＵＸ整骨院","東京都港区北青山三丁目5番9号","中央珈琲本社ビル5階","03-6455-4057","2019/1/23","柔道整復","35.666965","139.713786"
"エイチスリー整骨院　表参道院","東京都港区北青山三丁目6番20号","青山T&Eビル7階","03-3499-2111","2015/5/13","柔道整復","35.664342","139.711414"
"とまり木整骨院　北青山院","東京都港区北青山三丁目12番7号","秋月ビル605","03-3797-3897","2017/5/29","柔道整復","35.663346","139.710510"
"ＲｅＣＯＲＥ接骨院　品川","東京都港区港南一丁目9番36号","NTTDATA品川ビル2F","03-3472-1939","2023/6/15","柔道整復","35.630036","139.741242"
"リフレ整骨院","東京都港区港南二丁目5番5号","港南OMTビル1階","03-3471-1293","2010/12/27","柔道整復","35.62873","139.743588"
"品川駅港南口接骨院","東京都港区港南二丁目6番10号","三矢ビル4階","03-5715-1221","2016/2/1","柔道整復","35.628782","139.74233"
"こうなん整骨院","東京都港区港南四丁目2番6号","シティタワー品川202","03-5715-6228","2010/5/7","柔道整復","35.631158","139.748079"
"蔭山整骨院","東京都港区芝二丁目5番10号","サニーポート芝 1004号室","03-5856-7118","2012/4/1","柔道整復","35.652798","139.752228"
"芝公園整骨治療院","東京都港区芝二丁目8番13号","KITAハイム芝201","03-6400-3511","2013/5/1","柔道整復","35.651878","139.750577"
"ひまわり三田鍼灸整骨院","東京都港区芝三丁目19番3号","MUハウス1階","03-6435-2922","2011/3/31","柔道整復","35.652021","139.746821"
"田町中央整骨院","東京都港区芝四丁目5番9号","三田ハイデンス1階","03-3451-5110","2014/6/24","柔道整復","35.648777","139.751176"
"名倉堂接骨療院","東京都港区芝四丁目12番4号",,"03-3452-5285","2004/4/2","柔道整復","35.647971","139.750411"
"渡辺接骨院","東京都港区芝五丁目10番10号",,"03-3455-7490","1987/1/5","柔道整復","35.648945","139.746087"
"えいとスポーツ整骨院","東京都港区芝五丁目13番13号","つるやビル6階",,"2021/9/28","柔道整復","35.648956","139.744905"
"上松整骨院","東京都港区芝五丁目23番12号",,"03-6435-0975","2015/4/1","柔道整復","35.647897","139.74577"
"三田駅前整骨院","東京都港区芝五丁目27番13号","第2小川ビル4階","03-6665-8228","2023/4/14","柔道整復","35.646961","139.746262"
"ｉＣｕｒｅ接骨院　田町駅前","東京都港区芝五丁目31番5号","MEFULL田町3階","03-5442-1939","2023/1/1","柔道整復","35.646742","139.746183"
"田町西接骨院","東京都港区芝五丁目31番16号","YCCビル6階","03-3451-1215","2000/12/25","柔道整復","35.646614","139.746223"
"田町駅前整骨院","東京都港区芝五丁目32番3号","林ビル2階","03-6453-7674","2019/4/19","柔道整復","35.647283","139.74757"
"芝浦整骨院","東京都港区芝浦三丁目12番5号","石阪ビル2階","03-5445-6600","2005/10/11","柔道整復","35.642529","139.749456"
"芝浦スポーツ整骨院","東京都港区芝浦三丁目14番3号","芝浦SSビル1階","03-6722-0424","2020/10/16","柔道整復","35.642651","139.748245"
"よつば整骨院","東京都港区芝浦三丁目20番7号","ローレルプラザ田町102","03-3451-0750","2007/9/28","柔道整復","35.641992","139.747221"
"あおい接骨院","東京都港区芝大門一丁目4番4号","ノア芝大門309号室","03-5408-5881","2021/6/1","柔道整復","35.658632","139.754587"
"ＲｅＣＯＲＥ接骨院　大門","東京都港区芝大門一丁目4番4号","ノア芝大門106","03-5776-1939","2019/4/1","柔道整復","35.658632","139.754587"
"もりこ接骨院","東京都港区芝大門二丁目12番8号","浜松町矢崎ホワイトビル1階","03-3431-1733","2013/5/8","柔道整復","35.653908","139.753983"
"ＲｅＯＳＳＯ　接骨院","東京都港区白金一丁目10番7号","ウメジム中2階","03-3449-3160","2021/12/20","柔道整復","35.646059","139.733139"
"名倉堂接骨院","東京都港区白金一丁目12番8号","1階","03-3444-3392","2014/1/28","柔道整復","35.645675","139.735410"
"森ほねつぎ","東京都港区白金一丁目29番9号","201","03-3441-0307","2010/6/30","柔道整復","35.643175","139.733878"
"豪栄整復院◇白金","東京都港区白金二丁目1番4号","1階","03-3447-5080","2012/8/3","柔道整復","35.643624","139.731002"
"三光整骨院","東京都港区白金五丁目6番10号","サンエイ和泉ビル1F","03-3443-7654","2001/7/26","柔道整復","35.644918","139.727862"
"しろがね整骨院","東京都港区白金六丁目19番7号","第2東幸ビル1階","03-3443-3525","2017/9/1","柔道整復","35.643336","139.721237"
"ありま整骨院","東京都港区白金台三丁目19番3号","アイテクノビル4階","03-6459-3430","2009/5/8","柔道整復","35.634859","139.720070"
"森羅白金整骨治療院","東京都港区白金台五丁目2番5号","トランドゥ101","03-6277-3993","2018/4/10","柔道整復","35.642475","139.720878"
"整骨院Ｓｕｇａｒ","東京都港区白金台五丁目5番8号","ISOLETTA4F","03-6277-3218","2022/2/1","柔道整復","35.640429","139.722275"
"白金台　もりこや接骨院","東京都港区白金台五丁目18番6号","1階",,"2023/12/21","柔道整復","35.636997","139.723372"
"Ｂｒｅａｔｈ接骨院","東京都港区白金台五丁目18番18号","バルビゾンビル18　6F","03-6822-7769","2024/2/19","柔道整復","35.637305","139.723608"
"整骨院ＳＡＫＩＵＴＡ","東京都港区白金台五丁目22番11号","ソフトタウン白金210","03-6450-3916","2019/6/16","柔道整復","35.634992","139.717666"
"たまるやスポーツ整骨院","東京都港区新橋一丁目18番14号","三洋堂ビル本館7階","03-3593-5093","2011/2/9","柔道整復","35.668414","139.756124"
"新橋西口整骨院","東京都港区新橋一丁目18番15号","佐伯ビル1階","03-5251-8101","2019/3/1","柔道整復","35.668478","139.755924"
"赤レンガ通り接骨院","東京都港区新橋二丁目10番3号","ブラザービル6階","03-3539-3618","2003/5/1","柔道整復","35.667279","139.755888"
"天元整骨院","東京都港区新橋二丁目16番1号","ニュー新橋ビル3階349室","03-5512-2955","2008/11/18","柔道整復","35.666423","139.757358"
"新橋汐留整骨院","東京都港区新橋二丁目20番15号","新橋駅前ビル1号館1階127","03-6228-5855","2009/11/6","柔道整復","35.666214","139.759538"
"リライフ整骨院","東京都港区新橋三丁目11番9号","烏森通りビル3F","03-6435-8382","2023/10/1","柔道整復","35.666281","139.755725"
"東京整骨　烏森通り","東京都港区新橋三丁目11番9号","烏森通りビル6階","03-6874-8839","2017/12/18","柔道整復","35.666281","139.755725"
"たから整骨院","東京都港区新橋四丁目14番4号",,"03-3433-1133","2020/12/1","柔道整復","35.664489","139.75675"
"はなまる整骨院","東京都港区新橋五丁目4番1号","ふくやビル1階","03-6427-8704","2020/4/25","柔道整復","35.664219","139.753830"
"いち接骨院","東京都港区新橋五丁目31番8号","新和ビル 2階","03-3436-2361","2016/3/1","柔道整復","35.662490","139.755016"
"高輪整骨院","東京都港区高輪一丁目5番16号",,"03-3473-5518","2018/7/18","柔道整復","35.641594","139.737281"
"白金高輪泉岳寺前接骨院","東京都港区高輪一丁目5番24号","102","03-6456-2018","2020/8/7","柔道整復","35.641003","139.737365"
"太公堂整骨院","東京都港区高輪一丁目27番17号",,"03-3443-2233","2022/3/1","柔道整復","35.637031","139.73333"
"高輪フィジカル整骨院","東京都港区高輪二丁目14番9号","三愛ビル1階","03-5420-1696","2005/7/28","柔道整復","35.63597","139.738199"
"桜華整骨院","東京都港区高輪二丁目15番8号","1階","03-5422-9334","2017/4/1","柔道整復","35.637544","139.738802"
"整骨院ＢＳＯ","東京都港区高輪二丁目15番24号","ASP高輪","03-5422-6591","2020/9/1","柔道整復","35.636175","139.738258"
"接骨院サリー","東京都港区高輪三丁目11番5号","高輪ビューハイツ703","03-6721-7185","2012/6/11","柔道整復","35.631533","139.730536"
"あすも整骨院","東京都港区高輪四丁目21番1号","202","03-3445-1831","2023/2/6","柔道整復","35.626672","139.735329"
"六本木整骨院","東京都港区西麻布一丁目2番12号","デュオ・スカーラ西麻布タワーEAST1階","03-3401-1951","2019/12/1","柔道整復","35.661105","139.726904"
"ＥＮＴＩＲＥ　ＢＯＤＹ整骨院","東京都港区西麻布一丁目4番48号","4階","03-6271-4527","2018/8/23","柔道整復","35.66238","139.726468"
"あんしんどう整骨院","東京都港区西麻布一丁目10番8号","第2大晃ビル201","03-3423-1221","2017/8/4","柔道整復","35.660954","139.724207"
"みこころ整骨院","東京都港区西麻布二丁目15番7号","東一ビル102","03-6427-2910","2016/4/27","柔道整復","35.661253","139.721888"
"豪栄整復院◇西麻布","東京都港区西麻布四丁目17番21号","遠藤ビル1階","03-3486-5081","2015/5/1","柔道整復","35.658482","139.718903"
"ｉＣｕｒｅ接骨院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル2階","03-6205-7700","2022/11/1","柔道整復","35.668298","139.753329"
"メビウス新橋整骨院","東京都港区西新橋一丁目16番2号","山水ビル6階","03-6206-1717","2020/1/24","柔道整復","35.667793","139.754374"
"新橋石塚整骨院","東京都港区西新橋一丁目19番14号","辻ビル2階","03-3580-0098","2007/6/19","柔道整復","35.668181","139.75288"
"スマイル整骨院","東京都港区西新橋三丁目5番1号","橋場ビル2F-B","03-3438-2454","2019/6/24","柔道整復","35.664979","139.751492"
"Ｖｉｖａ整骨院","東京都港区西新橋三丁目8番2号","新橋ウエストビル3階","03-6435-9244","2018/10/1","柔道整復","35.664591","139.752871"
"美ノ源接骨院東京","東京都港区西新橋三丁目23番7号","西新橋ビル7F","03-6450-2347","2023/2/1","柔道整復","35.661870","139.751612"
"ボディセラピー浜松町整骨院","東京都港区浜松町一丁目17番8号","佐藤ビル101","03-6658-5570","2021/11/1","柔道整復","35.658070","139.756312"
"健康サイエンス接骨院","東京都港区浜松町一丁目18番9号","1階","03-3432-1248","2012/7/9","柔道整復","35.657842","139.755372"
"スマートボディプラス整骨院","東京都港区浜松町二丁目7番15号","浜松町三電舎ビルディング1階","03-6452-9588","2014/8/18","柔道整復","35.653915","139.754766"
"こいけ整骨院","東京都港区東麻布二丁目5番1‐101",,"03-3585-8462","2020/2/27","柔道整復","35.657277","139.741699"
"ＺＡＢ整骨院","東京都港区東麻布三丁目8番10号","バーリータワーズ8F 801","03-6230-9479","2021/12/1","柔道整復","35.656485","139.737491"
"薬師堂接骨院","東京都港区三田二丁目11番7号","1F","03-6436-7886","2023/12/19","柔道整復","35.650169","139.744519"
"薬師堂","東京都港区三田二丁目12番5号","5階",,"2022/9/21","柔道整復","35.649947","139.744071"
"一会堂整骨院","東京都港区三田二丁目14番7号","ローレル三田406",,"2022/11/27","柔道整復","35.648594","139.744385"
"堀越整復院","東京都港区三田二丁目15番50号",,"03-3451-0854","2012/3/20","柔道整復","35.648174","139.741945"
"鈴木接骨院","東京都港区南青山一丁目8番13号",,"03-3408-3669","2001/7/2","柔道整復","35.670846","139.725243"
"乃木坂整骨院","東京都港区南青山一丁目20番15号","Rock1st101",,"2022/1/27","柔道整復","35.667326","139.725823"
"南青山整骨院　ハントクラフト","東京都港区南青山一丁目22番3号","グラン南青山101","03-5775-1558","2010/6/6","柔道整復","35.666791","139.725261"
"南青山ブルー整骨院","東京都港区南青山二丁目2番15号","ウィン青山423",,"2022/5/16","柔道整復","35.671444","139.723779"
"Ｓｏｕｎｄ　Ｂｏｄｙ整骨院","東京都港区南青山二丁目22番2号","2階","03-6447-0335","2013/4/24","柔道整復","35.670576","139.719300"
"南青山メディカル整骨院","東京都港区南青山二丁目27番22号","青山安田ビル8階","03-3479-1212","2013/11/7","柔道整復","35.669104","139.716303"
"外苑前鍼灸接骨院","東京都港区南青山二丁目27番28号","グラン青山701","03-3475-5288","1987/2/1","柔道整復","35.669728","139.716851"
"Ｒｅ：ｔｒｅａｔ　（柔整）","東京都港区南青山二丁目29番8号","フロンティアビルディング南青山5階",,"2023/3/1","柔道整復","35.667939","139.717859"
"南青山ＰＩＣＳ整骨院","東京都港区南青山三丁目8番7号","クレアトゥール南青山301","03-6721-0608","2022/6/1","柔道整復","35.667176","139.715851"
"とまり木整骨院","東京都港区南青山三丁目12番11号","ボワゼ青山3階","03-5785-0599","2018/7/1","柔道整復","35.666099","139.713702"
"薮下整骨院","東京都港区南青山三丁目12番12号","南青山312ビル604","03-6804-6447","2022/3/14","柔道整復","35.666126","139.713823"
"ナチュラルキュア表参道接骨院","東京都港区南青山三丁目14番3号","2階","03-5775-2723","2011/1/5","柔道整復","35.665707","139.714655"
"表参道ｙａｍａｍｏｔｏ整骨院","東京都港区南青山三丁目14番24号","ピロティ青山303",,"2021/3/19","柔道整復","35.665221","139.714733"
"ＫＩＹＯＲＡ整骨院","東京都港区南青山四丁目9番1号","シンプル青山ビル2階","03-6459-2127","2014/6/23","柔道整復","35.667352","139.718166"
"総合治療院テコセンター（整骨）","東京都港区南青山四丁目9番22号","アウラビル地下1階","03-6804-6466","2021/4/1","柔道整復","35.666714","139.717432"
"表参道スポーツ整骨院","東京都港区南青山五丁目10番2号","第2九曜ビルディング105号室","03-6452-6193","2020/3/2","柔道整復","35.662706","139.711161"
"表参道整骨院","東京都港区南青山五丁目11番23号","102","03-3407-3858","2018/2/1","柔道整復","35.662002","139.71177"
"戸田接骨院","東京都港区南青山六丁目2番6号","ハイム青山402","03-3406-1537","2005/1/4","柔道整復","35.660994","139.715735"
"日本ほねつぎ院","東京都港区南青山六丁目2番10号","バックボーンハウス6階",,"2018/7/3","柔道整復","35.660934","139.715496"
"麻布温熱整骨院","東京都港区南麻布二丁目8番5号","207","03-6809-5644","2020/8/4","柔道整復","35.648657","139.735607"
"麻布整骨院","東京都港区南麻布四丁目5番45号","ウォレントコート101",,"2016/3/3","柔道整復","35.648714","139.724752"
"ルートヴィガー整骨院","東京都港区南麻布五丁目1番36号","新陽ビル6階","03-3440-2288","2016/5/22","柔道整復","35.652767","139.721933"
"スポーツ整骨院　Ｎａｏ’ｓ　Ｃｏｎｄｉｔｉｏｎｉｎｇ","東京都港区元赤坂一丁目7番15号","プリメール元赤坂1階","03-6447-1175","2016/8/25","柔道整復","35.677867","139.732218"
"六本木ＷａＲＲｉｏＲｓ整骨院","東京都港区六本木三丁目16番23号","タウンコート六本木101号","03-5544-9111","2023/1/10","柔道整復","35.66215","139.73677"
"六本木ミッドタウン前整骨院","東京都港区六本木四丁目9番5号","ISO六本木ビル2F","03-6721-0066","2023/3/31","柔道整復","35.663614","139.732531"
"ゆるり整体整骨院六本木","東京都港区六本木五丁目1番1号","マイアミビル2階","03-3479-6088","2017/7/6","柔道整復","35.662953","139.732491"
"株式会社ゴトウ花店ビル接骨院","東京都港区六本木五丁目1番3号","ゴトウビルディング1st1階",,"2021/6/28","柔道整復","35.662680","139.732751"
"麻布十番ゆい整骨院","東京都港区六本木五丁目13番14号","メゾン麻布1階(104)","03-6277-8554","2010/10/1","柔道整復","35.658302","139.735789"
"ライフラボ整骨院","東京都港区六本木六丁目1番4号","丸正小林ビル2階","03-6459-2622","2008/10/7","柔道整復","35.662889","139.73258"
"栗原接骨院","東京都港区六本木七丁目3番8号","永谷ビルプラザ六本木608","03-3402-7117","1998/9/19","柔道整復","35.666122","139.727563"
"Ｍ・Ｓ整骨院　ＵＢ店","東京都港区六本木七丁目7番7号","TRI SEVEN ROPPONGI13階 株式会社ユーザベース内",,"2019/2/21","柔道整復","35.665145","139.729239"
"Ｌａ　ｐａｒｆａｉｔ","東京都港区六本木七丁目10番20号","ロッポンギFレジデンス地下1階","03-6447-4473","2017/3/2","柔道整復","35.663262","139.728348"
"ブランシェ整骨院","東京都港区六本木七丁目13番9号","高橋ビル2階","03-5411-8233","2011/4/23","柔道整復","35.663719","139.730446"
"くわばら接骨院","東京都港区六本木七丁目15番17号","ユニ六本木ビル9階","03-6447-0887","2013/7/7","柔道整復","35.662292","139.729638"

"施術所（柔整）一覧(令和6年3月31日現在)","Ver202403",,,,,,
