第2号様式の1（第12条第3項関係）,,,,,,,,
東京都試験機関（Ａ類）登録簿 （令和６年７月１日現在）,,,,※試験機関（Ａ類）とは、建築基準法施行令第74条及び第76条の規定に基づくコンクリートの強度試験のうち、設計基準強度Fcが36Ｎ／mm2以下のコンクリートに対する強度試験を行うことができる機関である。）,,,,
№,登録の分類,試験機関の名称,試験機関の代表者名,試験機関の所在地,登録の番号,登録年月日,有効期限,付帯条件
11,Ⅲ－Ａ,三友エンジニヤリング(株)　構造材料試験所,後藤　篤,千葉県市川市塩浜2丁目1-3,試Ａ-14-(7)-17,令和5年12月1日,令和8年11月30日,―
12,Ⅲ－Ａ,東京検査(株)　建材研究所,小山　善行,東京都町田市金森4丁目13-13,試Ａ-14-(6)-18,令和3年12月1日,令和6年11月30日,―
13,Ⅲ－Ａ,(株)テストサービス　材料試験所,阿部　一志,東京都板橋区大山金井町47-12,試Ａ-14-(7)-19,令和4年12月1日,令和7年11月30日,―
14,Ⅲ－Ａ,(株)建設材料研究所,猿谷　カヅ子,東京都世田谷区玉堤2丁目3-12,試Ａ-14-(7)-20,令和5年12月1日,令和8年11月30日,―
15,Ⅲ－Ａ,(株)セイブ材料検査,衛藤　隆一,埼玉県入間市大字二本木字下伊達1173,試Ａ-14-(7)-23,令和4年12月1日,令和7年11月30日,―
16,Ⅲ－Ａ,コンクリートエンジニアリング(株)　建築材料試験センター,仁田　龍雄,神奈川県相模原市緑区橋本台3丁目6-7,試Ａ-14-(7)-24,令和4年12月1日,令和7年11月30日,―
17,Ⅲ－Ａ,(株)西東京建材試験所,芹澤　一博,埼玉県新座市畑中2丁目16-15,試Ａ-14-(7)-25,令和5年12月1日,令和8年11月30日,―
18,Ⅲ－Ａ,(有)京浜材料試験,本田　吉郎,神奈川県川崎市川崎区浅野町6-16,試Ａ-14-(7)-27,令和4年12月1日,令和7年11月30日,―
19,Ⅲ－Ａ,(株)クォリティー,國廣　秀行,東京都江戸川区臨海町6丁目3-9,試Ａ-14-(7)-28,令和5年12月1日,令和8年11月30日,―
20,Ⅲ－Ａ,(株)東京建材検査サービス,松橋　幹次,埼玉県八潮市浮塚899,試Ａ-14-(6)-29,令和3年12月1日,令和6年11月30日,―
21,Ⅲ－Ａ,東部建材協同試験所(株),篠宮　尉哲,埼玉県三郷市彦川戸1丁目25-2,試Ａ-14-(7)-30,令和5年12月1日,令和8年11月30日,―
22,Ⅲ－Ａ,(株)晃邦テクノ,?橋　一奬,東京都大田区東六郷三丁目４番11号,試Ａ-18-(5)-33,令和3年12月1日,令和6年11月30日,―
,,,（備　考）登録の番号は、試（登録の分類）－登録年度－（更新回数）－整理番号　を示している。,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
