行,EPSGコード,経度,緯度,施設名,郵便番号,所在地,電話番号,ＵＲＬ,種類,"収容台数
（台）","定期台数
（台）","一時台数
（台）","定期料金
（円）","一時料金
（円）",入退場時間,受付時間,開設年月
11,EPSG:6668,139.4490009,35.54261494,原町田四丁目自転車駐車場,194-0013,東京都町田市原町田4-11-11,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,417,359,58,（屋上）730（1階）1890（2階）1570（地下）1890,110,24時間,管理は町田ターミナルからの巡回による,2002/8/1
12,EPSG:6668,139.4490009,35.54261494,原町田四丁目自転車駐車場,194-0013,東京都町田市原町田4-11-11,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～50）,109,85,24,（1階）3140（2階）2620（地下）3140,,24時間,管理は町田ターミナルからの巡回による,2002/8/1
13,EPSG:6668,139.4478056,35.54476589,原町田六丁目自転車駐車場,194-0013,東京都町田市原町田6-26,042-726-8813,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,838,755,83,（3階屋内）1570（1階屋内・2階屋内・地階屋内）1890,110,24時間,平日6：30～20：00土日祝7：00～16：00,1998/10/1
14,EPSG:6668,139.4478056,35.54476589,原町田六丁目自転車駐車場,194-0013,東京都町田市原町田6-26,042-726-8813,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～50）,89,78,11,（地階屋内）3140,160,24時間,平日6：30～20：00土日祝7：00～16：00,1998/10/1
15,EPSG:6668,139.4494861,35.54022936,町田ターミナル自転車駐車場,194-0013,東京都町田市原町田3-1-4,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,688,516,190,1890,110,24時間,6：30～20：00,1983/10/1
16,EPSG:6668,139.4494861,35.54022936,町田ターミナル自転車駐車場,194-0013,東京都町田市原町田3-1-4,042-724-1368,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,137,95,42,（～50）3140（～125）3770,,24時間,6：30～20：00,1983/10/1
17,EPSG:6668,139.4723249,35.53588442,成瀬駅北口自転車駐車場,194-0045,東京都町田市南成瀬1-3-5,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,175,125,50,（1階）1890（2階）1570,110,24時間,管理は成瀬駅南口からの巡回による,1995/5/1
18,EPSG:6668,139.4723179,35.53589008,成瀬駅北口自転車駐車場,194-0045,東京都町田市南成瀬1-3-5,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,26,26,0,（～50）3140（～125）3770,,24時間,管理は成瀬駅南口からの巡回による,1995/5/1
19,EPSG:6668,139.4729389,35.53682331,なるせ駅前市民センター地下自転車駐車場,194-0045,東京都町田市南成瀬1-2-5,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,378,360,18,1570,110,6：00～24：00,管理は成瀬駅南口からの巡回による,1996/7/1
20,EPSG:6668,139.4733683,35.53601269,成瀬駅北口路上自転車駐車場,194-0045,東京都町田市南成瀬1-2、1-3,無,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,173,0,173,定期利用無,110,24時間,管理は成瀬駅南口からの巡回による,2016/3/1
21,EPSG:6668,139.4736763,35.53460661,成瀬駅南口自転車駐車場,194-0011,東京都町田市成瀬が丘2-1-8,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,421,363,58,（2階屋内）1780（3階屋内）1570,110,24時間,平日6：30～20：00土日祝7：00～16：00,1985/2/1
22,EPSG:6668,139.4736763,35.53460661,成瀬駅南口自転車駐車場,194-0011,東京都町田市成瀬が丘2-1-8,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,119,100,19,（1階屋内　～50のみ）3140,,24時間,平日6：30～20：00土日祝7：00～16：00,1985/2/1
23,EPSG:6668,139.4730072,35.53428211,成瀬駅南口臨時バイク駐車場,194-0011,東京都町田市成瀬が丘2-7-3他,042-796-4447,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,61,21,40,（1階平置屋根無　～50のみ）3140,,24時間,平日6：30～20：00土日祝7：00～16：00管理は成瀬駅南口からの巡回による,2013/5/1
24,EPSG:6668,139.4632368,35.56535022,玉川学園五丁目臨時自転車駐車場,194-0041,東京都町田市玉川学園5-3966-16,042-710-4589,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,60,66,5,1570,110,24時間,月～金6：30～10：30及び16：00～20：00土日祝7：00～16：00,2019/2/1
25,EPSG:6668,139.4632508,35.56533889,玉川学園五丁目臨時自転車駐車場,194-0041,東京都町田市玉川学園5-3966-16,042-710-4589,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,60,48,24,（～50）2100（～125）2720,,24時間,月～金6：30～10：30及び16：00～20：00土日祝7：00～16：00,2019/2/1
26,EPSG:6668,139.4624294,35.56362203,玉川学園二丁目自転車駐車場,194-0041,東京都町田市玉川学園2-19-12,042710-4589,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,30,30,0,1570,,24時間,6：30～20：00日祝7：00～16：00,2021/6/1
27,EPSG:6668,139.4624294,35.56362203,玉川学園二丁目自転車駐車場,194-0041,東京都町田市玉川学園2-19-12,042-710-4589,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,81,81,0,（～50）2620（～125）3250,,24時間,6：30～20：00日祝7：00～16：00,2021/6/1
28,EPSG:6668,139.4674399,35.56050253,東玉川学園臨時自転車駐車場,194-0041,東京都町田市玉川学園7-26,,,自転車・バイク,100,,,無料,,24時間,管理は自己責任となります。,
29,EPSG:6668,139.4780665,35.58280572,鶴川駅西側自転車駐車場,195-0062,東京都町田市大蔵町37他,042-736-8425,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,"1,021",871,150,（1階屋外屋根無・2階屋内）1570（1階屋内）1890（3階屋内）1260,110,24時間,平日6：30～20：30土日祝7：00～15：00,2007/4/1
30,EPSG:6668,139.4780457,35.58279994,鶴川駅西側自転車駐車場,195-0062,東京都町田市大蔵町37他,042-736-8425,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～50）,190,155,35,(地階屋内）3140,160,24時間,平日6：30～20：30土日祝7：00～15：00,2007/4/1
31,EPSG:6668,139.4840784,35.58405772,鶴川駅東側バイク駐車場,194-0053,東京都町田市能ヶ谷1-294-1,042-736-8425,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,285,203,82,（～50）3140（～125）3770（125～）4400,,24時間,管理は鶴川駅駅西側からの巡回による,2011/1/1
32,EPSG:6668,139.4791158,35.58179028,鶴川駅南側自転車駐車場,194-0053,"東京都町田市能ヶ谷1-46,47",042-736-8425,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,859,659,200,1470,110,24時間,管理は鶴川駅駅西側からの巡回による,2017/10/1
33,EPSG:6668,139.4847983,35.53108964,つくし野駅自転車駐車場,194-0001,東京都町田市つくし野1-26,042-799-0540,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,122,52,70,（2階屋内）2100,110,24時間,平日6：30～10：30及び16：00～20：00土8：00～16：00,2003/3/1
34,EPSG:6668,139.4847983,35.53108964,つくし野駅自転車駐車場,194-0001,東京都町田市つくし野1-26,042-799-0540,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,155,126,29,（1階屋内　～50）3140（1階屋内　～125）3770（1階屋外屋根無　125～）4400,,24時間,平日6：30～10：30及び16：00～20：00土8：00～16：00,2003/3/1
35,EPSG:6668,139.4812881,35.51716572,すずかけ台駅前自転車駐車場,194-0002,東京都町田市南つくし野3-3-3,042-796-1882,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,108,88,20,1890,110,24時間,平日6：30～20：30土日祝8：00～16：00,1974/4/1
36,EPSG:6668,139.3673111,35.60251689,多摩境駅南側自転車駐車場,194-0215,東京都町田市小山ヶ丘3-23-134,042-770-6689,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,589,521,68,（1階屋内・2階屋内）1890,110,24時間,平日6：30～20：00土日祝7：00～12：00,1998/9/1
37,EPSG:6668,139.3673111,35.60251689,多摩境駅北側自転車駐車場,194-0215,東京都町田市小山ヶ丘3-23-142,042-773-5918,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,571,330,241,（1階平置屋根有）1890,110,24時間,平日6：30～20：00土7：00～16：00休日受付無,2002/4/1
38,EPSG:6668,139.3673111,35.60251689,多摩境駅北側自転車駐車場,194-0215,東京都町田市小山ヶ丘3-23-142,042-773-5918,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,112,72,40,（1階平置屋根有　～50）3140（1階平置屋根有　～125）3770（1階平置屋根有　125～）4400,,24時間,平日6：30～20：00土7：00～16：00休日受付無,2002/4/1
39,EPSG:6668,139.3319485,35.60728875,相原駅東口自転車駐車場,194-0211,東京都町田市相原町1155-5,042-774-0421,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,582,436,146,（屋上）730（1階）1890（2階）1570,110,24時間,平日6：30～20：00土日祝7：00～16：00,1994/4/1
40,EPSG:6668,139.3319485,35.60728875,相原駅東口自転車駐車場,194-0211,東京都町田市相原町1155-5,042-774-0421,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（～125）,42,42,0,（1階平置屋根無　～50）2510（1階平置屋根有　～50）3140（1階平置屋根有　～125）3770,,24時間,平日6：30～20：00土日祝7：00～16：00,1994/4/1
41,EPSG:6668,139.3316303,35.60591619,相原駅西口自転車駐車場,194-0211,東京都町田市相原町1216-6,042-774-0421,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,517,402,115,（1階平置屋根有）1890,110,24時間,平日6：30～20：00土日祝7：00～16：00,2005/1/1
42,EPSG:6668,139.3316445,35.60601108,相原駅西口自転車駐車場,194-0211,東京都町田市相原町1216-6,042-774-0421,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,195,148,47,（1階平置屋根有　～50）3140（1階平置屋根有　～125）3770（1階平置屋根有　125～）4400,,24時間,平日6：30～20：00土日祝7：00～16：00,2005/1/1
43,EPSG:6668,139.3319489,35.60511536,相原駅東口バイク駐車場,194-0211,東京都町田市相原町1228-6,042-774-0421,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク（全排気量）,155,155,0,（1階平置屋根有　～50）3140（1階平置屋根有　～125）3770（1階平置屋根有　125～）4400,,24時間,平日6：30～20：00土日祝7：00～16：00,2005/1/1
44,EPSG:6668,139.4708528,35.51195142,南町田グランベリーパーク駅北口地下自転車駐車場,194-0004,東京都町田市鶴間1-17,042-795-6002,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,641,518,123,2100,110,24時間,6：30～20：00日祝7：00～16：00,2016/4/1
45,EPSG:6668,139.4737891,35.51092431,南町田グランベリーパーク駅東バイク自転車駐車場,194-0004,東京都町田市鶴間8-1799-2,042-795-6002,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,バイク,94,94,0,3140,,24時間,6：30～20：00日祝7：00～16：00,2021/4/1
46,EPSG:6668,139.47342,35.51051,南町田グランベリーパーク駅東自転車駐車場,194-0004,東京都町田市鶴間3-103-23,042-795-6002,https://www.city.machida.tokyo.jp/kanko/kotu_syuku/chushajo_annai/public-parking-lot.html,自転車,290,290,,1470,,24時間,6：30～20：00日祝7：00～16：00,2023/4/1
47,EPSG:6668,139.4277805,35.56387828,木曽住宅バス停自転車駐車場,194-0036,東京都町田市木曽東4-570-2他,,,自転車・バイク,90,,,無料,,24時間,管理は自己責任となります。,
