年度,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成6年度平均/前年度比(%),1994,0.4,0.2,-0.1,1.5,1.3,2.3,-2.2,-2.3,0.5,-0.3,2.9,0.5,1
平成7年度平均/前年度比(%),1995,-0.4,-0.3,-1.5,0,1.1,0.3,-2,0,0.5,1.8,2.2,-1.7,0.6
平成8年度平均/前年度比(%),1996,0.1,0.1,0.2,-0.1,-0.2,0,-3,0.3,0.8,0.2,2.6,-0.7,0.5
平成9年度平均/前年度比(%),1997,1.8,2,2.3,0.8,0.4,3.3,-0.8,2.7,8.5,0.4,1.3,2.3,2.5
平成10年度平均/前年度比(%),1998,0.3,0.3,0.8,-0.1,-0.7,-1.3,-1.6,1.1,4.6,-1.2,1.7,-0.5,0.9
平成11年度平均/前年度比(%),1999,-0.6,-0.9,-1.4,0.4,-0.2,-1.1,-1.8,-1.5,-1.1,-0.1,1.4,-0.9,-0.4
平成12年度平均/前年度比(%),2000,-0.9,-0.7,-1.5,-1.4,-0.6,1.1,-2.5,-0.5,0,-0.6,0.9,-1.1,-0.3
平成13年度平均/前年度比(%),2001,-1.3,-1.3,-1.3,-1.3,-0.8,0.1,-4.1,-2.1,0,-1.1,0.8,-2.6,-0.1
平成14年度平均/前年度比(%),2002,-0.7,-0.6,0.5,-1,-0.6,-3,-3.8,-1.2,-0.9,-0.2,1.3,-1.8,0.1
平成15年度平均/前年度比(%),2003,-0.4,-0.3,-0.6,-0.4,-0.3,0.6,-2.6,-1.5,4.3,-0.3,-0.6,-1.4,1.3
平成16年度平均/前年度比(%),2004,-0.1,-0.1,0.8,-0.1,0,-1.5,-2.2,0.5,-1.4,-0.5,0.7,-0.9,0
平成17年度平均/前年度比(%),2005,-0.4,-0.5,-1.2,-0.1,-0.4,-0.1,-2.5,0.4,0.4,-0.4,0.4,-0.5,0.3
平成18年度平均/前年度比(%),2006,0.3,0.2,0.6,0.1,0.1,1.8,-1.3,0.6,-0.7,-0.5,0.8,-0.6,0.9
平成19年度平均/前年度比(%),2007,0.1,0.2,0.4,0.1,-0.3,1.2,-2.1,-0.7,0.3,0.4,1.1,-1,0.6
平成20年度平均/前年度比(%),2008,1,1.1,2.4,0.2,0.3,5.5,-0.6,0,0,0.1,0.7,-0.5,0.3
平成21年度平均/前年度比(%),2009,-1.7,-1.9,-1.5,-0.6,-0.6,-5.9,-4.1,-2.3,-0.2,-1.8,0.6,-3.4,-0.9
,,,,,,,,,,,,,,
東京の物価／平成２２年８月,,,,,,,,,,,,,,
５．東京都区部消費者物価１０大費目指数（前年度比）,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,
