行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,8時,9時,10時,11時,12時,14時,15時,16時,17時,18時
11,-46212.74526,-43615.40581,11 相原小学校前（町田ターミナル方面）,194-0211,東京都町田市相原町1673,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,43,,,,3,,,13,,
12,-45844.65672,-43737.50789,12 諏訪神社前（町田ターミナル方面）,194-0211,東京都町田市相原町1740-5,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,44,,,,4,,,14,,
13,-45520.94956,-43759.88791,13 相原（町田ターミナル方面）,194-0211,東京都町田市相原町1233,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,45,,,,5,,,15,,
14,-45301.06883,-43743.74756,14 堺市民センター前（町田ターミナル方面）,194-0211,東京都町田市相原町795,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,46,,,,6,,,16,,
15,-45025.05683,-43626.9568,15 堺中学校前（町田ターミナル方面）,194-0211,東京都町田市相原町753-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,47,,,,7,,,17,,
16,-44780.5941,-43619.49649,16 堺農協前（町田ターミナル方面）,194-0211,東京都町田市相原町675,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,47,,,,7,,,17,,
17,-44572.08533,-43659.48712,17 坂下（町田ターミナル方面）,194-0211,東京都町田市相原町431-2,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,48,,,,8,,,18,,
18,-44294.48289,-43774.1972,18 相原境（町田ターミナル方面）,194-0211,東京都町田市相原町81-3,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,49,,,,9,,,19,,
19,-43857.58022,-43964.75769,19 久保ヶ谷戸（町田ターミナル方面）,194-0212,東京都町田市小山町4177-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,50,,,,10,,,20,,
20,-42869.66435,-44237.74758,20 田端（町田ターミナル方面）,194-0212,東京都町田市小山町3271,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,53,,,,13,,,23,,
21,-42121.11536,-44603.20473,21 片所（町田ターミナル方面）,194-0212,東京都町田市小山町2507-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,56,,,,16,,,26,,
22,-41240.40018,-45035.20684,22 小山小学校前（町田ターミナル方面）,194-0212,東京都町田市小山町943,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,58,,,,18,,,28,,
23,-39773.75272,-45834.32941,23 常盤（町田ターミナル方面）,194-0213,東京都町田市常盤町3200-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,3,,,23,,,33,,
24,-37868.20245,-45088.5372,24 桜橋（町田ターミナル方面）,194-0202,東京都町田市下小山田町80,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,9,,,29,,,39,,
25,-38109.00704,-45808.09526,25 市立室内プール（町田ターミナル方面）,194-0203,東京都町田市図師町199-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,11,,,31,,,41,,
26,-37445.38527,-46717.98122,26 忠生三丁目（町田ターミナル方面）,194-0035,東京都町田市忠生2-28-5,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,15,,,35,,,45,,
27,-37299.68785,-47254.83968,27 忠生公園前（町田ターミナル方面）,194-0035,東京都町田市忠生1-3,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,18,,,38,,,48,,
28,-35834.96359,-49067.99004,28 町田市民病院（町田ターミナル方面）,194-0023,東京都町田市旭町2-15-41,042-724-4261,,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,35,,,52,,,,2,
29,-35364.24604,-49486.2257,29 五間道路（町田ターミナル方面）,194-0021,東京都町田市中町2-17-4,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,37,,,54,,,,4,
30,-35227.55836,-49679.26748,30 図書館前（町田ターミナル方面）,194-0021,東京都町田市中町2-20-24,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,38,,,55,,,,5,
31,-35009.99969,-49977.91545,31 中町一丁目（町田ターミナル方面）,194-0021,東京都町田市中町1-29,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,39,,,56,,,,6,
32,-34778.81718,-50305.99132,32 原町田五丁目（町田ターミナル方面）,194-0013,東京都町田市原町田5-8-21,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,41,,,58,,,,8,
33,-34588.84256,-50569.6346,33 原町田四丁目（町田ターミナル方面）,194-0013,東京都町田市原町田4-21-14,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,42,,,59,,,,9,
,,,,,,,,,,,,,,,,,,,,
1,-34879.53869,-50892.26488,1 町田ターミナル（ネイチャーファクトリー東京町田方面）,194-0013,東京都町田市原町田4-1-17,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,25,,,30,,,30,
2,-34599.27357,-50572.10896,2 原町田四丁目（ネイチャーファクトリー東京町田方面）,194-0013,東京都町田市原町田4-18-13,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,27,,,32,,,32,
3,-34763.97702,-50342.77241,3 原町田五丁目（ネイチャーファクトリー東京町田方面）,194-0013,東京都町田市原町田5-3-12,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,28,,,33,,,33,
4,-35007.63284,-50004.58472,4 中町一丁目（ネイチャーファクトリー東京町田方面）,194-0021,東京都町田市中町1-23-20,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,30,,,35,,,35,
5,-35243.69104,-49678.83769,5 図書館前（ネイチャーファクトリー東京町田方面）,194-0021,東京都町田市中町2-13-14,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,31,,,36,,,36,
6,-35385.96944,-49480.20257,6 五間道路（ネイチャーファクトリー東京町田方面）,194-0021,東京都町田市中町2-16-14,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,32,,,37,,,37,
7,-35471.927,-49355.223,7 旭町（ネイチャーファクトリー東京町田方面）,194-0023,東京都町田市旭町1丁目586-2番,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,32,,,37,,,37,
8,-35831.52305,-49067.77571,8 町田市民病院（ネイチャーファクトリー東京町田方面）,194-0023,東京都町田市旭町2-15-41,042-724-4261,,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,39,,,44,,,44,
9,-37324.52523,-47255.82749,9 忠生公園前（ネイチャーファクトリー東京町田方面）,194-0035,東京都町田市忠生1-12-24,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,49,,,56,,,56,
10,-37463.58881,-46728.28358,10 忠生三丁目（ネイチャーファクトリー東京町田方面）,194-0035,東京都町田市忠生3-7-11,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,52,,,59,,,59,
11,-38194.38019,-45800.05412,11 市立室内プール（ネイチャーファクトリー東京町田方面）,194-0202,東京都町田市下小山田町3160,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,56,,,,3,,,3
12,-38041.28095,-44968.37084,12 桜橋（ネイチャーファクトリー東京町田方面）,194-0202,東京都町田市下小山田町158,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,58,,,,5,,,5
13,-39696.1683,-45871.95138,13 常盤（ネイチャーファクトリー東京町田方面）,194-0213,東京都町田市常盤町3278,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,4,,,11,,,11
14,-41257.48667,-45039.34069,14 小山小学校前（ネイチャーファクトリー東京町田方面）,194-0212,東京都町田市小山町944,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,9,,,16,,,16
15,-42124.42134,-44614.22692,15 片所（ネイチャーファクトリー東京町田方面）,194-0212,東京都町田市小山町2494-31,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,11,,,18,,,18
16,-42833.97382,-44262.41536,16 田端（ネイチャーファクトリー東京町田方面）,194-0212,東京都町田市小山町4275-2,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,14,,,21,,,21
17,-43952.13096,-43946.1301,17 久保ヶ谷戸（ネイチャーファクトリー東京町田方面）,194-0212,東京都町田市小山町4392-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,17,,,24,,,24
18,-44312.82549,-43791.31654,18 相原境（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町26,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,19,,,26,,,26
19,-44588.27944,-43667.56328,19 坂下（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町419,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,20,,,27,,,27
20,-44906.79837,-43617.05086,20 堺農協前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町660-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,21,,,28,,,28
21,-45020.40863,-43637.47554,21 堺中学校前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町742-22,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,21,,,28,,,28
22,-45260.22182,-43741.79049,22 堺市民センター前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町792-5,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,22,,,29,,,29
23,-45606.55558,-43770.89468,23 相原（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町1242,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,23,,,30,,,30
24,-45835.8506,-43750.71686,24 諏訪神社前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町1652,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,24,,,31,,,31
25,-46204.44089,-43629.64794,25 相原小学校前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町1671-1,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,25,,,32,,,32
26,-46557.73261,-43554.5044,26 開都（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町2117,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,26,,,34,,,34
27,-46821.15818,-43622.67591,27 相原十字路（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町2186,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,27,,,35,,,35
28,-47413.91065,-43665.84629,28 根岸（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町2891-12,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,28,,,37,,,37
29,-47901.54136,-43606.94803,29 境橋（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町3134,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,29,,,38,,,38
30,-48143.86167,-43479.41525,30 円林寺前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町3179-2,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,30,,,40,,,40
31,-48409.11015,-43185.79319,31 水の口（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町3296,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,31,,,41,,,41
32,-48788.03841,-43020.55718,32 公会堂前（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町3357,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,32,,,42,,,42
33,-49136.82219,-42832.45757,33 大戸橋（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町4464-5,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,33,,,43,,,43
34,-49380.30832,-42795.15906,34 上大戸（ネイチャーファクトリー東京町田方面）,194-0211,東京都町田市相原町4635-4,042-724-4261,路線バスと兼用,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/bus/aihara03.html,（2019.4.1改正）,土日祝日、年末年始をのぞく平日のみの運行です。,,,,34,,,44,,,44
