行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,備考_2,URL,時刻表,備考,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時
9,-34333.06089,-48228.74087,9 朝日公園,194-0041,町田市玉川学園4丁目3751番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,43,08 33 58,23 51*,18,18 51*,18,18 51*,18,18 51*,18,18 51*,18 48,18 43,08 38,08 38,08 38有
10,-34316.26775,-47986.45405,10 すみれ児童公園,194-0041,町田市玉川学園4丁目3773番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,44,09 34 59,24 52*,19,19 52*,19,19 52*,19,19 52*,19,19 52*,19 49,19 44,09 39,09 39,09 39有
11,-34239.50319,-47792.28317,11 金井なかよし公園,195-0071,町田市金井町2882番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,45,10 35,00 25 53*,20,20 53*,20,20 53*,20,20 53*,20,20 53*,20 50,20 45,10 40,10 40,10 40有
12,-34208.24965,-47595.78493,12 ゆうき山公園,195-0071,町田市金井町2882番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,46,11 36,01 26 54*,21,21 54*,21,21 54*,21,21 54*,21,21 54*,21 51,21 46,11 41,11 41,11 41有
13,-34098.18259,-47386.23679,13 木倉有楽,195-0071,町田市金井町2744番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,47,12 37,02 27 55*,22,22 55*,22,22 55*,22,22 55*,22,22 55*,22 52,22 47,12 42,12 42,12 42有
14,-33937.03349,-47440.14127,14 有楽入口,195-0071,町田市金井町2612番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,48,13 38,03 28 56*,23,23 56*,23,23 56*,23,23 56*,23,23 56*,23 53,23 48,13 43,13 43,13
15,-33938.81537,-47671.77457,15 金井小学校,194-0041,町田市玉川学園5丁目2586番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,25金 49,14 39,04 29 57*,24,24 57*,24,24 57*,24,24 57*,24,24 57*,24 54,24 49,14 44,14 44,14
16,-33885.14072,-47799.45046,16 松風台,194-0041,町田市玉川学園5丁目2583番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,26金 50,15 40,05 30 58*,25,25 58*,25,25 58*,25,25 58*,25,25 58*,25 55,25 50,15 45,15 45,15
17,-33652.65258,-47766.8923,17 夕日ヶ丘,194-0041,町田市玉川学園5丁目2388番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,27金 51,16 41,06 31 59*,26,26 59*,26,26 59*,26,26 59*,26,26 59*,26 56,26 51,16 46,16 46,16
18,-33479.26211,-47870.00987,18 玉川学園なかよし公園,194-0041,町田市玉川学園6丁目4025番,042-724-4260,,小田急線の踏切障害等が発生した場合、大幅な遅延や運休が発生する場合があります。,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/tamachan/ttkmtcb001.html,（2022.1.16改正）,*：さくらんぼホール経由　有：有楽入口止まり　金：金井小学校始発,28金 52,17 42,07 32,00* 27,27,00* 27,27,00* 27,27,00* 27,27,27 57,27 52,17 47,17 47,17
