行,経度,緯度,停留所名,郵便番号,所在地,電話番号,備考,URL,時刻表,備考2,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時
11,"-33,607.31","-52,176.83",11 市営住宅入口,194-0012,町田市金森3丁目1138-4番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：52,平日：17 45　土休日：45,10 38,03 31 59,27 52,20 45,16 41,09 34,02 30 58,23 51,16 47,12 43,08 40,09 37,平日：02 31 59,
12,"-33,496.53","-52,229.64",12 南中学校北,194-0015,町田市金森東4丁目1149-5番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,わさび田公園前経由ルート,平日：53,46,39,32,28,21,17,10,03 59,52,48,44,41,38,平日：32,
13,"-33,334.60","-52,074.94",13 わさび田公園前,194-0015,町田市金森東4丁目1919-10番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,わさび田公園前経由ルート,平日：54,47,40,33,29,22,18,11,4,00 53,49,45,42,39,平日：33,
14,"-33,100.55","-51,982.42",14 みずき山ふるさとの森,194-0015,町田市金森東4丁目1917-18番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：55,平日：22 48　土休日：48,15 41,08 34,04 30 57,23 50,19 46,12 39,05 35,01 28 54,17 46,17 46,13 43,14 40,平日：07 34,平日：04
15,"-33,155.61","-51,826.68",15 南第四小学校入口,194-0015,町田市金森東3丁目1923-6番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：55,平日：22 48　土休日：48,15 41,08 34,04 30 57,23 50,19 46,12 39,05 35,01 28 54,17 46,17 46,13 43,14 40,平日：07 34,平日：04
16,"-32,959.83","-51,673.75",16 都立小川高校前,194-0011,町田市成瀬が丘3丁目10-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：56,平日：23 49　土休日：49,16 42,09 35,05 31 58,24 51,20 47,13 40,06 36,02 29 55,18 47,18 47,14 44,15 41,平日：08 35,平日：05
17,"-32,899.87","-51,430.90",17 成瀬が丘二丁目西,194-0011,町田市成瀬が丘2丁目25-15番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,,平日：57,平日：24 50　土休日：50,17 43,10 36,06 32 59,25 52,21 48,14 41,07 37,03 30 56,19 48,19 48,15 45,16 42,平日：09 36,平日：06
18,"-33,472.60","-52,337.95",18 南中学校前,194-0012,町田市金森3丁目1156-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,南中学校東経由ルート,,平日：18,11,4,00 53,46,42,35,31,24,17,13,9,10,平日：03,平日：00
19,"-33,328.82","-52,427.17",19 南中学校東,194-0015,町田市金森東4丁目1782-3番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,南中学校東経由ルート,,平日：20,13,6,02 55,48,44,37,33,26,19,15,11,12,平日：05,平日：02
20,"-33,212.18","-52,343.56",20 柳橋,194-0015,町田市金森東4丁目1793-661番,042-724-4260,特記以外は全日共通,https://www.city.machida.tokyo.jp/kurashi/sumai/kotsu/shimin/komyubasu/kawasemigou/ttkmtcb003.html,（2022.4.2改正）,南中学校東経由ルート,,平日：20,13,6,02 55,48,44,37,33,26,19,15,11,12,平日：05,平日：02
