年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／平成30年10～12月平均,2018,10～12,17,-12,11,-12,-41,-42,31,-16,70,23,-23,12,72
対前年・対前年同期増減数／男／平成28年平均,2016,,-39,4,8,-12,-18,41,1,23,14,2,6,18,10
対前年・対前年同期増減数／男／平成29年平均,2017,,-9,5,19,5,7,-1,5,8,-6,-7,-20,25,2
対前年・対前年同期増減数／男／平成30年平均,2018,,19,-5,14,3,23,-27,-4,17,15,-4,2,-9,19
対前年・対前年同期増減数／男／平成28年７～９月平均,2016,07～09,-39,12,22,-24,-82,39,-12,41,-6,12,-21,17,40
対前年・対前年同期増減数／男／平成28年10～12月平均,2016,10～12,-13,-38,40,-14,-10,74,22,40,11,-8,13,-1,-26
対前年・対前年同期増減数／男／平成29年１～３月平均,2017,01～03,-6,20,2,9,-15,-10,3,29,-36,0,3,29,2
対前年・対前年同期増減数／男／平成29年４～６月平均,2017,04～06,-6,-17,45,13,-21,6,13,29,5,-5,-36,29,-7
対前年・対前年同期増減数／男／平成29年７～９月平均,2017,07～09,-5,6,19,6,41,13,25,-2,8,-11,-26,19,-12
対前年・対前年同期増減数／男／平成29年10～12月平均,2017,10～12,-18,12,11,-7,21,-13,-24,-22,-3,-12,-19,25,27
対前年・対前年同期増減数／男／平成30年１～３月平均,2018,01～03,21,48,67,-39,-3,3,-22,14,18,-2,-10,-23,3
対前年・対前年同期増減数／男／平成30年４～６月平均,2018,04～06,24,-26,-14,46,50,-17,4,15,-18,-13,-13,-30,37
対前年・対前年同期増減数／男／平成30年７～９月平均,2018,07～09,17,-45,-23,11,82,-47,-7,36,43,0,12,-1,-15
対前年・対前年同期増減数／男／平成30年10～12月平均,2018,10～12,13,3,25,-7,-36,-45,11,4,18,-1,17,16,50
対前年・対前年同期増減数／女／平成28年平均,2016,,-9,17,6,4,-3,9,-10,23,1,5,6,8,17
対前年・対前年同期増減数／女／平成29年平均,2017,,8,-18,9,5,45,21,5,10,-13,3,9,21,-5
対前年・対前年同期増減数／女／平成30年平均,2018,,9,-16,4,2,17,-3,1,0,28,19,-10,23,20
対前年・対前年同期増減数／女／平成28年７～９月平均,2016,07～09,-13,7,2,-3,5,8,0,27,15,5,-8,37,6
対前年・対前年同期増減数／女／平成28年10～12月平均,2016,10～12,-7,22,25,-6,8,-7,-9,14,38,24,8,2,22
対前年・対前年同期増減数／女／平成29年１～３月平均,2017,01～03,12,-16,32,-15,40,11,15,0,9,-2,-1,50,-2
対前年・対前年同期増減数／女／平成29年４～６月平均,2017,04～06,5,-2,4,14,53,19,10,15,12,-4,20,-32,-8
対前年・対前年同期増減数／女／平成29年７～９月平均,2017,07～09,0,-38,3,14,89,35,10,-7,-16,12,-4,-10,-11
対前年・対前年同期増減数／女／平成29年10～12月平均,2017,10～12,16,-17,-3,8,-2,18,-14,29,-58,7,20,75,5
対前年・対前年同期増減数／女／平成30年１～３月平均,2018,01～03,18,-7,-5,4,67,21,-6,10,12,13,-6,15,15
対前年・対前年同期増減数／女／平成30年４～６月平均,2018,04～06,12,-14,10,1,-22,20,-1,9,23,24,-14,31,40
対前年・対前年同期増減数／女／平成30年７～９月平均,2018,07～09,0,-28,25,6,23,-54,-12,4,25,15,21,47,0
対前年・対前年同期増減数／女／平成30年10～12月平均,2018,10～12,4,-15,-14,-5,-4,3,20,-20,53,24,-40,-4,22
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成30年10～12月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
