区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,244,214,30,14,81,71,10,14.1,163,143,20,14
〔就業者の主な産業別内訳〕／建設業,466,434,32,7.4,380,359,21,5.8,86,75,11,14.7
〔就業者の主な産業別内訳〕／製造業,691,716,-25,-3.5,496,500,-4,-0.8,196,215,-19,-8.8
〔就業者の主な産業別内訳〕／情報通信業,747,724,23,3.2,530,513,17,3.3,217,211,6,2.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,377,367,10,2.7,298,290,8,2.8,78,77,1,1.3
〔就業者の主な産業別内訳〕／卸売業，小売業,1304,1272,32,2.5,659,638,21,3.3,645,634,11,1.7
〔就業者の主な産業別内訳〕／金融業，保険業,298,327,-29,-8.9,133,160,-27,-16.9,165,168,-3,-1.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,256,257,-1,-0.4,149,154,-5,-3.2,107,103,4,3.9
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,546,515,31,6,344,315,29,9.2,202,200,2,1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,567,515,52,10.1,258,239,19,7.9,310,276,34,12.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,285,271,14,5.2,106,116,-10,-8.6,178,155,23,14.8
〔就業者の主な産業別内訳〕／教育，学習支援業,368,372,-4,-1.1,155,155,0,0,213,217,-4,-1.8
〔就業者の主な産業別内訳〕／医療，福祉,809,803,6,0.7,218,230,-12,-5.2,592,573,19,3.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,650,606,44,7.3,370,348,22,6.3,280,258,22,8.5
〔雇用者の主な産業別内訳〕／建設業,401,374,27,7.2,322,303,19,6.3,80,71,9,12.7
〔雇用者の主な産業別内訳〕／製造業,662,683,-21,-3.1,477,482,-5,-1,185,201,-16,-8
〔雇用者の主な産業別内訳〕／情報通信業,707,689,18,2.6,502,488,14,2.9,205,201,4,2
〔雇用者の主な産業別内訳〕／運輸業，郵便業,350,345,5,1.4,272,269,3,1.1,78,76,2,2.6
〔雇用者の主な産業別内訳〕／卸売業，小売業,1233,1194,39,3.3,617,594,23,3.9,617,600,17,2.8
〔雇用者の主な産業別内訳〕／金融業，保険業,296,325,-29,-8.9,132,159,-27,-17,164,167,-3,-1.8
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,227,230,-3,-1.3,135,139,-4,-2.9,92,91,1,1.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,400,381,19,5,249,232,17,7.3,150,150,0,0
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,498,455,43,9.5,222,207,15,7.2,277,249,28,11.2
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,228,212,16,7.5,84,88,-4,-4.5,144,125,19,15.2
〔雇用者の主な産業別内訳〕／教育，学習支援業,330,338,-8,-2.4,147,145,2,1.4,183,193,-10,-5.2
〔雇用者の主な産業別内訳〕／医療，福祉,773,761,12,1.6,195,204,-9,-4.4,579,556,23,4.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,601,563,38,6.7,338,319,19,6,263,243,20,8.2
〔非農林業雇用者の従業者規模別内訳〕／総数,7173,6987,186,2.7,3955,3903,52,1.3,3218,3084,134,4.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1737,1720,17,1,960,949,11,1.2,777,772,5,0.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2164,2111,53,2.5,1163,1139,24,2.1,1001,972,29,3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2699,2573,126,4.9,1532,1498,34,2.3,1167,1075,92,8.6
〔完全失業率（年齢階級別）(%)〕／総数,2.6,2.9,-0.3,…,2.7,3,-0.3,…,2.4,2.7,-0.3,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.1,4.1,-1,…,3.3,4.3,-1,…,2.9,3.8,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.5,3,0.5,…,3.7,3.1,0.6,…,3.4,2.9,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.3,3.1,-0.8,…,2.7,3.2,-0.5,…,2,2.9,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.2,2.4,-0.2,…,2.1,2.5,-0.4,…,2.3,2.2,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.4,2.7,-0.3,…,2.5,2.9,-0.4,…,2.3,2.2,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,2.2,-0.3,…,2.2,2.5,-0.3,…,1.4,1.9,-0.5,…
〔就業率（%）〕／総数,64.7,63.2,1.5,…,73.6,72.7,0.9,…,56.1,54,2.1,…
〔労働力人口比率(%)〕／総数,66.4,65,1.4,…,75.7,74.9,0.8,…,57.5,55.5,2,…
,,,,,,,,,,,,
東京の労働力統計データ（平成30年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成30年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
