区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
労働力人口比率／平成22年平均,2010,62.5,40.3,85.2,82.2,84,70.6,23.9,-0.1,-1.2,0.4,-0.1,-0.6,0.2,0.6,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,2011,63.5,41.8,85,82.1,84.2,71.3,24.6,1,1.5,-0.2,-0.1,0.2,0.7,0.7,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,2012,63.1,41.6,84.8,82.6,84.1,70.8,24.6,-0.4,-0.2,-0.2,0.5,-0.1,-0.5,0,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,2013,63.5,43,85,83.7,84.8,70.9,25.1,0.4,1.4,0.2,1.1,0.7,0.1,0.5,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,2014,64.2,43.5,86.9,84.6,85.1,72,26,0.7,0.5,1.9,0.9,0.3,1.1,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,2015,64.4,44.1,86.3,84.6,86.2,74.5,25.5,0.2,0.6,-0.6,0,1.1,2.5,-0.5,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,2016,64.4,47.2,88.4,84.4,86.1,75,24.1,0,3.1,2.1,-0.2,-0.1,0.5,-1.4,…,…,…,…,…,…,…
労働力人口比率／平成29年平均,2017,65,47.4,88.6,84.9,86.6,76.8,25.4,0.6,0.2,0.2,0.5,0.5,1.8,1.3,…,…,…,…,…,…,…
労働力人口比率／平成30年平均,2018,66.4,51.7,89,86.6,87,77.8,26.9,1.4,4.3,0.4,1.7,0.4,1,1.5,…,…,…,…,…,…,…
就業率／平成20年平均,2008,60.7,42,79.9,78.1,81.7,69.7,23.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
就業率／平成21年平均,2009,59.6,38.7,79.5,78.6,81.5,67.7,22.6,-1.1,-3.3,-0.4,0.5,-0.2,-2,-0.8,…,…,…,…,…,…,…
就業率／平成22年平均,2010,59.1,36.1,79.6,78.3,80.6,66.7,23.1,-0.5,-2.6,0.1,-0.3,-0.9,-1,0.5,…,…,…,…,…,…,…
就業率／平成23年平均,2011,60.4,38.7,80.2,78.2,81,67.7,24,1.3,2.6,0.6,-0.1,0.4,1,0.9,…,…,…,…,…,…,…
就業率／平成24年平均,2012,60.3,38.6,80.8,78.9,80.8,67.4,23.9,-0.1,-0.1,0.6,0.7,-0.2,-0.3,-0.1,…,…,…,…,…,…,…
就業率／平成25年平均,2013,60.8,40.6,80.8,80.4,81.6,67.9,24.3,0.5,2,0,1.5,0.8,0.5,0.4,…,…,…,…,…,…,…
就業率／平成26年平均,2014,61.8,41.2,82.8,81.5,82.4,69.3,25.4,1,0.6,2,1.1,0.8,1.4,1.1,…,…,…,…,…,…,…
就業率／平成27年平均,2015,62.1,42,82.5,81.9,83.2,71.9,25,0.3,0.8,-0.3,0.4,0.8,2.6,-0.4,…,…,…,…,…,…,…
就業率／平成28年平均,2016,62.3,44.9,85.2,82,83.4,72.7,23.5,0.2,2.9,2.7,0.1,0.2,0.8,-1.5,…,…,…,…,…,…,…
就業率／平成29年平均,2017,63.2,45.5,85.9,82.2,84.6,74.7,24.8,0.9,0.6,0.7,0.2,1.2,2,1.3,…,…,…,…,…,…,…
就業率／平成30年平均,2018,64.7,50,85.8,84.5,85.1,75.9,26.4,1.5,4.5,-0.1,2.3,0.5,1.2,1.6,…,…,…,…,…,…,…
完全失業率／平成20年平均,2008,3.8,6.2,5,3.5,2.7,3,2.9,0,-0.2,0.3,-0.1,-0.2,-0.5,0.6,…,…,…,…,…,…,…
完全失業率／平成21年平均,2009,4.7,6.7,6.3,4.4,3.6,4,3.1,0.9,0.5,1.3,0.9,0.9,1,0.2,…,…,…,…,…,…,…
完全失業率／平成22年平均,2010,5.5,10.2,6.5,4.8,4.1,5.6,3.4,0.8,3.5,0.2,0.4,0.5,1.6,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,2011,4.8,7.5,5.7,4.8,3.9,5.1,2.3,-0.7,-2.7,-0.8,0,-0.2,-0.5,-1.1,…,…,…,…,…,…,…
完全失業率／平成24年平均,2012,4.5,7.1,4.7,4.5,3.9,4.8,2.9,-0.3,-0.4,-1,-0.3,0,-0.3,0.6,…,…,…,…,…,…,…
完全失業率／平成25年平均,2013,4.2,5.7,4.9,3.9,3.7,4.2,2.9,-0.3,-1.4,0.2,-0.6,-0.2,-0.6,0,…,…,…,…,…,…,…
完全失業率／平成26年平均,2014,3.8,5.2,4.7,3.6,3.2,3.7,2.4,-0.4,-0.5,-0.2,-0.3,-0.5,-0.5,-0.5,…,…,…,…,…,…,…
完全失業率／平成27年平均,2015,3.6,4.8,4.5,3.2,3.5,3.4,2.3,-0.2,-0.4,-0.2,-0.4,0.3,-0.3,-0.1,…,…,…,…,…,…,…
完全失業率／平成28年平均,2016,3.2,4.8,3.7,2.9,3.1,3.1,2.4,-0.4,0,-0.8,-0.3,-0.4,-0.3,0.1,…,…,…,…,…,…,…
完全失業率／平成29年平均,2017,2.9,4.1,3,3.1,2.4,2.7,2.2,-0.3,-0.7,-0.7,0.2,-0.7,-0.4,-0.2,…,…,…,…,…,…,…
完全失業率／平成30年平均,2018,2.6,3.1,3.5,2.3,2.2,2.4,1.9,-0.3,-1,0.5,-0.8,-0.2,-0.3,-0.3,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成30年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男女計）,,,,,,,,,,,,,,,,,,,,,,
注)　就業率については、平成20年平均から集計している。,,,,,,,,,,,,,,,,,,,,,,
