年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／女／平成28年４～６月平均,2016,04～06,68,214,212,73,564,146,83,193,255,148,215,594,245
実数／女／平成28年７～９月平均,2016,07～09,73,237,191,67,564,163,112,179,299,146,205,585,274
実数／女／平成28年10～12月平均,2016,10～12,70,239,212,67,628,140,112,164,318,165,193,553,251
実数／女／平成29年１～３月平均,2017,01～03,70,221,222,66,621,151,105,191,282,145,210,537,274
実数／女／平成29年４～６月平均,2017,04～06,72,217,213,88,633,165,89,229,263,140,238,554,236
実数／女／平成29年７～９月平均,2017,07～09,77,200,197,79,657,197,116,181,287,162,198,573,266
実数／女／平成29年10～12月平均,2017,10～12,81,223,212,74,623,158,103,198,269,172,220,630,257
実数／女／平成30年１～３月平均,2018,01～03,94,217,218,71,686,171,105,205,302,161,212,554,286
対前年・対前年同期増減数／男女計／平成27年平均,2015,,46,-19,-9,-19,1,2,21,-10,30,-11,-7,23,48
対前年・対前年同期増減数／男女計／平成28年平均,2016,,-55,17,16,-13,-20,49,-6,53,12,1,7,30,22
対前年・対前年同期増減数／男女計／平成29年平均,2017,,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2
対前年・対前年同期増減数／男女計／平成27年10～12月平均,2015,10～12,24,34,-55,12,48,12,20,-39,32,30,19,-7,-15
対前年・対前年同期増減数／男女計／平成28年１～３月平均,2016,01～03,-22,-2,-11,15,18,7,-22,5,34,-21,20,36,86
対前年・対前年同期増減数／男女計／平成28年４～６月平均,2016,04～06,-111,80,-14,-18,-22,75,-24,70,-65,-1,17,18,-43
対前年・対前年同期増減数／男女計／平成28年７～９月平均,2016,07～09,-53,33,35,-28,-56,48,5,83,16,8,-35,54,46
対前年・対前年同期増減数／男女計／平成28年10～12月平均,2016,10～12,-37,-41,57,-21,-29,66,20,54,56,13,22,10,-3
対前年・対前年同期増減数／男女計／平成29年１～３月平均,2017,01～03,-16,-10,37,-4,19,3,12,52,-27,-3,9,76,7
対前年・対前年同期増減数／男女計／平成29年４～６月平均,2017,04～06,-13,-10,57,37,49,23,13,81,18,-12,-5,-24,-13
対前年・対前年同期増減数／男女計／平成29年７～９月平均,2017,07～09,-7,-37,17,14,147,46,19,3,-17,8,-35,7,-24
対前年・対前年同期増減数／男女計／平成29年10～12月平均,2017,10～12,-9,-5,13,-6,8,4,-27,31,-43,-16,8,92,38
対前年・対前年同期増減数／男女計／平成30年１～３月平均,2018,01～03,54,50,56,-38,57,20,-23,42,38,1,-7,-2,29
対前年・対前年同期増減数／男／平成27年平均,2015,,46,-24,-3,-19,25,-8,2,-2,13,0,-1,-6,24
対前年・対前年同期増減数／男／平成28年平均,2016,,-44,4,7,-17,-18,40,3,25,17,0,5,20,7
対前年・対前年同期増減数／男／平成29年平均,2017,,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4
対前年・対前年同期増減数／男／平成27年10～12月平均,2015,10～12,30,17,-39,8,56,-17,2,-6,22,29,9,-12,-8
対前年・対前年同期増減数／男／平成28年１～３月平均,2016,01～03,-19,-34,-5,4,27,10,-19,-7,44,-13,24,27,48
対前年・対前年同期増減数／男／平成28年４～６月平均,2016,04～06,-92,80,-21,-32,-7,38,8,31,1,7,2,34,-36
対前年・対前年同期増減数／男／平成28年７～９月平均,2016,07～09,-36,21,26,-25,-69,40,0,46,1,10,-24,15,40
対前年・対前年同期増減数／男／平成28年10～12月平均,2016,10～12,-31,-51,28,-16,-30,73,25,33,20,-7,16,3,-21
対前年・対前年同期増減数／男／平成29年１～３月平均,2017,01～03,-22,12,5,10,-17,-9,3,37,-39,5,7,35,3
対前年・対前年同期増減数／男／平成29年４～６月平均,2017,04～06,-17,-14,56,23,-20,5,8,45,8,-3,-28,17,-3
対前年・対前年同期増減数／男／平成29年７～９月平均,2017,07～09,-11,0,12,3,54,12,16,1,-5,-8,-28,18,-16
対前年・対前年同期増減数／男／平成29年10～12月平均,2017,10～12,-20,11,13,-12,12,-12,-20,-2,6,-24,-19,15,32
対前年・対前年同期増減数／男／平成30年１～３月平均,2018,01～03,30,55,60,-42,-8,0,-23,28,18,-16,-10,-20,17
対前年・対前年同期増減数／女／平成27年平均,2015,,1,5,-6,-1,-24,11,19,-7,17,-11,-5,28,25
対前年・対前年同期増減数／女／平成28年平均,2016,,-11,13,9,4,-2,8,-9,27,-4,1,1,10,14
対前年・対前年同期増減数／女／平成29年平均,2017,,6,-18,10,5,49,21,2,22,-10,2,12,16,-2
対前年・対前年同期増減数／女／平成27年10～12月平均,2015,10～12,-7,17,-16,4,-8,28,19,-33,10,2,10,5,-7
対前年・対前年同期増減数／女／平成28年１～３月平均,2016,01～03,-3,33,-6,11,-9,-3,-3,11,-10,-8,-4,9,38
対前年・対前年同期増減数／女／平成28年４～６月平均,2016,04～06,-19,1,7,14,-15,36,-33,39,-65,-8,14,-17,-7
対前年・対前年同期増減数／女／平成28年７～９月平均,2016,07～09,-17,12,9,-3,13,8,5,37,15,-2,-12,39,6
対前年・対前年同期増減数／女／平成28年10～12月平均,2016,10～12,-6,11,29,-6,1,-8,-5,21,36,20,6,7,18
対前年・対前年同期増減数／女／平成29年１～３月平均,2017,01～03,6,-23,32,-15,36,12,9,16,12,-7,2,42,4
対前年・対前年同期増減数／女／平成29年４～６月平均,2017,04～06,4,3,1,15,69,19,6,36,8,-8,23,-40,-9
対前年・対前年同期増減数／女／平成29年７～９月平均,2017,07～09,4,-37,6,12,93,34,4,2,-12,16,-7,-12,-8
対前年・対前年同期増減数／女／平成29年10～12月平均,2017,10～12,11,-16,0,7,-5,18,-9,34,-49,7,27,77,6
対前年・対前年同期増減数／女／平成30年１～３月平均,2018,01～03,24,-4,-4,5,65,20,0,14,20,16,2,17,12
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成30年１～３月平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
