,,,,,,,,,,,(単位：トン）
58,糸及び紡績半製品,2,30,51,3,15,-,48,60,75,24
59,その他繊維工業品,268,"2,312",385,55,740,15,"1,137",968,555,60
60,砂糖,-,-,-,-,-,-,136,-,-,-
61,製造食品,98,398,"8,450",220,508,14,"3,931",472,"1,647","3,503"
62,飲料,-,-,"1,316",68,99,-,51,4,362,866
63,水,-,-,-,-,-,-,60,55,-,-
64,たばこ,-,-,93,-,70,-,-,-,-,-
65,その他食料工業品,-,-,653,-,-,-,-,-,-,-
雑工業品,,"3,565","20,258","18,564","6,022","15,940","7,801","8,098","38,226","11,884","24,741"
66,がん具,-,333,67,17,7,-,167,106,85,99
67,衣服・身廻品・はきもの,27,811,772,586,597,19,"1,014","25,257",634,"1,066"
68,文房具・運動娯楽用品・楽器,"1,806","1,445","1,809",671,313,272,"1,822",409,"1,647","1,637"
69,家具装備品,38,180,"4,100","1,316","1,095",312,"1,744","2,733",650,"3,120"
70,その他日用品,"1,410",934,"1,442",1,"1,177",-,"1,745","3,965","2,361","6,575"
71,ゴム製品,234,385,"9,963","1,436",279,59,421,"4,718","1,195","12,042"
72,木製品,42,36,35,39,"4,543",15,62,469,32,7
73,その他製造工業品,8,"16,134",376,"1,956","7,929","7,124","1,123",569,"5,280",195
特殊品,,"3,795","44,672","10,919","86,382","20,854","3,084","33,717","10,864","27,113","1,465"
74,金属くず,165,"11,051",-,210,60,-,"1,176",15,129,72
75,再利用資材,589,"29,274",-,"83,648","13,786",90,"29,722",75,"15,964",-
76,動植物性製造飼肥料,-,-,-,15,"1,410",-,45,-,"4,373",77
77,廃棄物,-,-,-,-,-,-,-,-,-,-
78,廃土砂,-,-,-,-,-,-,-,-,-,-
79,輸送用容器,278,638,"5,812","1,052","3,887","2,666","1,853","9,468","5,728",511
80,取合せ品,"2,763","3,709","5,107","1,457","1,711",328,921,"1,306",919,805
分類不能のもの,,-,-,-,-,-,-,-,-,-,-
