,,,,,,,(単位：ＴＥＵ）
ミャンマー,229,229,-,9,-,220,-
ヤンゴン,229,229,-,9,-,220,-
インド,"9,116","7,425","1,691","5,939","1,676","1,486",15
カルカッタ,35,35,-,-,-,35,-
ビシャカパトナム,2,2,-,-,-,2,-
ツチコリン,18,18,-,-,-,18,-
コーチン,54,54,-,-,-,54,-
マルマガオ,2,2,-,-,-,2,-
ナブラキ,155,155,-,-,-,155,-
ムンドラ,144,144,-,-,-,144,-
ナヴァセバ,"6,467","6,077",390,"5,683",390,394,-
ピパバブ,"2,233",932,"1,301",256,"1,286",676,15
