番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
11,障害者施策推進部,東京都七生福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者の特性や年齢等に配慮の上、個別支援計画等を作成することで、利用者の状況に応じたサービスを提供している。・障害福祉関係の会議で得られた情報を、施設運営や事業計画に積極的に活用している。
12,障害者施策推進部,東京都千葉福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者満足度調査を実施して利用者の意向を把握することで、サービス向上に努めている。・高齢化の進む利用者が日中活動に参加しやすくなるよう、日中活動のプログラムに工夫をこらしている。
13,障害者施策推進部,東京都日野療護園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者本位の支援を実現できるよう、利用者の選択と自己決定の尊重に努めている。・利用者の運動機能回復に向けた機能訓練や、ボランティアの協力を得た豊富なメニューの日中活動を実施するなど、生活介護の充実に力を入れている。
14,障害者施策推進部,東京都清瀬喜望園,障害者支援施設,社会福祉法人東京アフターケア協会,平成24年4月～平成27年3月,Ａ,・医師・看護師等の医療スタッフを配置して、24時間医療・看護提供が可能な体制を整備しており、利用者の健康管理に万全を期している。・摂食・嚥下能力や病気等、利用者一人ひとりの状況に合わせた食事を提供している。
15,障害者施策推進部,東京都視覚障害者生活支援センター,指定障害福祉サービス事業所,社会福祉法人日本盲人社会福祉施設協議会,平成24年4月～平成27年3月,Ａ,・施設の利用率向上や利用者の就労移行に繋げることができるよう、関係団体への働きかけを積極的に行っている。・職員が利用者の自宅を訪問し、日常生活動作訓練を行う際、家族の方に対しても利用者への適切なサポートの助言や指導がなされている。
16,障害者施策推進部,東京都大泉障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成23年4月～平成26年3月,Ａ,・入所者の増加に繋げることができるよう、地域ニーズや社会福祉事業の動向について情報収集し、分析に努めている。・利用者集会を毎月開催し、利用者の要望を外出行事の企画や食事の献立に反映させている。
17,障害者施策推進部,東京都練馬障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成23年4月～平成26年3月,Ａ,・アンケート等により利用者意向を把握し、サービスを向上するために活用している。・高次脳機能障害者支援の充実に向け、利用者の行動特性等に対する情報や職員の対応経験をミーティングや研修等を通じて職員同士で共有し、支援能力向上に努めている。
18,障害者施策推進部,東京都江東通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成23年4月～平成26年3月,Ａ,・日誌や各種記録の書式を統一化し、情報の共有化と業務の効率化を図っている。・利用者アンケートや月2回の利用者自治会等を通じて利用者の要望を把握し、サービス向上に活用している。
19,障害者施策推進部,東京都大田通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成23年4月～平成26年3月,Ａ,・利用者がスムーズに地域生活へ移行することができるよう、移行先のグループホーム職員との信頼関係構築に努めている。・苦情解決体制がわかりやすくなるよう、サービスガイドに挿絵入りの説明を記載している。
20,障害者施策推進部,東京都豊島通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成23年4月～平成26年3月,Ａ,・臨床心理士によるカウンセリングの実施などにより、利用者の悩みや訴えに組織的に対応している。・関係機関への情報収集等に努めることで、多くの利用者が地域生活への移行を果たしている。
21,障害者施策推進部,東京都立川通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成23年4月～平成26年3月,Ａ,・利用者の地域移行に向け、積極的に関係機関と連携を図り、利用者の働く意欲を高める支援を実施している。・職員の異動に伴う支援の質の低下を防ぐ体制を構築し、利用者サービスを安定的に提供している。
22,障害者施策推進部,東京都葛飾通勤寮,指定障害福祉サービス事業所,社会福祉法人原町成年寮,平成23年4月～平成26年3月,Ａ,・多様な体験入寮の機会を設け、利用者が寮の目的を理解した上で入寮できるよう工夫している。・定期的な会議の開催や緊急時のフリーメールの活用により、効率的かつ迅速な情報の共有化を図っている。
23,障害者施策推進部,東京都町田通勤寮,指定障害福祉サービス事業所,社会福祉法人つるかわ学園,平成23年4月～平成26年3月,Ａ,・利用者と職員がともに目標を意識できる個別支援計画を作成し、利用者の社会的自立を促進している。・利用者が自立した生活を営むことができるよう、就労、生活教養及び防災等の講座を通じた情報提供に取り組んでいる。
24,障害者施策推進部,東京都八王子自立ホーム,指定障害福祉サービス事業所,社会福祉法人はばたき,平成24年4月～平成27年3月,Ａ,･利用者の意向を取り入れたサービスを提供することができるよう、利用者参加の会議や委員会開催等の取組を行っている。･利用者の生活において、利用者自身でできることは自分で行うことを基本としつつ、個人に寄り添い、利用者の自立した生活を妨げない支援を行っている。
25,障害者施策推進部,東京都立東大和療育センター（分園よつぎ療育園）,医療型障害児入所施設、療養介護事業所、医療型児童発達支援,社会福祉法人全国重症心身障害児（者）を守る会,平成23年4月～平成28年3月,Ａ,・通常の業務マニュアルに加え、利用者一人ひとりに対応した支援マニュアルを整備し、適切な療育を行っている。・サービスの質を向上するため、研修体系の整備や事例研究の促進など、職員の育成に努めている。
26,障害者施策推進部,東京都立東部療育センター,医療型障害児入所施設、療養介護事業所,社会福祉法人全国重症心身障害児（者）を守る会,平成17年12月～平成27年3月,Ａ,・利用者一人ひとりの状況に応じた食事を提供するとともに、食事を楽しめるように工夫するなど、利用者の状況に応じたサービスを提供している。・電子カルテに利用者ごとのリスク情報を入力し、職員間で情報を共有するなど、利用者の安全確保に努めている。
