番号,所管,施設名,施設種別,所在地,経度,緯度,座標系,指定管理者名,指定期間,"総合
評価",評価内容,,
11,障害者施策推進部,東京都八王子自立ホーム,障害者支援施設,八王子市千人町４－１４－１５,139.307256,35.654193,JGD2011,"社会福祉法人
はばたき","平成27年4月
～
平成29年3月",Ａ,"・平成28年度から、ケース担当のグループ単位での取組に力を入れており、グループごとに自己評価を行って現状分析と意見交換をしている。
・看護師が実施する医療研修の内容をマニュアル化することで業務の標準化とリスクマネジメントに取り組んでいる。
【要改善事項等】
・サービス提供の記録について支給決定者からの確認に不備があったが改善済みである。
・利用者に対する不適切な支援が発生したが、マニュアルの策定や研修の実施等により改善済みである。",,
12,障害者施策推進部,東京都清瀬喜望園,障害者支援施設,清瀬市竹丘３－１－７２,139.504321,35.764535,JGD2011,"社会福祉法人
東京アフターケア協会","平成27年4月
～
平成30年3月",Ａ,"・診療所を併設しており、人工呼吸器の使用や酸素吸入を必要とする利用者も入所しているが、各利用者の状況に応じて細やかな医療的ケア、健康管理及び生活支援を多職種連携の下で総合的に実施している。
・個別支援計画、検査結果及び服薬情報等は、データベースや共有フォルダによって職員全体で把握し、情報の共有化を図っている。",,
13,障害者施策推進部,東京都八王子福祉園,障害者支援施設,八王子市西寺方町７６,139.264126,35.673745,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・個別支援計画書のフォームを変更して「わたしが希望するくらし」「わたしの願い気持ち」とし、より利用者視点に立つことを明確化した。また、言葉がない利用者については、日常の観察から利用者の心の動きを捉える「心情図」を作成し、その内容を計画に盛り込むことで、利用者の思いに沿った支援の実現を図っている。
・ターミナルケアのガイドラインを作成し、そのルールを基準にターミナルケアを初めて行い、看取りまでを行った。",,
14,障害者施策推進部,東京都七生福祉園,"福祉型障害児入所施設
障害者支援施設",日野市程久保８４３,139.415645,35.650113,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ｂ,"・利用者全員に老化度チェックを実施して個別支援や安全確保に活かしているほか、周辺高齢者施設での職場体験・見学等を通して、高齢化対応のノウハウ獲得に努めている。
・地域移行に向けて、体験利用や移行先とのマッチング、保護者・関係機関との連絡調整を行うほか、移行後もアフターケアを実施し定着までの支援を行っている。
【要改善事項等】
・利用者の支援に関し重大な問題が発生した。職員の人権意識の醸成や支援技術の向上など、より一層の人材育成と、職員が働きやすく、よりよい利用者支援につながるような職場づくりに、引き続き取り組むこと。",,
15,障害者施策推進部,東京都千葉福祉園,"福祉型障害児入所施設
障害者支援施設",千葉県袖ヶ浦市代宿８,140.038872,35.445692,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・利用者アンケートを活用し、余暇活動の充実を図り、豊かな人間性の構築に取り組んでいる。
・高齢化・重度化に対応し、より適切な支援が行なえるよう、重度高齢者を対象とした寮を設置した。
【要改善事項等】
・利用者に対する不適切な支援が発生したが、研修や職員間の意見交換を行い、より良い支援の実施を推進した。
・個人情報の紛失が発生したが、マニュアルの改定等を行い、より適正な管理を推進した。
・利用者の誤嚥事故が発生した。より安全な体制の構築に向け、各寮で点検等の取組を実施した。",,
16,障害者施策推進部,東京都東村山福祉園,福祉型障害児入所施設,福祉型障害児入所施設,139.482663,35.737102,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・最重度の障害児施設であるが、地域移行コーディネーターが中心となって着実に移行支援を進めており、平成28年度も4名が地域移行した。
・入所１ヶ月以内に心理職が行動障害アセスメントを行う等、チームケアの一員として心理職を生かしている。
【要改善事項等】
・利用者に対する不適切な支援が発生したが、研修や風通しのよい職場づくりのための意見交換の取組を実施し、再発防止に努めた。
・書類の渡し間違いが発生した。個人情報を含む書類の管理体制を見直し、適正化の取組を実施した。",,
17,障害者施策推進部,東京都立東大和療育センター（分園よつぎ療育園）,医療型障害児入所施設、療養介護事業所,"東大和市桜が丘３－４４－１０
（分園よつぎ療育園）
葛飾区東四つ木４－４４－１－１０１",139.421344,35.732001,JGD2011,"社会福祉法人
全国重症心身障害児（者）を守る会","平成28年4月
～
平成38年3月",Ａ,"・在宅支援の強化を事業運営の方針として掲げており、臨時の通所受け入れを行うなど柔軟な対応に努めている。
・分園の幼児グループは母子通園を原則としており、利用者と保護者がコミュニケーションを図りながら療育を行っている。
【要改善事項等】
・医療法に基づく検査で医療安全管理指針の改正等の指摘があったが、改善措置を実施した。
・工事等における財産得喪内容に関する報告体制等に不備があったが、改善措置を実施した。
・利用者の家族への接遇について苦情があったが、謝罪と職員への注意喚起を行い再発防止に取り組んだ。",,
18,障害者施策推進部,東京都立東部療育センター,医療型障害児入所施設、療養介護事業所,江東区新砂３－３－２５,139.833178,35.663819,JGD2011,"社会福祉法人
全国重症心身障害児（者）を守る会","平成27年4月
～
平成32年3月",Ａ,"・医療的ケアが必要な超重症の利用者が多い中、多職種間で情報を共有し、多くの専門スタッフがチームとなって協力して利用者に応じた安全で優れた療育サービスの提供を努めている。
【要改善事項等】
・工事等における財産得喪内容に関する報告体制等に不備があったが、改善措置を実施した。
・利用者の家族から利用中の状況報告について改善の要望があった。要望を受けた際は、必要に応じてサービス向上委員会を開催し、結果を速やかに家族に報告する体制に改めた。",,
,,,,,,,,,,,,,
,,,,,,,,,,,　,,
,,,,,,,,,,,,,
,,,,,,,,,,,　,,
,,,,,,,,,,,　,,
