番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
12,障害者施策推進部,東京都練馬障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成26年4月～平成29年3月,Ａ,・利用者と職員との懇談会等を通じて把握した利用者の意向を、サービスの向上に繋げている。・ミーティングや研修等を通じて、高次脳機能障害を抱える利用者の行動特性に関する情報を職員間で共有し、利用者への対応力の向上を図っている。
13,障害者施策推進部,東京都八王子自立ホーム,障害者支援施設,社会福祉法人はばたき,平成24年4月～平成27年3月,Ａ,･利用者で構成される会議で利用者の意向を把握し、利用者支援の向上に繋げている。・職員と利用者が話し合った上で週間活動予定表を作るなど、利用者一人ひとりの状況に応じたきめ細かなサービスの提供に努めている。
14,障害者施策推進部,東京都七生福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・将来の地域移行を見据え、早い段階から自活寮の生活を体験させるなど、利用者の自立へのモチベーションの向上に向けた取組を行っている。・心理職員、看護師、理学療法士等、多職種間で密に情報共有を図りながら、利用者が安心・安全に生活できる支援体制の整備に努めている。
15,障害者施策推進部,東京都千葉福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者への満足度調査を実施し、把握した利用者の意向をサービスの向上に繋げている。・多数のボランティアの協力の下、行事や日中活動などを実施することで、利用者や施設への理解を深め、地域に開かれた園の運営を行っている。
16,障害者施策推進部,東京都東村山福祉園,福祉型障害児入所施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者への満足度調査や意見箱の設置により、利用者や家族の意向を日常的に把握し、サービスの向上に繋げている。・学校長や市及び社会福祉協議会の代表者等により構成される経営懇談会を通じ、地域の事業に関する状況の把握に努めている。
17,障害者施策推進部,東京都視覚障害者生活支援センター,指定障害福祉サービス事業所,社会福祉法人日本盲人社会福祉施設協議会,平成24年4月～平成27年3月,Ａ,・職員が利用者の自宅を訪問し日常生活動作訓練を行う際、家族に対し、自宅で過ごす利用者への適切なサポートに関する助言や指導を行っている。・視覚障害に対する理解を促進するため、地域の小・中学生を対象に、視覚障害に関する講演や用具体験の機会を設けている。
18,障害者施策推進部,東京都江東通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・利用者アンケートや自治会の開催を通じて、利用者の要望などを把握し、サービスの向上に繋げている。・利用者の地域移行に向け、学校や関係機関との連絡会や地域福祉のネットワークなどに積極的に参加し、地域との連携を深めている。
19,障害者施策推進部,東京都大田通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成27年3月,Ａ,・利用者の地域移行に向け、地域の各種行事への積極的な参加を促し、利用者の就労意欲を高めている。・技能や資格の取得を目指しパソコン教室等に通うことを希望する利用者に対し、入学手続きの補助や食事提供時間の調整などの支援を行っている。
20,障害者施策推進部,東京都葛飾通勤寮,指定障害福祉サービス事業所,社会福祉法人原町成年寮,平成26年4月～平成27年3月,Ａ,・利用者の地域移行に向け、関係機関からの情報収集等に努めている。・定例会や食事会などのOB会の活動により、卒寮生の余暇活動を充実させるとともに状況の把握を行うことで、退寮後のアフターケアの強化に努めている。
21,障害者施策推進部,東京都豊島通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・臨床心理士から、精神的に不安定な利用者に接する際の注意点等についてアドバイスを受け、利用者への支援に活用している。・関係機関からの情報収集等に努めることで、多くの利用者が地域生活への移行を果たしている。
22,障害者施策推進部,東京都立川通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・登山などの行事への参加を通じてチャレンジ精神を養うとともに、利用者の地域移行に向け、日頃から利用者が主体的に行動する機会を設けている。・地域の就労支援センターとの連絡会等に参加し、就労問題の検討及び情報交換を行っている。
23,障害者施策推進部,東京都町田通勤寮,指定障害福祉サービス事業所,社会福祉法人つるかわ学園,平成26年4月～平成28年3月,Ａ,・利用者の地域での生活や就労を充実させるため、学校や地元企業などで出張セミナーを開催している。・利用者の地域移行に向け、就労や生活教養等の講座を通じ、情報提供に取り組んでいる。
24,障害者施策推進部,東京都立東大和療育センター（分園よつぎ療育園）,医療型障害児入所施設、療養介護事業所,社会福祉法人全国重症心身障害児（者）を守る会,平成23年4月～平成28年3月,Ａ,・多職種で構成される「摂食嚥下リハビリチーム」を設け、個別の摂食マニュアルを作成するなど、口腔機能に適合した支援を行っている。・地域のレストランを貸し切り、利用者の状態にあったコース料理を提供する等、地域と連携して重症心身障害児（者）の生活の質を向上させる取組を行っている。
25,障害者施策推進部,東京都立東部療育センター,医療型障害児入所施設、療養介護事業所,社会福祉法人全国重症心身障害児（者）を守る会,平成17年12月～平成27年3月,Ａ,・感染症予防のため、専門チームによる巡回・点検活動、医療安全管理、「感染情報」による注意喚起、全職員を対象とした研修に積極的に取組み、成果を挙げている。・医療的に極めて重い利用者（児）を率先して受入れ、多職種が連携を図りながら、利用者一人ひとりの状況に応じたサービスの提供に努めている。
