"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","０日[人]","１～３日分[人]","４～６日分[人]","７日分以上[人]","無回答[人]"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","無回答","14","1","3","0","0","10"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","自営業主・家族従業","86","13","44","18","10","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","会社員・団体職員・公務員","244","41","146","36","20","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","アルバイト・パートタイマー","35","6","20","7","2","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","家事専業","55","8","34","5","8","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","学生","13","1","6","3","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","無職","81","8","46","19","6","2"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","その他","31","3","19","6","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","職業別","無回答","14","1","3","0","0","10"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","芝地区","86","11","52","14","9","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","麻布地区","87","15","50","16","5","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","赤坂地区","81","9","51","10","11","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","高輪地区","147","29","75","25","17","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","芝浦港南地区","139","16","85","26","10","2"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","居住地区別","無回答","19","1","5","3","0","10"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","持家（一戸建）","64","9","32","14","8","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","持家（マンション）","268","29","168","44","26","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","借家（一戸建）","9","1","6","2","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","民間の賃貸マンション・アパート","151","33","78","24","15","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","都営住宅・区営住宅・区立住宅","26","3","15","5","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","2","6","3","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","社宅・公務員宿舎","10","3","5","2","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","4","0","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","その他","5","1","3","0","0","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","住居形態別","無回答","11","0","1","0","0","10"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","ずっと住み続けていたい","279","34","159","49","30","7"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","当分は住んでいたい","204","31","114","35","19","5"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","11","29","3","1","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","4","1","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","近いうちに区外に転居する予定である","13","4","6","3","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","わからない","10","1","4","3","2","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","定住意向別","無回答","3","0","2","0","0","1"

"第33回港区民世論調査クロス集計表・防災用品等の備蓄Q25","Ver202203",,,,,,,,,
