委託期間,Ｎｏ．,委託警察署,受託法人,所在地,緯度,経度,座標系,連絡先
令和6年４月１日から令和９年３月３１日まで,21,小松川・小岩,株式会社ＧＦＭ,渋谷区道玄坂１丁目２２番１０号,35.6563,139.695677,JGD2011,03-5428-6371
令和４年４月１日から令和７年３月３１日まで,1,亀有・葛飾,株式会社セノン,千代田区一ツ橋２丁目６番３号,35.694516,139.756289,JGD2011,03-3288-7122
令和４年４月１日から令和７年３月３１日まで,2,西新井・竹の塚,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和４年４月１日から令和７年３月３１日まで,3,千住・綾瀬,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和４年４月１日から令和７年３月３１日まで,4,南千住・荒川,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和４年４月１日から令和７年３月３１日まで,5,尾久・滝野川,株式会社ＧＦＭ,渋谷区道玄坂１丁目２２番１０号,35.6563,139.695677,JGD2011,03-5428-6371
令和４年４月１日から令和７年３月３１日まで,6,王子・赤羽,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和４年４月１日から令和７年３月３１日まで,7,志村・高島平,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和４年４月１日から令和７年３月３１日まで,8,板橋・練馬,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和４年４月１日から令和７年３月３１日まで,9,光が丘・石神井,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和４年４月１日から令和７年３月３１日まで,10,大森・池上,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和４年４月１日から令和７年３月３１日まで,11,蒲田・東京空港,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和４年４月１日から令和７年３月３１日まで,12,田園調布・玉川,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和４年４月１日から令和７年３月３１日まで,13,目黒・碑文谷,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和４年４月１日から令和７年３月３１日まで,14,世田谷・北沢,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和４年４月１日から令和７年３月３１日まで,15,成城・高井戸,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和４年４月１日から令和７年３月３１日まで,16,中野・野方,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和４年４月１日から令和７年３月３１日まで,17,杉並・荻窪,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和５年４月１日から令和８年３月３１日まで,1,調布・多摩中央,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和５年４月１日から令和８年３月３１日まで,2,府中・小金井・日野,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和５年４月１日から令和８年３月３１日まで,3,武蔵野・三鷹,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和５年４月１日から令和８年３月３１日まで,4,町田・南大沢・高尾,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和５年４月１日から令和８年３月３１日まで,5,八王子・昭島,株式会社ＧＦＭ,渋谷区道玄坂１丁目２２番１０号,35.6563,139.695677,JGD2011,03-5428-6371
令和５年４月１日から令和８年３月３１日まで,6,立川・小平,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和５年４月１日から令和８年３月３１日まで,7,田無・東村山,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和５年４月１日から令和８年３月３１日まで,8,福生・青梅・五日市・東大和,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
