"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","意味を知っていた[人]","聞いたことはあるが意味は知らなかった[人]","聞いたことがなかった[人]","無回答[人]"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","学生","13","10","3","0","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","無職","81","27","29","22","3"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","その他","31","15","8","8","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","無回答","14","2","1","2","9"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","芝地区","86","33","30","22","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","麻布地区","87","40","24","22","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","赤坂地区","81","35","24","21","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","高輪地区","146","65","34","44","3"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","芝浦港南地区","139","58","32","47","2"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","居住地区別","無回答","19","4","1","6","8"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","持家（一戸建）","64","21","23","17","3"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","持家（マンション）","267","107","79","77","4"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","借家（一戸建）","9","3","2","4","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","民間の賃貸マンション・アパート","151","78","30","43","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","都営住宅・区営住宅・区立住宅","26","8","7","10","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","4","2","5","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","社宅・公務員宿舎","10","5","2","3","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","寮・寄宿舎・住み込み・間借り","4","4","0","0","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","その他","5","3","0","2","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","住居形態別","無回答","11","2","0","1","8"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","ずっと住み続けていたい","279","112","70","90","7"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","当分は住んでいたい","203","83","63","53","4"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","23","9","11","2"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","3","1","1","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","近いうちに区外に転居する予定である","13","8","0","5","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","わからない","10","6","1","2","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","定住意向別","無回答","3","0","1","0","2"

"第33回港区民世論調査クロス集計表・生物多様性Q17","Ver202203",,,,,,,,
