"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"あんか","あんか","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"安全ピン","あんぜんぴん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アンテナ（BSアンテナなど）","あんてな（びーえすあんてななど）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アンプ
※オーディオ機器","あんぷ
※おーでぃおきき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"石","いし","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"衣装ケース（プラスチック製）","いしょうけーす（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"衣装ケース（木製）","いしょうけーす（もくせい）","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"いす（金属製）","いす（きんぞくせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"いす（プラスチック製）","いす（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"いす（木製）","いす（もくせい）","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"板（ガラス製）","いた（がらすせい）","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。一辺が30cmを超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"板（金属製）","いた（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"板（木製・プラスチック製）","いた（もくせい・ぷらすちっくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"一面鏡・姿見","いちめんきょう・すがたみ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"一輪車
※子供用遊具","いちりんしゃ
※こどもようゆうぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"一升びん","いっしょうびん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"一斗缶","いっとかん","陶器・ガラス・金属ごみ","中身が入っている場合は収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"犬小屋
※ペット小屋","いぬごや
※ぺっとこや","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鋳物（食器類）","いもの（しょっきるい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"イヤホン","いやほん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"医療廃棄物（業務用）","いりょうようはいきぶつ（ぎょうむよう）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"医療廃棄物（在宅用）","いりょうようはいきぶつ（ざいたくよう）","燃やすごみ","注射針は区では収集できません。受診した病院または購入した薬局に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"衣類","いるい","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"衣類乾燥機","いるいかんそうき","家電リサイクル法対象品目","区では収集できません。家電リサイクル受付センターに回収を依頼してください。連絡先等詳しくは、区ホームページでご確認ください。
https://www.city.tokyo-nakano.lg.jp/dept/473000/d006207.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"衣類（汚れたもの）","いるい（よごれたもの）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"入れ歯","いれば","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"色鉛筆","いろえんぴつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"引火物各種","いんかぶつかくしゅ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"印鑑（石・金属製）","いんかん（いし・きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"印鑑（角・牙・木製）","いんかん（つの・きば・もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"印鑑（プラスチック製）","いんかん（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"インク","いんく","燃やすごみ","紙や布にしみこませて出してください。多量の場合は販売店または専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"インクカートリッジ（プリンター用）","いんくかーとりっじ（ぷりんたーよう）","インクカートリッジ（拠点回収）","インクカートリッジ（プリンター用）は社会福祉協議会が集めています。区役所、リサイクル展示室、区民活動センターに設置してある「インクカートリッジ回収箱」へ入れてください。
回収箱に出せない場合は、燃やすごみにお出しください。
詳しくは区のホームページをご覧ください。
https://www.city.tokyo-nakano.lg.jp/dept/473000/d013474.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"インクリボン","いんくりぼん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ウインドファン","うぃんどふぁん","粗大ごみ","200㎝未満のものに限ります。200㎝を超える場合は販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"植木","うえき","燃やすごみ","50cm以下に切って出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"植木鉢（素焼き、陶器製・金属製）","うえきばち（すやき・とうきせい・きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"植木鉢（プラスチック製）","うえきばち（ぷらすちっくせい）","資源プラスチック","汚れを落としてからお出しください。
プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ウォシュレット（簡易便座）","うぉしゅれっと（かんいべんざ）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ウォーキングマシン
※健康器具","うぉーきんぐましん
※けんこうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"浮き輪","うきわ","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"うちわ","うちわ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ウッドカーペット
※敷物","うっどかーぺっと
※しきもの","粗大ごみ","200㎝以下に切って出してください。200cmを超える場合は専門業者に相談して下さい。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"腕時計","うでどけい","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"乳母車（ベビーカー）
※乳児用具","うばぐるま（べびーかー）
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"梅酒（果実酒）を漬けるびん","うめしゅ（かじつしゅ）をつけるびん","陶器・ガラス・金属ごみ","ふたは、プラスチック製なら燃やすごみ、金属製なら陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"羽毛ふとん
※布団","うもうふとん
※ふとん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ウレタン製品","うれたんせいひん","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"運動靴","うんどうぐつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"エアコン","えあこん","家電リサイクル法対象品目","区では収集できません。家電リサイクル受付センターに回収を依頼してください。連絡先等詳しくは、区ホームページでご確認ください。
https://www.city.tokyo-nakano.lg.jp/dept/473000/d006207.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"エアロバイク
※健康器具","えあろばいく
※けんこうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"映写機（プロジェクター）","えいしゃき（ぷろじぇくたー）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"栄養ドリンクのびん","えいようどりんくのびん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＳＤカード","えすでぃーかーど","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"枝切りはさみ","えだきりばさみ","陶器・ガラス・金属ごみ","危険のないよう先端を紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。一辺が30cmを超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"枝（木）","えだ（き）","燃やすごみ","50cm以下に切って出してください。
一度に45リットルのごみ袋で5袋以上出す場合は有料（臨時ごみ）になります。清掃事務所（電話番号03-3387-5353）にご相談ください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"絵の具チューブ（金属製）","えのぐちゅーぶ（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"絵の具チューブ（プラスチック製）","えのぐちゅーぶ（ぷらすちっくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"絵本","えほん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＭＤケース","えむでぃけーす","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＭＤプレーヤー
※オーディオ機器","えむでぃぷれーやー
※おーでぃおきき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＭＤプレーヤー（ポータブル）","えむでぃぷれーやー（ぽーたぶる）","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＭＤラジカセ","えむでぃらじかせ","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＭＤ（ミニディスク）","えむでぃ（みにでぃすく）","燃やすごみ","ケースは資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"エレクトーン","えれくとーん","粗大ごみ","鍵盤2段式の場合は、販売店または専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"園芸用支柱（金属製）","えんげいようしちゅう（きんぞくせい）","陶器・ガラス・金属ごみ","一辺の長さが30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"園芸用支柱（プラスチック・木製）","えんげいようしちゅう（ぷらすちっく・もくせい）","燃やすごみ","一辺の長さが30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"エンジンオイル","えんじんおいる","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"延長コード","えんちょうこーど","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉛筆","えんぴつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉛筆削り器（手動・電動・携帯用）","えんぴつけずりき（しゅどう・でんどうよう・けいたいよう）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ACアダプター","えーしーあだぷたー","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オイル缶","おいるかん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オイルヒーター
※暖房器具","おいるひーたー
※だんぼうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オイル（食用の植物油）","おいる（しょくようのしょくぶつあぶら）","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お菓子の缶","おかしのかん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お菓子の箱（紙製）","おかしのはこ（かみせい）","古紙（集団回収）","汚れている場合、汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お菓子の袋（プラスチック製）","おかしのふくろ（ぷらすちっくせい）","資源プラスチック","汚れている場合、汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"置時計","おきどけい","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"置物（金属・陶器製）","おきもの（きんぞく・とうきせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"置物（プラスチック製）","おきもの（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"置物（木製）","おきもの（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おけ・たらい（金属製）","おけ・たらい（きんぞくせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おけ・たらい（プラスチック製）","おけ・たらい（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下で、
プラスチックのみでできた物は資源プラスチックへ、
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おけ・たらい（木製）","おけ・たらい（もくせい）","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おたま（金属・陶器製）","おたま（きんぞく・とうきせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おたま（プラスチック製）","おたま（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おたま（木製）","おたま（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"落ち葉","おちば","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お風呂マット","おふろまっと","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お盆（金属製）","おぼん（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お盆（プラスチック製）","おぼん（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"お盆（木製）","おぼん（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おまる
※トイレ","おまる
※といれ","粗大ごみ","汚物は取り除いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おむつ（紙製・布製）","おむつ（かみせい・ぬのせい）","燃やすごみ","汚物は取り除いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おもちゃ（金属製）","おもちゃ（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おもちゃ（プラスチック製）","おもちゃ（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
電動式の物は、電池を取り外して陶器・ガラス・金属ごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"おもちゃ（木製）","おもちゃ（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"折りたたみ椅子
※椅子","おりたたみいす
※いす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"折りたたみ傘","おりたたみかさ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"折りたたみ自転車","おりたたみじてんしゃ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オリーブオイル","おりーぶおいる","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オルガン","おるがん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オルゴール","おるごーる","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"温水洗浄便座","おんすいせんじょうべんざ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"温度計","おんどけい","陶器・ガラス・金属ごみ","水銀を含む場合は、他のごみとは別の袋に入れ、中身が何かを表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＯＡ用紙（コピー用紙）","おーえーようし（こぴーようし）","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オーディオラック","おーでぃおらっく","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オートバイ","おーとばい","区では収集しないもの","指定引取所や廃棄二輪車取扱店にお持ち込みください。
最寄りの指定引取所や廃棄二輪車取扱店の所在地など、詳しくは二輪車リサイクルコールセンター（電話番号050-3000-0727）に直接お問い合わせいただくか、下記ホームページをご覧ください。
・二輪車リサイクルコールセンター（外部サイト）
https://www.jarc.or.jp/motorcycle/","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オーブントースター","おーぶんとーすたー","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"オーブンレンジ
※電子レンジ","おーぶんれんじ
※でんしれんじ","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"絵画","かいが","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"貝殻","かいがら","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"懐中電灯","かいちゅうでんとう","陶器・ガラス・金属ごみ","電池は抜いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カイロ（充電式）","かいろ（じゅうでんしき）","陶器・ガラス・金属ごみ","電池は抜いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カイロ（使い捨て）","かいろ（つかいすて）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鏡","かがみ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鍵","かぎ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
