区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,168,183,-15,-8.2,76,92,-16,-17.4,92,91,1,1.1
〔就業者の主な産業別内訳〕／建設業,394,448,-54,-12.1,344,380,-36,-9.5,50,68,-18,-26.5
〔就業者の主な産業別内訳〕／製造業,753,762,-9,-1.2,514,551,-37,-6.7,239,211,28,13.3
〔就業者の主な産業別内訳〕／情報通信業,582,528,54,10.2,436,394,42,10.7,146,134,12,9
〔就業者の主な産業別内訳〕／運輸業，郵便業,402,380,22,5.8,343,329,14,4.3,58,51,7,13.7
〔就業者の主な産業別内訳〕／卸売業，小売業,1074,1150,-76,-6.6,588,618,-30,-4.9,487,532,-45,-8.5
〔就業者の主な産業別内訳〕／金融業，保険業,296,276,20,7.2,157,146,11,7.5,139,129,10,7.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,201,209,-8,-3.8,118,132,-14,-10.6,84,76,8,10.5
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,362,352,10,2.8,236,226,10,4.4,125,127,-2,-1.6
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,485,512,-27,-5.3,234,246,-12,-4.9,251,267,-16,-6
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,277,294,-17,-5.8,123,134,-11,-8.2,154,160,-6,-3.8
〔就業者の主な産業別内訳〕／教育，学習支援業,322,310,12,3.9,145,123,22,17.9,178,188,-10,-5.3
〔就業者の主な産業別内訳〕／医療，福祉,607,594,13,2.2,176,169,7,4.1,431,426,5,1.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,568,586,-18,-3.1,297,307,-10,-3.3,271,279,-8,-2.9
〔雇用者の主な産業別内訳〕／建設業,324,378,-54,-14.3,279,317,-38,-12,45,61,-16,-26.2
〔雇用者の主な産業別内訳〕／製造業,719,735,-16,-2.2,496,536,-40,-7.5,223,198,25,12.6
〔雇用者の主な産業別内訳〕／情報通信業,566,506,60,11.9,425,379,46,12.1,140,127,13,10.2
〔雇用者の主な産業別内訳〕／運輸業，郵便業,374,350,24,6.9,319,302,17,5.6,56,49,7,14.3
〔雇用者の主な産業別内訳〕／卸売業，小売業,976,1021,-45,-4.4,522,543,-21,-3.9,454,478,-24,-5
〔雇用者の主な産業別内訳〕／金融業，保険業,290,271,19,7,154,142,12,8.5,136,129,7,5.4
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,166,189,-23,-12.2,104,123,-19,-15.4,63,66,-3,-4.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,264,265,-1,-0.4,172,168,4,2.4,92,97,-5,-5.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,402,415,-13,-3.1,196,202,-6,-3,205,212,-7,-3.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,213,216,-3,-1.4,91,96,-5,-5.2,123,120,3,2.5
〔雇用者の主な産業別内訳〕／教育，学習支援業,278,272,6,2.2,130,117,13,11.1,149,156,-7,-4.5
〔雇用者の主な産業別内訳〕／医療，福祉,566,552,14,2.5,151,140,11,7.9,415,412,3,0.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,539,546,-7,-1.3,277,279,-2,-0.7,262,267,-5,-1.9
〔非農林業雇用者の従業者規模別内訳〕／総数,5946,6032,-86,-1.4,3507,3566,-59,-1.7,2439,2466,-27,-1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1577,1735,-158,-9.1,897,992,-95,-9.6,680,743,-63,-8.5
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1942,1872,70,3.7,1123,1088,35,3.2,819,784,35,4.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2043,1965,78,4,1275,1242,33,2.7,768,723,45,6.2
〔完全失業率（年齢階級別）(%)〕／総数,5.7,5.2,0.5,,5.4,4.8,0.6,,6.2,5.7,0.5,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8,8,0,,7.4,8.4,-1,,8.6,7.7,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,7.1,7.9,-0.8,,7.2,7.3,-0.1,,7.1,8.6,-1.5,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.3,4.3,0,,3.5,3.2,0.3,,5.6,5.9,-0.3,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,5.7,3.7,2,,4.3,3.7,0.6,,7.7,3.8,3.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,5.9,3.5,2.4,,7.1,3.6,3.5,,4.1,3.4,0.7,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,4.2,4.1,0.1,,5.1,5.5,-0.4,,2.8,1.8,1,
〔労働力人口比率(%)〕／総数,62,62.7,-0.7,,73.9,74.7,-0.8,,50.3,51,-0.7,
,,,,,,,,,,,,
東京の労働力統計データ（平成22年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成22年７～９月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
