区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,457,479,-22,-4.6,207,221,-14,-6.3,250,258,-8,-3.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,229,239,-10,-4.2,94,99,-5,-5.1,135,140,-5,-3.6
〔就業者の主な産業別内訳〕／教育，学習支援業,326,282,44,15.6,146,122,24,19.7,180,160,20,12.5
〔就業者の主な産業別内訳〕／医療，福祉,577,508,69,13.6,181,153,28,18.3,396,355,41,11.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,569,586,-17,-2.9,302,305,-3,-1,267,281,-14,-5
〔雇用者の主な産業別内訳〕／建設業,392,410,-18,-4.4,339,342,-3,-0.9,53,67,-14,-20.9
〔雇用者の主な産業別内訳〕／製造業,708,851,-143,-16.8,530,629,-99,-15.7,178,223,-45,-20.2
〔雇用者の主な産業別内訳〕／情報通信業,566,577,-11,-1.9,411,416,-5,-1.2,155,161,-6,-3.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,368,324,44,13.6,265,260,5,1.9,103,64,39,60.9
〔雇用者の主な産業別内訳〕／卸売業，小売業,1072,1082,-10,-0.9,572,593,-21,-3.5,500,488,12,2.5
〔雇用者の主な産業別内訳〕／金融業，保険業,236,257,-21,-8.2,111,132,-21,-15.9,126,124,2,1.6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,173,186,-13,-7,101,118,-17,-14.4,72,68,4,5.9
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,301,265,36,13.6,179,163,16,9.8,122,103,19,18.4
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,381,383,-2,-0.5,166,171,-5,-2.9,215,213,2,0.9
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,185,205,-20,-9.8,75,80,-5,-6.3,110,126,-16,-12.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,287,257,30,11.7,137,119,18,15.1,151,138,13,9.4
〔雇用者の主な産業別内訳〕／医療，福祉,518,461,57,12.4,147,123,24,19.5,371,338,33,9.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,521,551,-30,-5.4,270,281,-11,-3.9,251,270,-19,-7
〔非農林業雇用者の従業者規模別内訳〕／総数,6032,6052,-20,-0.3,3525,3595,-70,-1.9,2506,2457,49,2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1744,1789,-45,-2.5,1018,1041,-23,-2.2,725,748,-23,-3.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1838,1804,34,1.9,1031,1040,-9,-0.9,807,764,43,5.6
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1952,2045,-93,-4.5,1183,1287,-104,-8.1,769,758,11,1.5
〔完全失業率（年齢階級別）(%)〕／総数,5,3.9,1.1,,5.3,3.5,1.8,,4.4,4.6,-0.2,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8.8,4.8,4,,12.8,3.7,9.1,,5.5,6.1,-0.6,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.5,5,1.5,,6.2,4.4,1.8,,7,5.7,1.3,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.6,3.8,0.8,,4.5,3.6,0.9,,4.7,4.1,0.6,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.9,3.2,-0.3,,3.2,2.4,0.8,,2.4,4.4,-2,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,5,3.8,1.2,,5.9,3.6,2.3,,3.6,4.1,-0.5,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,3,2.4,0.6,,4.2,2.5,1.7,,0.8,2.3,-1.5,
〔労働力人口比率(%)〕／総数,62.5,62.1,0.4,,74.5,74.4,0.1,,50.6,50,0.6,
,,,,,,,,,,,,
東京の労働力統計データ（平成22年１～３月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成22年１～３月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
