区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
〔就業者の主な産業別内訳〕／金融業，保険業,244,251,-7,-2.8,111,140,-29,-20.7,134,111,23,20.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,201,184,17,9.2,135,106,29,27.4,66,78,-12,-15.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,420,413,7,1.7,266,257,9,3.5,153,156,-3,-1.9
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,492,470,22,4.7,233,225,8,3.6,259,245,14,5.7
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,269,279,-10,-3.6,131,131,0,0,137,147,-10,-6.8
〔就業者の主な産業別内訳〕／教育，学習支援業,342,352,-10,-2.8,165,173,-8,-4.6,177,179,-2,-1.1
〔就業者の主な産業別内訳〕／医療，福祉,572,562,10,1.8,156,157,-1,-0.6,416,406,10,2.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,615,606,9,1.5,321,308,13,4.2,294,298,-4,-1.3
〔雇用者の主な産業別内訳〕／建設業,346,398,-52,-13.1,300,346,-46,-13.3,46,53,-7,-13.2
〔雇用者の主な産業別内訳〕／製造業,711,715,-4,-0.6,509,541,-32,-5.9,202,174,28,16.1
〔雇用者の主な産業別内訳〕／情報通信業,595,565,30,5.3,443,422,21,5,153,143,10,7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,366,374,-8,-2.1,257,248,9,3.6,109,126,-17,-13.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1028,1021,7,0.7,533,524,9,1.7,495,497,-2,-0.4
〔雇用者の主な産業別内訳〕／金融業，保険業,239,244,-5,-2,109,137,-28,-20.4,130,107,23,21.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,173,148,25,16.9,119,86,33,38.4,54,62,-8,-12.9
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,297,297,0,0,191,184,7,3.8,107,113,-6,-5.3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,405,383,22,5.7,188,179,9,5,217,204,13,6.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,210,208,2,1,100,97,3,3.1,109,111,-2,-1.8
〔雇用者の主な産業別内訳〕／教育，学習支援業,305,304,1,0.3,156,158,-2,-1.3,149,145,4,2.8
〔雇用者の主な産業別内訳〕／医療，福祉,519,510,9,1.8,124,125,-1,-0.8,395,386,9,2.3
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,577,561,16,2.9,297,281,16,5.7,280,280,0,0
〔非農林業雇用者の従業者規模別内訳〕／総数,6019,5976,43,0.7,3492,3493,-1,0,2526,2482,44,1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1695,1769,-74,-4.2,985,1036,-51,-4.9,710,733,-23,-3.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2030,1972,58,2.9,1139,1087,52,4.8,891,886,5,0.6
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1894,1827,67,3.7,1147,1143,4,0.3,748,684,64,9.4
〔完全失業率（年齢階級別）(%)〕／総数,4.8,4.8,0,,5,4.8,0.2,,4.6,4.9,-0.3,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.7,6.5,0.2,,8.4,7.9,0.5,,5,5.3,-0.3,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.4,6.3,0.1,,7.6,5.8,1.8,,4.7,7,-2.3,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,5.1,4.8,0.3,,4.7,4.1,0.6,,5.6,6,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.4,3.4,0,,3.1,3.7,-0.6,,4,3.3,0.7,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.9,4.5,0.4,,4.7,4.8,-0.1,,5.1,4,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.1,3,-0.9,,2.8,4,-1.2,,0.8,1,-0.2,
〔労働力人口比率(%)〕／総数,62.6,62.3,0.3,,73.9,73.8,0.1,,51.5,51,0.5,
,,,,,,,,,,,,
東京の労働力統計データ（平成22年10～12月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成22年10～12月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
