東京都災害拠点連携病院一覧,,,,
,,,,令和６年２月２８日現在
,医療法人社団 田島厚生会 神谷病院,北区神谷1-27-14,03-3914-5536,90
,王子生協病院,北区豊島3-4-15,03-3912-2201,159
,医療法人社団 博栄会 赤羽中央総合病院,北区志茂1-19-14,03-3902-0348,154
,医療法人社団 博栄会 浮間中央病院,北区赤羽北2-21-19,03-3907-8711,95
,赤羽東口病院,北区赤羽1-38-5,03-3902-2131,48
,医療法人財団明理会　明理会中央総合病院,北区東十条３－２－１１,03-5902-1050,312
,公益財団法人 愛世会 愛誠病院,板橋区加賀1-3-1,03-3961-5351,0
,医療法人財団 朔望会 常盤台外科病院,板橋区常盤台2-25-20,03-3960-9621,99
,医療法人社団 和好会 金子病院,板橋区南常盤台1-15-14,03-3956-0145,38
,医療法人社団 正風会 小林病院,板橋区成増3-10-8,03-3930-7077,71
,医療法人社団 明芳会 高島平中央総合病院,板橋区高島平1-73-1,03-3936-5711,234
,医療法人財団 健康文化会 小豆沢病院,板橋区小豆沢1-6-8,03-3966-8411,94
,医療法人社団 明芳会 板橋中央総合病院,板橋区小豆沢2-12-7,03-3967-1258,569
,板橋区医師会病院,板橋区高島平3-12-6,03-3975-8151,192
,医療法人社団慈誠会　東武練馬中央病院,板橋区徳丸３－１９－１,03-3934-1611,37
,練馬総合病院,練馬区旭丘1-24-1,03-5988-2200,224
,浩生会スズキ病院,練馬区栄町7-1,03-3557-2001,99
,大泉生協病院,練馬区東大泉6-3-3,03-5387-3111,94
,医療法人社団 千秋会 田中脳神経外科病院,練馬区関町南3-9-23,03-3920-6263,58
,医療法人社団 生全会 池袋病院,豊島区東池袋3-5-4,03-3987-2431,40
,花と森の東京病院,北区西ヶ原2-3-6,03-3910-1151,199
区東北部,社会医療法人社団一成会　木村病院,荒川区南千住1-1-1,03-5615-2111,88
,社会医療法人社団正志会　令和あらかわ病院,荒川区東尾久5-45-1,03-6807-7500,240
,医療法人社団 藤寿会 佐藤病院,荒川区西尾久5-7-1,03-3893-6525,60
,医療法人社団 杏精会 岡田病院,荒川区荒川5-3-1,03-3891-2231,57
,医療法人社団正志会　荒木記念東京リバーサイド病院,荒川区南千住8-4-4,03-5850-0311,109
,社会医療法人社団　慈生会　等潤病院,足立区一ッ家4-3-4,03-3850-8711,108
,医療法人社団 苑田会 苑田第三病院,足立区伊興本町2-5-10,03-5837-5113,117
,医療法人社団 医善会 いずみ記念病院,足立区本木1-3-7,03-5888-2111,54
,愛里病院,足立区千住東1-20-12,03-3888-7721,140
区東北部,綾瀬循環器病院,足立区谷中2-16-7,03-3605-2811,76
,医療法人社団 大坪会 東和病院,足立区東和4-7-10,03-3629-8111,192
,医療法人財団 健和会 柳原病院,足立区千住曙町35-1,03-3882-1928,90
,医療法人財団 慈光会 堀切中央病院,葛飾区堀切7-4-4,03-3602-3135,59
,医療法人社団 五十鈴会 坂本病院,葛飾区西新小岩4-39-20,03-3691-2500,37
,医療法人社団 明芳会 イムス葛飾ハートセンター,葛飾区堀切3-30-1,03-3694-8118,50
,医療法人財団 謙仁会 亀有病院,葛飾区亀有3-36-3,03-3601-0186,60
,医療法人社団 玲瓏会 金町中央病院,葛飾区金町1-9-1,03-3607-3201,99
,社会医療法人社団　光仁会　第一病院,葛飾区東金町4-2-10,03-3607-0007,101
,医療法人社団 嬉泉会 嬉泉病院,葛飾区東金町1-35-8,03-3600-9001,26
,かつしか江戸川病院,葛飾区高砂3-27-13,03-5668-0365,60
,イムス東京葛飾総合病院,葛飾区西新小岩4-18-1,03-5670-9901,236
区東部,医療法人社団 隆靖会 墨田中央病院,墨田区京島3-67-1,03-3617-1414,97
,東京都済生会向島病院,墨田区八広1-5-10,03-3610-3651,102
,医療法人社団 仁寿会 中村病院,墨田区八広2-1-1,03-3612-7131,99
,社会福祉法人 賛育会 賛育会病院,墨田区太平3-20-2,03-3622-9191,199
,同愛記念病院,墨田区横網2-1-11,03-3625-6381,373
,医療法人財団 正明会 山田記念病院,墨田区石原2-20-1,03-3624-1151,98
,独立行政法人地域医療機能推進機構　東京城東病院,江東区亀戸9-13-1,03-3685-1431,117
,社会福祉法人 あそか会 あそか病院,江東区住吉1-18-1,03-3632-0290,216
,医療法人社団 修世会 木場病院,江東区木場5-8-7,03-3642-0032,45
,医療法人社団 青藍会 鈴木病院,江東区塩浜2-7-3,03-5617-5617,48
,医療法人社団 藤?病院,江東区南砂1-25-11,03-3648-2111,119
,医療法人社団　高裕会　深川立川病院,江東区扇橋2-2-3,03-3645-2101,82
,松江病院,江戸川区松江2-6-15,03-3652-3121,113
,医療法人社団 昌医会 葛西昌医会病院,江戸川区東葛西6-30-3,03-5696-1872,144
,医療法人財団 岩井医療財団 岩井整形外科病院,江戸川区南小岩8-17-2,03-3658-2115,58
,医療法人社団 城東桐和会　東京さくら病院,江戸川区東篠崎1-11-1,03-5664-1701,78
,江戸川メディケア病院,江戸川区東松本2-14-12,03-3657-1181,130
西多摩,医療法人社団 仁成会 高木病院,青梅市今寺5-18-19,0428-31-5255,180
,医療法人社団 大聖病院,福生市福生871,042-551-1311,116
,医療法人社団 悦伝会 目白第二病院,福生市福生1980,042-553-3511,160
南多摩,医療法人社団永生会 南多摩病院,八王子市散田町3-10-1,042-663-0111,170
,財団法人 仁和会総合病院,八王子市明神町4-8-1,042-644-3711,86
,医療法人財団 興和会 右田病院,八王子市暁町1-48-18,042-623-9651,118
,医療法人社団 永生会 永生病院,八王子市椚田町583-15,042-661-4108,220
,医療法人社団 東光会 八王子山王病院,八王子市中野山王2-15-16,042-626-1144,157
,医療法人社団 清智会 清智会記念病院,八王子市子安町3-24-15,042-624-5111,177
,医療法人社団KNI　北原国際病院,八王子市大和田町1-7-23,042-645-1356,98
,医療法人社団 親和会 野猿峠脳神経外科病院,八王子市下柚木1974-1,042-674-1515,45
,医療法人社団八九十会　高月整形外科病院,八王子市高月町360,042-692-0311,31
,医療法人社団 史世会 町田胃腸病院,町田市旭町1-17-21,042-726-6511,50
,医療法人財団 明理会 鶴川サナトリウム病院,町田市真光寺町197,042-735-2222,81
,医療法人社団 幸隆会 多摩丘陵病院,町田市下小山田町1491,042-797-1511,199
,医療法人社団 創生会 町田病院,町田市木曽東4-21-43,042-789-0502,120
,医療法人社団 慶泉会 町田慶泉病院,町田市南町田2-1-47,042-795-1668,61
北多摩西部,社会福祉法人 恩賜財団 東京都同胞援護会 昭島病院,昭島市中神町1260,042-546-3111,199
,医療法人 徳洲会 東京西徳洲会病院,昭島市松原町3-1-1,042-500-6626,519
,武蔵村山病院,武蔵村山市榎1-1-5,042-566-3111,144
,立川相互病院,立川市緑町4-1,042-525-2585,287
北多摩南部,武蔵野陽和会病院,武蔵野市緑町2-1-33,0422-52-3212,103
,医療法人社団 啓仁会 吉祥寺南病院,武蔵野市吉祥寺南町3-14-4,0422-40-1661,127
,特定医療法人財団 慈生会 野村病院,三鷹市下連雀8-3-6,0422-47-4848,89
,医療法人社団 永寿会 三鷹中央病院,三鷹市上連雀5-23-10,0422-44-6161,122
,府中恵仁会病院,府中市住吉町5-21-1,042-365-1211,217
,財団法人 日本心臓血圧研究振興会附属 榊原記念病院,府中市朝日町3-16-1,042-314-3111,307
,医療法人社団 桐光会 調布病院,調布市下石原3-45-1,042-484-2626,128
,医療法人社団 東山会 調布東山病院,調布市小島町2-32-17,042-481-5592,83
,医療法人社団 大日会 小金井太陽病院,小金井市本町1-9-17,042-383-5511,55
北多摩北部,公益財団法人 結核予防会 新山手病院,東村山市諏訪町3-6-1,042-391-1425,172
,社会医療法人社団 愛有会 久米川病院,東村山市本町4-7-14,042-393-5511,40
,公益財団法人 結核予防会 複十字病院,清瀬市松山3-1-24,042-491-9234,274
,医療法人社団 山本･前田記念会 前田病院,東久留米市中央町5-13-34,042-473-2133,39
,医療法人社団 東光会 西東京中央総合病院,西東京市芝久保町2-4-19,042-464-1511,270
,保谷厚生病院,西東京市栄町1-17-18,042-424-6640,178
,医療法人徳洲会　武蔵野徳洲会病院,西東京市向台町3-5-48,042-465-0700,206
合計,138病院,,,"20,799"
