"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","感染に対する不安・焦燥感[人]","今後の生活についての不安[人]","ストレス・不眠等 の こころの不調[人]","報道に基づく疲労感[人]","外に出るのが怖い[人]","特になし[人]","その他[人]","無回答[人]"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","アルバイト・パートタイマー","35","25","19","10","10","8","1","2","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","家事専業","55","37","10","6","17","15","9","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","学生","13","6","6","4","7","3","1","0","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","無職","81","44","23","14","22","15","9","3","2"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","その他","31","16","9","4","11","6","6","3","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","無回答","14","4","3","0","2","0","0","0","10"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","芝地区","86","50","27","14","24","17","19","4","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","麻布地区","87","46","26","18","31","10","15","8","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","赤坂地区","81","47","26","14","33","11","8","5","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","高輪地区","146","74","38","22","51","29","20","7","3"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","芝浦港南地区","139","81","59","32","49","27","17","8","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","居住地区別","無回答","19","3","2","3","1","0","2","0","10"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","持家（一戸建）","64","31","17","14","28","7","4","4","2"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","持家（マンション）","267","156","71","37","82","39","47","15","2"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","借家（一戸建）","9","3","4","1","2","0","1","2","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","民間の賃貸マンション・アパート","151","76","56","35","59","33","28","7","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","都営住宅・区営住宅・区立住宅","26","17","15","10","8","7","0","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","5","6","1","4","3","1","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","社宅・公務員宿舎","10","6","4","2","4","4","0","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","寮・寄宿舎・住み込み・間借り","4","3","2","0","1","0","0","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","その他","5","3","2","3","0","1","0","2","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","住居形態別","無回答","11","1","1","0","1","0","0","0","10"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","ずっと住み続けていたい","279","143","75","45","93","38","42","18","6"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","当分は住んでいたい","203","115","72","33","70","39","33","9","5"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","27","19","16","16","12","3","3","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","1","2","2","0","1","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","近いうちに区外に転居する予定である","13","7","5","3","3","2","2","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","わからない","10","7","4","4","5","2","0","1","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","定住意向別","無回答","3","1","2","0","0","1","0","0","1"

"第33回港区民世論調査クロス集計表・自殺対策Q27","Ver202203",,,,,,,,,,,,
