"施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"東大和市子ども家庭支援センター","207-0021","東大和市立野１－１６－１",139.423228,35.744261,"JGD2011","042-565-3651"
"清瀬市子ども家庭支援センター","204-0012","清瀬市中清戸３－２３５－５　清瀬市児童センター内",139.530649,35.776412,"JGD2011","042-495-7701"
"東久留米市子ども家庭支援センター","203-0033","東久留米市滝山４－３－１４　わくわく健康プラザ南棟２階",139.504483,35.742288,"JGD2011","042-471-0910"
"武蔵村山市子ども家庭支援センター","208-0011","武蔵村山市学園４－５－１　武蔵村山市民総合センター内",139.403259,35.746304,"JGD2011","042-590-1152"
"多摩市立子育て総合センター","206-0031","多摩市豊ヶ丘１－２１－３",139.429841,35.627768,"JGD2011","042-355-3777"
"稲城市子ども家庭支援センター","206-0802","稲城市東長沼２１１５－２　３階（本郷分室）",139.501344,35.637781,"JGD2011","042-378-6366"
"羽村市子ども家庭支援センター","205-8601","羽村市緑ケ丘５－２－１　羽村市役所２階",139.310547,35.767746,"JGD2011","042-578-2882"
"あきる野市子ども家庭支援センター","197-0804","あきる野市秋川１－８　あきる野ルピア２階",139.287103,35.730153,"JGD2011","042-550-3313"
"西東京市子ども家庭支援センター","202-0005","西東京市住吉町６－１５－６　住吉会館１階",139.55129,35.744433,"JGD2011","042-439-0081"
"瑞穂町子ども家庭支援センター","190-1211","瑞穂町石畑１９７２",139.356331,35.773505,"JGD2011","042-568-0051"
"日の出町子ども家庭支援センター","190-0192","日の出町大字平井２７８０　日の出町役場１階子育て支援福祉課内",139.257405,35.742114,"JGD2011","042-597-6177"
"檜原村子ども家庭支援センター","190-0211","檜原村２７１７番地　檜原村やすらぎの里ふれあい館内",139.143657,35.735393,"JGD2011","042-598-3122"
"奥多摩町子ども家庭支援センター","198-0105","奥多摩町小丹波１０８番地",139.149302,35.815299,"JGD2011","0428-85-1788"
"大島町子ども家庭支援センター","100-0104","大島町野増字大宮",139.356854,34.733749,"JGD2011","04992-2-2398"
"新島村子ども家庭支援センター","100-0402","新島村本村３－１２－８　さわやか健康センター内",139.259704,34.372609,"JGD2011","04992-5-1856"
"神津島村子ども家庭支援センター","100-0601","神津島村９０２　はまゆう保育園内",139.134896,34.205741,"JGD2011","04992-8-1180"
"三宅村子ども家庭支援センター","100-1212","三宅村阿古４９７　三宅村役場内",139.479166,34.075946,"JGD2011","04994-5-0982"
"御蔵島村子ども家庭支援センター","100-1301","御蔵島村字入かねが沢　御蔵島村役場内",139.595805,33.897386,"JGD2011","04994-8-2121"
"八丈町子ども家庭支援センター","100-1498","八丈町大賀郷２５５１番地２　八丈町役場内",139.789059,33.112756,"JGD2011","04996-2-4300"
"小笠原村子ども家庭支援センター","100-2101","小笠原村父島字西町　小笠原村役場内",142.192063,27.094271,"JGD2011","04998-2-3939"
