№,施設名,種別    ,住所,電話,備考 
18,特定非営利活動法人クオーレすこやか作業所,就継Ｂ,江東区大島4-1-6-146,03-3638-3762,地域に根ざして35年、主に脳血管障害後遺症の方を対象に活動を行っています。就労意欲の強い方が多く、40から80歳代の方が利用されています。
19,社会福祉法人ゆめグループ福祉会ゆめ工房,就継Ｂ,江東区北砂1-14-4 １階,03-3644-6773,作業を通じて、コミュニケーション力、遂行能力の向上をめざします。申しわけありませんが、大声を出して突然怒る人はお受け入れできません。　
20,社会福祉法人ゆめグループ福祉会ゆめ工房北砂,就継Ｂ,江東区北砂1-14-4 ２階,03-3644-0654,軽作業、菓子製造をしています。現在、高次脳機能障害の方は通所していませんが、過去には在籍者あり。一般就労や就継Ａに繋がりました。
21,社会福祉法人ゆめグループ福祉会ドリーム第２,就継Ｂ,江東区東砂6-20-7 １階,03-3644-0683,三障害混合利用の法人です。当事業所では、喫茶店、リサイクルショップ、カフェを行っています。高次脳機能障害の方は３名いらっしゃいます。
22,社会福祉法人ゆめグループ福祉会ドリーム第２分室リサイクル工房サラエ,就継Ｂ,江東区東砂5-16-3 １階,03-5632-6601,リサイクルショップの営業と下請け作業が主な作業内容です。地域との関わりを大切にしながら、毎日笑顔で過ごせることを心がけています。
23,社会福祉法人ゆめグループ福祉会ネットワークゆめ工房,生介　就継Ｂ,江東区北砂1-17-4 １階,03-3644-1645,生活介護と就継Ｂの多機能型で異なる障害をお持ちの方が通所しています。車椅子利用者が多く在籍しています。高次脳機能障害の方は３名所属しています。お互いの障害を理解し助け合いができる作業所です。
24,社会福祉法人ゆめグループ福祉会ドリームクラブハウス,就継Ｂ,江東区北砂1-15-8 ２階,03-3644-6858,作業以外にも生活のリズムをつけること、日中の居場所としての役割も大切にしています。作業室が２階・３階にあり、エレベーターがありませんので、階段での昇降が可能な方
25,社会福祉法人ゆめグループ福祉会ふれあい工房,就継Ｂ,江東区千石2-2-5,03-6458-7085,店舗型事業所。天然酵母パン、焼き菓子、ランチ等を作って提供してます。イートインスペースもあり、利用者が対応（コロナ禍は閉店中）。産直野菜や米も産地の方から直送。高次脳機能障害の方は２名在籍
26,株式会社ティ－ビーエスオペレーションコレンド東陽町,就移,江東区東陽2-4-46ASKビル５階,03-3615-3500,個人の特性に合わせて、パソコン訓練、軽作業、コミュニケーション訓練、自己理解、ストレス対策といった数多くのカリキュラムを提供し、就職に向けた支援をしています。
27,社会福祉法人品川総合福祉センター品川区立心身障害者福祉会館,地活　機能訓　生介　指特相,品川区旗の台5-2-2,03-3785-3322,区内在住、18歳以上65歳未満の方を対象に、高次脳機能障害専門相談、指定特定相談、機能訓練、生活講座等、症状に応じて各部署のサービスをご利用いただけます。　
28,社会福祉法人品川総合福祉センターさつき,就継Ｂ,品川区八潮5-3-8,03-3790-0593　　,様々な障害のある方が通所されており、お一人おひとりの障害特性や作業能力に適した作業を提供できるよう努めております。作業内容は、クリーニング作業・軽作業・花ふきん製作などがあります。
29,医療法人社団恵泉会荏原中延クリニックデイケア,精デイ,品川区中延2-15-5 １階,03-5751-2591,医療機関での精神科デイケアの中で、「医学的視点」と毎日楽しめる「生活視点」の融合をめざした取り組みを行っています。
30,社会福祉法人目黒区社会福祉事業団目黒区心身障害者センターあいアイ館,身福セ　地活　生介　指特相　その他※  ,目黒区八雲1-1-8,03-5701-2221,"デイサービスコース（1日・食事付）と機能訓練コース（半日）があります。利用料0円～1,000円。高次脳機能障害の方の在籍数35人　※入浴サービス、ショートステイ"
31,特定非営利活動法人いきいき福祉ネットワークセンター目黒区高次脳機能障害者支援センターいきいき＊せかんど,生活訓　就継Ｂ,目黒区碑文谷5-12-1TS碑文谷ビル３階,03-3713-8207,自立訓練では、障がいを補う方法を身につけ、職業生活に向けた準備支援を行います。就継Ｂでは、福祉的就労の機会を提供するとともに、作業を通じて知識及び能力向上のために必要な支援を行います。　
32,特定非営利活動法人いきいき福祉ネットワークセンターいきいき＊がくだい,その他※　　　　　,目黒区碑文谷5-12-1TS碑文谷ビル３階,03-3713-8207,40歳から65歳までの、脳血管障害による高次脳機能障害、または若年性認知症の診断のある方を対象に、専門スタッフによる、専門プログラムを提供いたします。※地域密着型通所介護
33,大田区立上池台障害者福祉会館,生介　就継Ｂ　指特相　　　　　　　　　　　　,大田区上池台5-5-1,03-3728-3111 　,障害者総合支援法による多機能事業所。身体障害者・知的障害者を対象にした生活介護・就継Ｂ事業を実施。高次脳機能障害の方の在籍は12名（生活介護・就継Ｂ合計）です。
34,大田区立志茂田福祉センター,機能訓　就継Ｂ　指特相,大田区西六郷1-4-27,03-3734-0763　,大田区に在住する18歳以上65歳未満の障害者手帳をお持ちの方、または難病の方が利用可能です。高次脳機能障害の方の受け入れは、機能訓練事業のみにおいて可能です。
35,大田区立障がい者総合サポートセンター,機能訓　生活訓　就移　指特相,大田区中央4-30-11,03-5728-9435,区内在住。機能訓練・生活訓練・就労移行にて、高次脳機能障がいの方を受け入れています。
36,社会福祉法人みな実福祉会みどり作業所,就継Ｂ,大田区東六郷1-26-13ベルナール203,03-3730-9882,利用については見学・面接などを経て互いに検討。当事業所は建物の２階にあり、階段での昇降が可能な方に限られる。
37,社会福祉法人東京コロニー東京都大田福祉工場,就継Ａ　就継Ｂ　就移　その他※ ,大田区大森西2-22-26,03-3762-7611,就継Ａは終身雇用を前提に障害の有無を問わず同一処遇で就労、就継Ｂ・就労移行は一般就労を視野に感情のコントロール、報連相、作業品質の向上に取り組む。定着支援は３名在籍、全員安定して就労が継続している。　※就労定着支援
38,社会福祉法人泉会泉の家,生介　就継Ｂ　就移　その他※  　　　,世田谷区岡本2-33-23,03-3417-3451,利用者様に寄り添った親身な支援を行っています。世田谷区在住の障害者(三障害)を受け入れています。高次脳機能障害の方は現在７名です。※短期入所
39,社会福祉法人泉会世田谷区立岡本福祉作業ホーム玉堤分場,就継Ｂ　就移　　　　,世田谷区玉堤2-3-1地下１階,03-5707-9431　,18歳以上で区内在住、階段昇降ができる方。就継Ｂの定員13名に対し10名が高次脳機能障害の方。クッキー作りの作業工程を細分化して高次脳機能障害の方が取り組みやすくしています。　
40,ケアセンターふらっと,生活訓　生介　指特相,世田谷区下馬2-20-14,03-5712-5105　,区民対象。主に中途障害の方を対象。高次脳機能障害の相談窓口もあります。
41,ケアセンターwith,通介　その他※　　　　　,世田谷区下馬3-22-13サザン三軒茶屋,03-6805-4715,高次脳機能障害の方のデイサービスです。※地域密着型通所介護
42,特定非営利活動法人ウッドペッカーの森,生介　就継Ｂ,世田谷区松原6-4-1,03-3327-5917,区内在住。階段昇降できる方。現在７名の方が利用中です。一人ひとりに合わせた「生活」や「働く」を支援します。
43,社会福祉法人友愛十字会世田谷更生館,就継Ｂ　就移,世田谷区砧3-9-11,03-3416-7131,障害種別に関わらず受給者証を取得できる方を対象としています。区外の方も利用可能です。
44,世田谷区立ほほえみ経堂,生介,世田谷区経堂3-6-24,03-5451-5151,先天的に障害をお持ちの方も、中途で障害を負われた方も、ともに通う、小規模でアットホームな生活介護施設です。
45,友愛デイサービスセンター,生介,世田谷区砧3-9-11,03-3416-0262,重度の身体障害を持った方や医療的ケアの必要な方を支援しております。高次脳機能障害のある方は２名通所されています。
46,東京リハビリテーションセンター世田谷障害者支援施設梅ヶ丘,機能訓　生活訓,世田谷区松原6-37-1,03-6379-0625,専門職（PT、OT、ST、視覚障害歩行訓練士、社会福祉士、精神保健福祉士）が常勤で在籍している。隣接する保健センターと連携し、専門医相談や補装具相談を受けることができる。
47,中野区障害者福祉会館,地活　機能訓　,中野区沼袋2-40-18,03-3389-2171 　,機能訓練は中野区内在住の18歳以上64歳未満で、受給者証の交付を受けることができる方が対象です。地域活動支援センターでは、曜日ごとに異なるプログラムを提供しています。
48,ＮＰＯ法人ハッピースマイル中野区東部福祉作業センター,就継Ｂ,中野区中央2-22-10,03-3366-2940,様々な障害を持つ利用者さんが通所し、織物を中心として一人ひとりに合った作業を行っています。働くことを通して社会的自立と社会参加を目標とし、生きがいと喜びを持って地域で生活することをめざしています。
49,一般社団法人明生会事業所ワクわーく,就継Ａ    ,中野区白鷺1－30－6深澤ビル４階,03-5356-7371,仕事を通じて誰かの役に立ち、その経験が継続的な自己研鑽につながっていけるような取り組みをしています（「業務ありきで支援」することを大切にしています。)。高次脳機能障害の方（キャスト）は３名在籍しています。
50,一般財団法人中野区障害者福祉事業団ここね,生活訓,中野区新井2-8-13,03-3388-2941,健康管理、マナーやコミュニケーション等、社会人として基礎となる力の習得に力を入れています。身の回りのことが自立しており、自力で通所できることが利用時の条件となります。
51,一般財団法人中野区障害者福祉事業団ワ―カライズニコ,就移,中野区新井2-8-13,03-3388-2941,健康管理、マナーやコミュニケーション等、社会人として基礎となる力の習得に力を入れています。身の回りのことが自立しており、自力で通所できることが利用時の条件となります。
52,社会福祉法人東京コロニーコロニー中野,生介　就継Ａ　就継Ｂ　就移,中野区江原町2-6-7,03-3953-3541,知的障害・身体障害・精神障害の他、発達障害・高次脳機能障害など様々な方が利用されています。工賃評価制度を確立し、「働く」ことを通して就労支援や自立と社会経済活動への参加、その方らしい地域生活を送れるよう支援を行っています。
53,社会福祉法人東京コロニー中野区仲町就労支援事業所,就継Ｂ　就移,中野区中央3-19-1,03-3360-1571,中野区民であることが利用要件となります。個々の状況に合わせたきめ細かい通所プログラムや支援を展開しています。
54,杉並区保健福祉部障害者生活支援課地域生活支援担当（生活リハビリ・ふれあい広場）,地活　その他※,杉並区高井戸東4-10-5杉並障害者福祉会館内,03-3332-1817,通所生活リハビリは１年間の訓練型事業。高次脳機能障害者の専門相談窓口も実施。送迎バスあり。※通所生活リハビリは区単独事業
55,特定非営利活動法人ゆずりはコミュニケーションズパソコン工房ゆずりは,就継Ｂ,杉並区荻窪1-20-15,03-6383-5364,18歳以上60歳までの、主に失語症の方を対象にしています。手帳所持者対象。全国失語症者友の会等のネットワークを持ち、失語症の方を重点的にサポートしています。
56,社会福祉法人虹旗社杉並・あしたの会福祉作業所,就継Ｂ,杉並区阿佐谷南3-12-1第３栄ビル,03-5397-3636,主に事故や病気により障害を負った方が多く通所していて、高次脳機能障害の方も通所しています。働くことを通じて社会的自立をめざし日々活動しています。
57,特定非営利活動法人杉並福助会地球儀,就継Ｂ,杉並区永福2-23-7キャッスルプラザ永福,03-5300-0310,内職作業室と生活支援室があります。生活リズム作りから交流や生活相談、作業や就労相談など利用者の状況に合わせ利用できます。高次脳機能障害の方の在籍は２名　
58,特定非営利活動法人TRY福祉会ゆい企画,就継Ｂ　就移　指特相,杉並区成田東5-15-21成宗マンション１階,03-3220-7880,障害の状況に合わせて複数のプログラムから選択し、訓練していきます。身体症状との重複障害の方も応相談
59,特定非営利活動法人けやき精神保健福祉会けやき亭,就継Ｂ,杉並区成田東3-1-3,03-3311-6101,自分の体力や目的に応じて選んで作業に参加することができます。利用時間や日数も個別に相談をして決めていきます。
60,ＮＰＯ法人障害者就労支援センターどんまい福祉工房,就継Ｂ　就移,杉並区本天沼1-24-9,03-3396-2881,施設外へ出て、地域を支援環境にした活動を大切にしております。就労移行、就継Ｂを多機能型で行っております。
61,すぎなみ1５1,地活　,杉並区永福4-19-4安藤ビル２-C,03-3327-9225,自主活動を中心としています。居場所的役割が大きいです。つながり・かかわりの中で必要なお手伝いをしています。清掃業務にアルバイトとして参加することができます。
62,特定非営利活動法人あおば福祉会リブレ,就継Ｂ,杉並区上萩1-5-8フカザワビル,03-3392-7946,同一法人内に７つのグループがあり自身の利用目的に合わせて柔軟に選べる。沢山作業をして沢山稼ぎたい、気が向いたときに軽い作業をしてみたい、作業はしなくていいから居場所的な場所がほしい等
63,特定非営利活動法人あおば福祉会パルテ,就継Ｂ,杉並区上萩1-13-10共栄ビル401・302・303,03-3392-7939,様々な作業を提供しています。
64,一般社団法人クレオソーレ・ｋｏｅｎ ｔhｅ ＴＡＯ,就継Ｂ,杉並区高円寺北3-6-2 １階,03-6383-0445,高次脳機能障害の方も受け入れ可能です。見学・実習等が必要になりますので直接お問い合わせください。ご自身で通所できる方が対象です。
65,特定非営利活動法人まどかアゲイン,就継Ｂ　指特相,杉並区永福1-27-31,03-5300-2834,現在高次脳機能障害の方は２名在籍されています。都内にお住まいで、定期的な通院・服薬管理がご自身でできる方が対象です。
66,特定非営利活動法人ラルゴ工房ラルゴ,就継Ｂ,杉並区上荻4－29－22ケイショーArk５,03-3399-1338,豆腐作り部門と内職部門があります。主に杉並在住の精神障害の方を対象としています。
67,社会福祉法人いたるセンター阿佐谷福祉工房,生介　就継Ｂ,杉並区天沼1-15-18,03-3392-7347,主に知的障害のある方が通所している施設です。自力通所が可能な方で知的障害のある方と一緒に仕事ができる方
68,社会福祉法人いたるセンターあけぼの作業所,生介　就継Ｂ,杉並区上井草4-3-11,03-3395-1441,緑豊かな閑静な住宅街に佇む施設です。障害福祉サービス受給者証、障害者手帳を取得し、一定期間の実習を受けていただいてから話し合いでご利用が決定いたします。現在、高次脳機能障害の方の在籍は１名です。
69,社会福祉法人済美会ひまわり作業所,生介　就継Ｂ,杉並区松庵2-22-22,03-3333-9724,封入封緘等の軽作業が中心です。杉並区在住で、自力通所ができ、知的障害者と一緒に作業や活動ができる方
70,社会福祉法人視覚障害者支援総合センターチャレンジ,就継Ｂ,杉並区桃井4-4-3スカイコート西荻窪2,03-5310-5052,高次脳機能障害の方は直接お問い合わせください。見学・実習等が必要になります。
71,社会福祉法人かたつむり会ワークショップ・かたつむり,就継Ｂ,杉並区和田1-5-18アテナビル２階,03-3381-4278,18歳以上で自主通所ができ、作業能力のある方を対象とします。障害状況に応じた作業等を提供します。
72,一般社団法人ワークみらいワークみらい,就継Ｂ,杉並区天沼3-6-6吉田ビル201号室,03-6383-5746,その人の特性に応じた作業を提供しております。
73,言語生活サポートセンター,機能訓,杉並区荻窪5-20-17Mパラッツォ４階,03-5335-9757,全国でも稀な言語聴覚士による言語訓練特化型の通所型自立訓練(機能訓練)事業所です。失語症、高次脳機能障害の方にグループ及び個別で言語訓練、リハビリテーションを実施し社会復帰を支援いたします。
74,豊島区保健福祉部障害福祉課豊島区立心身障害者福祉センター,身福セ　地活　機能訓　指特相,豊島区目白5-18-8,03-3953-2811,区内在住の18～64歳で、身体障害者手帳所持または高次脳機能障害の診断。自立訓練は受給者証対象者。地活センターは診断で利用可。両サービスの併用不可。送迎バス、給食あり
75,医療法人社団明善会新大塚榎本クリニック,精デイ,豊島区南大塚3-11-9,03-6907-8061,精神科デイナイトケアです。無料送迎車あり（地域は要相談）。事前に電話にて相談・予約をお願いします。初診時に診療情報提供書を持参してください。 
76,医療法人社団明善会榎本クリニック,精デイ,豊島区西池袋1-2-5,03-3982-5321,維持期の方が対象。デイナイトケア利用時、無料送迎車サービスあり（エリアは要相談）。
77,LITALICOワークス大塚,就移,豊島区東池袋2-13-14マルヤス機械ビル４階-B,03-5956-5116,就職活動において自分らしく自信を持ってチャレンジできる環境づくりを大切にしています。
78,さら就労塾＠ぽれぽれ/池袋,就移,豊島区南池袋2-30-7サトービル２階,03-5944-9123,「きちんとした職業能力を身につけたい」「自信を持って就職活動したい」「就労の可能性を広げ、長く働き続ける力を獲得したい」。そんな想いに支援を通じて貢献します。
79,地域活動支援センターサンハウス,地活　,豊島区千川2-37-6山口ビル１階,03-3972-2375,通所が可能な方でご自分のペースで利用できる方。軽作業、レクリエーション、ミーティングなどのプログラムをしています。お問合わせの上、ご見学ください。
80,株式会社ティラＬｉｎｋキャリアサポートセンター,就移,豊島区東池袋1-25-17ウエストビル７階,03-6912-8298,自力通所が可能で、就労をめざす方。駅からのアクセスが良い。就労だけでなく生活リズムや体力向上を目的としたプログラムもあるので、多様なニーズに対応することができます。
81,社会福祉法人豊芯会地域生活支援センターこかげ,地活　指特相    ,豊島区東池袋4-5-1エアライズタワー103号室,03-5958-1990,気軽に立ち寄れるオープンスペースを用意しています。障害福祉サービス利用時に必要な計画作成も行っています。
82,脳卒中・身体障害専門就労支援センター「リハス」大塚,就移,豊島区北大塚2-8-11プログレスヒルズ５階,03-5944-5134,対象：身体障害、高次脳機能障害、神経難病、65歳未満。受給者証必要。理学又は作業療法士、企業経験豊富なスタッフによるプログラムを提供し、一般就労へ導く。詳細については、お問い合わせください。
83,リハスワークとしま,就継Ｂ,豊島区北大塚2-8-11プログレスヒルズ４階,03-5980-8764,生産活動では、軽作業、熟成木を使ったチップ、はがき作りや古本の検品、販売を中心に、施設外では清掃業務やフルーツ大福作りと、多種多様です。送迎や在宅支援の選択もございますので、お気軽にご相談ください。
84,北区立障害者福祉センター,身福セ,北区中十条1-2-18,03-3905-7121 　,北区在住、40～64歳で高次脳機能障害と診断され発症・受傷後６か月以上経過し、医療終了後も継続してリハビリテーションを行うことが望ましい方、または軽度の若年性認知症の方、医療機関とのリハビリ併用不可
85,荒川区立心身障害者福祉センター（荒川たんぽぽセンター）,身福セ　地活　機能訓　生活訓　　,荒川区荒川1-53-20,03-3891-6824　　,対象は原則、18歳以上64歳以下です。生活訓練として、創作活動、パソコン、認知トレーニング、調理実習等を行っています。月曜日から金曜日まで週５回実施しています。
86,社会福祉法人東京援護協会板橋区立障がい者福祉センター,地活　指特相　その他※ ,板橋区高島平9-25-12,03-3550-3401,区内在住で、介護保険に該当されない方がご利用いただけます。専門職によるリハビリ訓練と創作活動などのデイサービスを行っています。週２回の利用を上限とし送迎についても、ご相談に応じます。※ その他:指定一般相談支援事業所、板橋区基幹相談支援センター、障がい者虐待防止センター
87,特定非営利活動法人みんなのセンターおむすびデイサービスおむすび,地活,板橋区仲宿45-6KTビル１階,03-3579-7059,デイサービスおむすびは「むすぶ」をキーワードに人と人との心を結ぶ、ハートとハートの触れ合いをモットーに優しさあふれる居場所を提供しています。
88,特定非営利活動法人みんなのセンターおむすびときわの杜,就継Ｂ,板橋区常盤台3-27-12,03-5939-8994,軽作業、内職作業を行っています。高次脳機能障がいの方は利用者の７割です。
89,Ｂｅｅｃｈ,就継Ｂ,板橋区清水町81-11-106,03-6909-6411,精神障害、知的障害、身体障害と広く対応している施設になります。自主生産品はプラ板を用いたアクセサリーを製作、販売させていただいています。アットホームな雰囲気の施設です。
90,医療法人社団真成会新江古田診療所デイケアひまわり,通リハ,練馬区豊玉北1-12-16,03-5999-6000,介護保険施設です。作業療法士・理学療法士・言語聴覚士による個別・集団のリハビリを行っています。PT、STは土曜のみ
91,特定非営利活動法人いきいき練馬ウェルネスアンドワークス,就継Ｂ,練馬区北町6-35-15八鍬ビル１階,03-5945-8381,一般就労は困難でも「働きたい」という意欲のある方々に活躍の場を提供しています。作業内容は紙製品の加工組立、雑貨梱包等の手先の仕事です。自力通所で送迎はありません。
92,特定非営利活動法人ホサナ共同作業所ホサナショップ,就継Ｂ　,練馬区桜台1-12-5-203,03-3991-7931,高次脳機能障害の方も通所しています。バリアフリー対応はありません。
93,練馬区立心身障害者福祉センター（だんだん）,地活　機能訓　生活訓　,練馬区貫井1-9-1,03-3926-7214,区内在住で高次脳機能障害がある方の自立訓練事業を実施。機能訓練は、主に身体の障害を重複している方。生活訓練は、身体に障害がない方が対象。地域活動支援センターⅢ型は、プログラム選択制で半日からの利用可
94,足立区障がい福祉センター社会リハビリテーション室,機能訓　生活訓　　　　　　　　　　　　　,足立区梅島3-31-19,03-5681-0131　,利用期間は原則１年間です。　
95,足立区精神障がい者自立支援センター（旧ふれんどりぃ）,地活　就継Ｂ　就移　指特相,足立区竹の塚6-18-4,03-3883-7405,センター内で複数の事業を行っている多機能型事業所となっています。
96,足立区大谷田就労支援センター,生介　就継Ｂ,足立区大谷田1-44-3,03-3605-6762,就労希望の方には就労支援も実施しています。就労実績も多くあり、軽作業やパソコン作業を中心に作業提供しています。
97,地域活動支援センターピア・さくら,地活,足立区青井3-8-31,03-5888-7669,失語症の方のデイプログラム・高次脳機能障害の方のデイプログラムを提供しています。登録者数30名。日々10名前後いらしています。男性が多いです。
98,一般社団法人つくしの郷メロディー竹の塚,就継Ｂ,足立区保木間1-1-13足立水道会館２階,03-5851-9802,高次脳機能障害の方は現在４名の方が利用中。ご本人のペースで週１回から利用できます。
99,社会福祉法人はなさく福祉会花畑共同作業所,生介　就継Ｂ,足立区東六月町5-20,03-6684-3990,区内在住で手帳を所持されている方。就継Ｂ利用の場合は自力通所できる方。高次脳機能障害に特化したプログラム等はありません。現状の施設の内容やタイムスケジュールに添って行動できる方
100,株式会社NoWallけいSHAER,就継Ｂ,足立区西新井2-32-14サンセール西新井１階,03-5647-6616,高次脳機能障がいの方４名。ご利用者様、個々のできることを理解し作業を提供することを心がけ、日々気持ち良く作業ができる場所としてあることを留意しております。
101,社会福祉法人平成記念OUCHICAFE・KITCHEN,就継Ｂ,足立区西新井5-18-14,03-6803-1755,やりがいのある仕事(CAFE、パン、焼き菓子、チョコレート製造)を通じて、いつでも気軽に立ち寄れる施設をめざしています。高次脳機能障害の方は現在２名在籍しています。
102,葛飾区地域活動支援センター,地活,葛飾区堀切3-34-1,03-5698-1336,18歳以上の高次脳機能障害の方、失語症のある方を対象としたデイサービスを実施。手帳が無い方も利用可。送迎なし。詳細はお問い合わせください。
103,葛飾区自立訓練事業所,機能訓　生活訓　指特相,葛飾区堀切3-34-1,03-5698-1336,身体障害者対象機能訓練、高次脳機能障害者対象機能訓練・生活訓練、失語症のある方対象言語リハビリを実施。バス送迎あり。
104,特定非営利活動法人むうこすもす,生介　指特相,葛飾区東四つ木3-49-10,03-3693-1058,当施設は、主に身体障害者を対象とした生活介護事業所です。身体機能の後遺症がある高次脳機能障害の方が６名通所しています。
105,一般社団法人ライフステップグリーンカフェ,就継Ｂ,葛飾区新小岩1-49-2古屋ビル３階,03-5879-4435,レタスを室内で水耕栽培し、ランチで提供しているカフェです。http://greencafe-shinkoiwa.com
106,江戸川区立障害者支援ハウス,地活　生介　指特相,江戸川区中葛西2-11-8,03-5667-1333,区内在住で関連福祉サービス受給決定済みの方。身体障害者手帳又は愛の手帳もしくは療育手帳を持っている方。短期入所、日中一時支援も行っています。
107,特定非営利活動法人自立支援センターむく小松川支援センター,地活　生介,江戸川区小松川1-5-8セーラ小松川８号棟１階,03-3684-1602,日中余暇活動、絵画教室などの創作活動を実施。高次脳機能障害の方２名在籍
108,特定非営利活動法人自立支援センターむくＰＣ工房,就継Ｂ     ,江戸川区小松川1-5-2トニワンビル305号室,03-5875-5592,都営新宿線、東大島駅前、徒歩１分のショッピングセンター内にある通所施設です。パソコンや電子機器の分解、データ消去、機器修理、オークションに出品等。また、店舗ではパワーストーンを使ったアクセサリー制作販売
109,特定非営利活動法人自立支援センターむく地域活動支援センターアンティ,地活　生介,江戸川区鹿骨1-56-1,03-6638-7566,ご希望者の方には教材費のみ実費負担いただき、くもん学習療法を実施しています。
110,特定非営利活動法人つぼみ就労移行支援事業所natura,就移,江戸川区中葛西2-8-3 １階,03-6808-5291,一般就労へ向け働くために必要な知識、能力の向上、経験を身に付ける職業訓練や実習、就職活動支援や就職後の職場定着支援などを行っています。詳しくはお問い合わせください。高次脳機能障害の方も通所しています。
