"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","いつも実行している[人]","時々実行している[人]","あまり実行していない[人]","全く実行していない[人]","無回答[人]"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","赤坂地区","84","28","38","14","3","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","高輪地区","146","47","66","25","2","6"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","芝浦港南地区","143","40","75","22","4","2"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","無回答","19","5","3","1","0","10"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","持家（一戸建）","66","15","34","13","1","3"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","持家（マンション）","275","99","123","43","5","5"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","借家（一戸建）","9","6","2","1","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","民間の賃貸マンション・アパート","151","40","84","22","5","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","都営住宅・区営住宅・区立住宅","26","4","11","9","0","2"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","6","4","1","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","社宅・公務員宿舎","10","4","5","1","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","寮・寄宿舎・住み込み・間借り","4","1","1","1","0","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","その他","5","2","3","0","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","住居形態別","無回答","11","0","1","0","0","10"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","ずっと住み続けていたい","283","106","122","44","4","7"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","当分は住んでいたい","209","54","113","31","3","8"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","9","21","8","3","4"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","2","2","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","近いうちに区外に転居する予定である","13","1","7","4","1","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","わからない","10","5","3","2","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","定住意向別","無回答","3","1","0","0","0","2"

"第33回港区民世論調査クロス集計表・地球温暖化対策Q18","Ver202203",,,,,,,,,
