施設名称,所在地,緯度,経度,電話番号,施設概要,URL
立川児童館,墨田区立川一丁目5番2号,35.69051,139.799481,03-3619-5781,使用可能時間帯：午前9時～午後9時（火・水・土・日曜日・祝日は午後７時まで),https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
日本年金機構　墨田年金事務所,墨田区立川三丁目8番12号,35.691037,139.804786,,使用可能時間帯：午前8時30分～午後5時30分,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
菊川小学校,墨田区立川四丁目12番15号,35.691629,139.807591,03-3634-8176,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
中和小学校,墨田区菊川一丁目18番10号,35.690157,139.802725,03-3617-7921,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
医療法人社団菊川橋クリニック,墨田区菊川二丁目11番1号,35.68889,139.803558,,使用可能時間帯：午前8時～午後9時30分,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
菊川二丁目交番,墨田区菊川二丁目19番7号,35.689979,139.805647,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
都営地下鉄菊川駅,墨田区菊川三丁目16番2号,35.688385,139.80602,03-3634-5291,使用可能時間帯：始発の時刻～終電の時刻（営業時間内）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京都立両国高等学校,墨田区江東橋一丁目7番14号,35.69454,139.810088,03-3631-1815,使用可能時間帯：午前8時30分～午後5時00分（土・日曜日・祝日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
江東橋児童館,墨田区江東橋一丁目15番4号,35.695885,139.809697,03-3634-8883,使用可能時間帯：午前9時～午後8時（土・日曜日・祝日は午後7時まで、年末年始は除く),https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
大横川親水公園テニスコート,墨田区江東橋一丁目、緑四丁目地先,35.694018,139.808868,03-3633-9117,使用可能時間帯：午前9時～午後6時（4月～9月）、午前9時～午後4時（10月～3月）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
医療法人社団三恵寿会　3Sメディカルクリニック,墨田区江東橋二丁目19番7号 富士ソフトビル2階,35.696285,139.812308,03-5624-5320,使用可能時間帯：午前8時～午後4時（平日のみ）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
独立行政法人高齢・障害･求職者雇用支援機構　東京職業訓練支援センター,墨田区江東橋二丁目19番12号,35.696262,139.811377,03-5638-2280,使用可能時間帯：午前9時～午後5時15分（土・日曜日・祝日等は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ産業会館,墨田区江東橋三丁目9番10号,35.695045,139.813668,03-3635-4351,使用可能時間帯：午前9時～午後9時（年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
丸井錦糸町店,墨田区江東橋三丁目9番10号,35.695045,139.813668,03-3635-0101,使用可能時間帯：午前11時～午後11時（不定休を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
KS15ビル,墨田区江東橋三丁目13番1号,35.695867,139.813624,,使用可能時間帯：午前8時～午後8時（年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
錦糸町駅南口交番,墨田区江東橋三丁目14番3号,35.696012,139.814793,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
JR錦糸町駅,墨田区江東橋三丁目14番5号,35.696395,139.814185,03-3829-0284,使用可能時間帯：始発の時刻～終電の時刻（営業時間内）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京メトロ錦糸町駅,墨田区江東橋三丁目14番6号先,35.697386,139.814984,03-3829-0284,使用可能時間帯：始発の時刻～終電の時刻（営業時間内）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
弓道場,墨田区江東橋四丁目1番3号,35.693357,139.817402,03-3633-9463,使用可能時間帯：午前9時～午後9時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
小倉歯科,墨田区江東橋四丁目16番5号,35.694728,139.817152,03-3631-6496,使用可能時間帯：午前10時～午後7時（土曜は午後6時まで、日・木曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
墨東病院,墨田区江東橋四丁目23番15号,35.694659,139.818398,03-3633-6151,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
楽天地ビル,墨田区江東橋四丁目27番14号,35.696289,139.815686,03-3631-3124,使用可能時間帯：常時（地下1階防災センター）、月～金：午後0時～午後11時・土日祝：午前9時～午後11時（8Fフットサルコート　※営業時間に準じるため変更の可能性あり）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
楽天地フットサルコート錦糸町,墨田区江東橋四丁目27番14号 LIVIN8階,35.696498,139.815807,03-3631-5454,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
竪川親水公園管理事務所,墨田区江東橋五丁目16番15号,35.692613,139.810817,03-3635-9370,使用可能時間帯：事務所の開館時間内,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京都下水道局東部第一下水道事務所墨田出張所,墨田区横綱一丁目4番12号,35.696742,139.795123,03-3622-7005,使用可能時間帯：午前8時30分～午後5時15分（土・日曜日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
都営地下鉄両国駅,墨田区横網一丁目4番29号,35.69682,139.797275,03-3624-4070,使用可能時間帯：始発の時刻～終電の時刻（営業時間内）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
両国屋内プール,墨田区横網一丁目8番1号 両国中学校内,35.697806,139.796274,03-5610-0050,使用可能時間帯：午前9時～午後10時（日曜日・祝日は午後9時まで、火曜日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
両国中学校,墨田区横網一丁目8番1号,35.697488,139.796151,03-3625-0361,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
同愛記念病院,墨田区横網二丁目1番11号,35.699812,139.794349,03-3625-6381,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
安田学園中学校・高等学校,墨田区横綱二丁目2番25号,35.699995,139.795887,,使用可能時間帯：午前8時～午後7時（土・日曜日・祝日・長期休業期は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
横網交番,墨田区横網二丁目3番18号,35.700075,139.796964,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ北斎美術館,墨田区亀沢二丁目7番2号,35.696361,139.800515,03-6658-8931,使用可能時間帯：午前9時30分~午後5時（休館日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
株式会社ケアサービス　デイサービスセンター両国,墨田区亀沢二丁目14番8号,35.697885,139.801105,,使用可能時間帯：午前8時30分～午後6時30分（日曜日･年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
社会福祉法人緑栄会　墨田みどり保育園,墨田区亀沢三丁目7番11号,35.696426,139.8034,03-3624-4508,使用可能時間帯：午前7時15分～午後7時15分（日曜日・祝日等は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだボランティアセンター分館,墨田区亀沢三丁目20番11号,35.697478,139.803416,03-5608-2940,使用可能時間帯：午前9時～午後9時（土曜日は午後5時まで、日曜日・祝日等は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
竪川中学校,墨田区亀沢四丁目11番15号,35.697029,139.805913,03-3625-0365,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
亀沢のぞみの家,墨田区亀沢四丁目18番11号,35.699034,139.808247,03-5608-6164,使用可能時間帯：午前9時～午後5時（日曜日・祝日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
サミットストア両国石原店,墨田区石原一丁目40番6号,35.701747,139.79875,03-5611-3331,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
朝日信用金庫本所支店,墨田区石原一丁目41番8号,35.701914,139.799686,03-3624-1411,使用可能時間帯：午前8時～午後7時（土・日曜日は午後5時まで、年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
二葉小学校,墨田区石原二丁目1番5号,35.699284,139.800185,03-3625-0305,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
石原三丁目交番,墨田区石原三丁目16番1号 ハイネス壱番館1階,35.70049,139.803928,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
錦糸中学校,墨田区石原四丁目33番14号,35.701414,139.806942,03-3625-0375,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所地域プラザ（BIG SHIP）,墨田区本所一丁目13番4号,35.703121,139.798799,03-6658-4601,使用可能時間帯：開館時間内（休館日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
厩橋地域安全センター,墨田区本所一丁目25番9号,35.703847,139.799797,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
クレヴィア墨田本所,墨田区本所一丁目36番7号,35.704655,139.796684,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
外手小学校,墨田区本所二丁目1番16号,35.702607,139.800598,03-3625-0301,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
外手児童館,墨田区本所二丁目6番9号,35.702991,139.800778,03-3621-4531,使用可能時間帯：午前9時～午後8時（土・日曜日・祝日は午後7時まで）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所保健センター,墨田区東駒形一丁目6番4号,35.705436,139.798058,03-3622-9137,使用可能時間帯：午前8時30分～午後5時（土・日曜日・祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
篠塚歯科医院,墨田区東駒形一丁目19番7号,35.706416,139.799486,,使用可能時間帯：午前9時～午後7時（木・日曜日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所中学校,墨田区東駒形三丁目1番10号,35.705289,139.802817,03-3625-0355,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所消防署東駒形出張所,墨田区東駒形三丁目5番8号,35.706386,139.804322,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東駒形コミュニティ会館,墨田区東駒形四丁目14番1号,35.705524,139.807754,03-3623-1141,使用可能時間帯：午前9時～午後8時（日曜日・祝日は午後5時まで、第1月曜日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
横川小学校,墨田区東駒形四丁目18番4号,35.707194,139.806277,03-3625-0335,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
駒形橋地域安全センター,墨田区吾妻橋一丁目12番15号,35.708086,139.798237,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだリバーサイドホール,墨田区吾妻橋一丁目23番20号,35.710228,139.801599,03-5608-6430,使用可能時間帯：午前9時～午後9時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
墨田区役所1階東側エレベーター前,墨田区吾妻橋一丁目23番20号,35.710722,139.801497,03-5608-1111,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
墨田区役所8階東側エレベーター前,墨田区吾妻橋一丁目23番20号,35.710722,139.801497,03-5608-1111,使用可能時間帯：午前8時30分～午後5時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
ステップ学級,墨田区吾妻橋二丁目18番2号 白玉ビル2階,35.71038,139.802522,03-5608-6919,使用可能時間帯：午前8時30分～午後5時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
吾妻橋交番,墨田区吾妻橋三丁目7番1号,35.708858,139.804441,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
都営地下鉄本所吾妻橋駅,墨田区吾妻橋三丁目7番16号,35.708566,139.804363,03-3623-5440,使用可能時間帯：始発の時刻～終電の時刻（営業時間内）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
株式会社 小森コーポレーション,墨田区吾妻橋三丁目11番1号,35.709355,139.805716,,使用可能時間帯：午前5時～午前0時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだトリフォニーホール,墨田区錦糸一丁目2番3号,35.697212,139.81011,03-5608-5400,使用可能時間帯：午前9時～午後10時（年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
錦糸小学校,墨田区錦糸一丁目9番12号,35.698701,139.811392,03-3625-0311,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
錦糸町駅北口交番,墨田区錦糸二丁目2番3号,35.697632,139.813333,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
アルカイースト歯科クリニック,墨田区錦糸三丁目2番1号 アルカイースト3階,35.697496,139.814347,03-5611-2891,使用可能時間帯：午前10時～午後8時（日曜日･祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
墨田区総合体育館,墨田区錦糸四丁目15番1号 錦糸公園内,35.699525,139.817187,03-3623-7273,使用可能時間帯：午前8時30分～午後11時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
屋外体育施設管理事務所錦糸支所,墨田区錦糸四丁目15番1号,35.699416,139.817188,03-5619-4033,使用可能時間帯：開館時間内（年末年始を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
株式会社 阪上製作所,墨田区錦糸四丁目17番6号,35.699278,139.818134,03-3625-1111,使用可能時間帯：午前8時15分～午後5時（土・日曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
学校法人立志舎 立志舎高等学校,墨田区太平二丁目9番6号,35.700845,139.812885,03-56081033,使用可能時間帯：午前9時～午後9時（日曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京東信用金庫錦糸町支店,墨田区太平三丁目3番8号,35.699756,139.814515,03-3622-2131,使用可能時間帯：午前9時～午後3時（休業日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
社会福祉法人賛育会賛育会病院,墨田区太平三丁目20番2号,35.702589,139.813967,03-3622-9191,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
一般財団法人保安通信協会,墨田区太平四丁目1番3号 オリナスタワー15階,35.70075,139.815306,03-6381-3100,使用可能時間帯：午前9時30分～午後5時45分（土・日曜日・祝日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
富安株式会社東京本社,墨田区太平四丁目5番15号,35.701573,139.817984,03-5611-7770,使用可能時間帯：午前9時～午後5時30分（土・日曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
日本たばこ産業株式会社生産技術センター,墨田区横川一丁目17番7号,35.704794,139.810724,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所消防署,墨田区横川四丁目6番6号,35.70395,139.815188,03-3622-0119,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
横川交番,墨田区横川四丁目7番2号,35.704347,139.814608,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所警察署,墨田区横川四丁目8番9号,35.704847,139.815074,03-3634-0110,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
柳島小学校,墨田区横川五丁目2番30号,35.703609,139.817465,03-3625-0325,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
横川コミュニティ会館,墨田区横川五丁目9番1号,35.705206,139.817461,03-5608-4500,使用可能時間帯：午前9時～午後8時（日曜日・祝日は午後5時まで）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
横川出張所,墨田区横川五丁目10番1号111号室,35.705911,139.816341,03-3624-1581,使用可能時間帯：午前8時30分～午後5時（土・日曜日・祝日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
プリメール柳島管理組合,墨田区横川五丁目10番1号 管理事務所,35.705911,139.816341,03-3625-2422,使用可能時間帯：午前9時～午後6時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
業平橋住宅自治会,墨田区業平一丁目6番3号,35.707357,139.808412,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
業平小学校,墨田区業平二丁目4番8号,35.70641,139.811509,03-3625-0331,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
医療法人財団南葛勤医協クリニック柳島,墨田区業平二丁目9番9号,35.70778,139.812508,03-5619-5077,使用可能時間帯：クリニックの診療時間内,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
なりひら高齢者在宅サービスセンター,墨田区業平五丁目6番2号,35.707069,139.817933,03-5819-3741,使用可能時間帯：午前8時30分～午後5時30分,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ郷土文化資料館,墨田区向島二丁目3番5号,35.7139,139.805885,03-5619-7034,使用可能時間帯：午前9時～午後5時（月曜日・第四火曜日・年末年始(12月29～1月3日)は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
さくら橋コミュニティセンター,墨田区向島二丁目3番8号,35.71368,139.805844,03-3623-2181,使用可能時間帯：午前9時～午後8時（日曜日・祝日は午後7時まで、年末年始（12/29～1/3）を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
小梅小学校,墨田区向島二丁目4番10号,35.714446,139.805935,03-3625-0321,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
言問交番,墨田区向島三丁目1番1号,35.712894,139.806066,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
朝日信用金庫向島支店,墨田区向島三丁目23番8号,35.71246,139.808382,,使用可能時間帯：午前8時～午後7時（土・日曜日は午後5時まで、祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ福祉保健センター,墨田区向島三丁目36番7号,35.713323,139.810781,03-5608-3711,使用可能時間帯：午前9時～午後6時（日曜日・祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ休日応急診療所,墨田区向島三丁目36番7号,35.7136,139.810774,03-5608-3700,使用可能時間帯：午前9時～午後10時（日曜日・祝日のみ）※年末年始（12/29～1/3）を除く,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所消防署小梅出張所,墨田区向島三丁目36番12号,35.713016,139.810724,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
