名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
東海七福神めぐり,"",百景,鎮守の森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川3-7-15,"",35.6184352,139.739616,昭和7年制定の旧東海道に沿った七福神めぐり。品川神社(大黒天)、養願寺(布袋尊)、一心寺(寿老人)、荏原神社(恵比須)、品川寺(毘沙門天)、天祖諏訪神社(福禄寿)、磐井神社(弁財天)をめぐる。 ,"","","","","","","","","","","","","","","",東海七福神めぐり,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
板垣退助の墓,"",百景,歴史の足跡,観る,"","","","","",1410001,東京都,品川区,"",北品川3-7-15,"",35.6184352,139.739616,自由民権運動に力を尽くした板垣退助の墓は、品川神社社殿裏にある。傍らには「板垣死すとも自由は死せず」の文言を刻んだ碑がある。,"","","","","","","","","","","","","","","",板垣退助の墓,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
権現山公園,"",百景,花と緑、文化といこい,観る,"","","","","",1410001,東京都,品川区,"",北品川3-9-5,"",35.6185752,139.7377658,江戸時代の桜の名所・御殿山に連なる高台（権現山）に位置する細長い公園。遊戯ゾーンと桜の木を中心とした林ゾーンに分かれている。,"","","","","","","","","","","","","","","",権現山公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
桜の中での入学式,"",百景,歴史の足跡、花と緑,観る,"","","","","",1410001,東京都,品川区,"",北品川3-9-30,"",35.6180503,139.7379825,明治7年、区内で最も古い公立学校として開校。基金を集め校門から続く桜の苗木を植えたのは終戦の年の卒業生。平成22年に施設一体型小中一貫校「品川学園」に、平成28年には義務教育学校となった。,"","","","","","","","","","","","","","","",桜の中での入学式,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
子供の森公園,"",百景,文化といこい,観る,"","","","","",1410001,東京都,品川区,"",北品川3-10-13,"",35.6163449,139.738229,区内の子どもたちの要望が実を結んだ公園。大小9基の恐竜の遊具があることから、人気を集めている。通称「かいじゅう公園」。,"","","","","","","","","","","","","","","",子供の森公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山橋,"",百景,古い顔・新しい顔,観る,"","","","","",1410001,東京都,品川区,"",北品川4,"",35.6219581,139.7357186,東海道と東海道線を立体交差させるために、明治5年に架けられ、現在の橋は昭和60年に架け替えられた。昭和29年公開の映画『ゴジラ』では、ゴジラの東京初上陸の地となった。,"","","","","","","","","","","","","","","",八ツ山橋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
新八ツ山橋から品川教会方向を望む,"",百景,古い顔・新しい顔,観る,"","","","","",1410001,東京都,品川区,"",北品川4,"",35.6219581,139.7357186,昭和38年、第一京浜国道の渋滞を避けるため新八ツ山橋が架けられた。ここからキリスト品川教会のある御殿山方向を望むと、新しい都市の風景が広がって見える。 ,"","","","","","","","","","","","","","","",新八ツ山橋から品川教会方向を望む,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
原美術館,"",百景,文化といこい,観る,"","","","","",1410001,東京都,品川区,"",北品川4-7-25,"",35.621822,139.735863,昭和13年建造の旧原邸を改装し、昭和54年に現代美術専門館として開館。各種イベントを通して国内外の現代美術を紹介している。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/02_01_hyakkei.jpg,"","","","","","",原美術館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
桜の名所の御殿山,"",百景,花と緑,観る,"","","","","",1410001,東京都,品川区,"",北品川1-21-8,"",35.6224026,139.7410154,江戸時代、桜の名所として名高かった御殿山。現在では御殿山通り沿いや御殿山トラストシティに多くの桜が植えられている。,"","","","","","","","","","","","","","","",桜の名所の御殿山,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
東海寺大山墓地,"",百景,歴史の足跡、鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川4-11-8,"",35.617092,139.735716,京浜東北線、山手線、山手通りに囲まれる。国指定文化財（史跡）の沢庵和尚、賀茂真淵の墓や天文学者・渋川春海、鉄道の父・井上勝、実業家・西村勝三の墓などがある。 ,"","","","","","","","","","","","","","","",東海寺大山墓地,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
清水稲荷神社,"",百景,鎮守の森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川5-9-18,"",35.619125,139.7341105,傍らに清水がわき出ていたことにその名を発する。朱塗りの鳥居と大イチョウ、そして背後に見える高層ビル、新旧の対照が印象的。 ,"","","","","","","","","","","","","","","",清水稲荷神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
利田神社と鯨塚,"",百景,歴史の足跡、鎮守と森と祭り,観る,"","","","","",1400002,東京都,品川区,"",東品川1-7-17,"",35.6211,139.7423875,沢庵和尚が弁財天を祀(まつ)ったのが神社の始まりとの伝説がある。境内の鯨塚は、寛政10年（1798）に品川沖に迷い込んだ一頭の大鯨とその事件のてんまつを伝えている。 ,"","","","","","","","","","","","","","","",利田神社と鯨塚,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
寄木神社,"",百景,鎮守の森と祭り,観る,"","","","","",1400002,東京都,品川区,"",東品川1-35-8,"",35.6180061,139.7458097,猟師町の鎮守。本殿の2枚の扉に江戸後期から明治時代に活躍した左官の名工、伊豆長八作の漆喰鏝(こて)絵が描かれている。江戸漁業根元之碑には品川浦の歴史が刻まれている。,"","","","","","","","","","","","","","","",寄木神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
天王洲公園野球場とナイター,"",百景,文化といこい、古い顔・新しい顔,観る,"","","","","",1400002,東京都,品川区,"",東品川2-6,"",35.6192282,139.7493843,品川の「草野球のメッカ」とも呼ばれる。昭和54年に照明灯を設置。その後、天王洲地区の再開発事業に伴い、平成6年に現在の地で全面開園した。,"","","","","","","","","","","","","","","",天王洲公園野球場とナイター,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
元なぎさ通り沿いの大きな柱が印象的な建物,"",百景,文化といこい、古い顔・新しい顔,観る,"","","","","",1400002,東京都,品川区,"",東品川4-10-1 ,"",35.607982,139.74576,丸みのある大きな柱が印象的なスポーツ施設。アリーナ、プール、ランニングトラックをはじめ、テニスやゴルフの設備も整った都内でも最大級の施設。,"","","","","","","","","","","","","","","",元なぎさ通り沿いの大きな柱が印象的な建物,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
妙蓮寺・高木正年の墓,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400002,東京都,品川区,"",東品川4-10-1,"",35.6079823,139.7457602,失明しながらも明治から昭和時代にかけて国政に尽くした品川出身の政治家、高木正年の墓や、江戸時代、由井正雪の乱に加わった丸橋忠弥の首塚がある。 ,"","","","","","","","","","","","","","","",妙蓮寺・高木正年の墓,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
天妙国寺の山門と無縁仏,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川2-8-23,"",35.6121706,139.7433768,一際目立つ朱塗りの山門。広々とした境内の正面には、18世紀中頃に再建された本堂。無縁仏を供養する無縁塔は本堂の北側にある。,"","","","","","","","","","","","","","","",天妙国寺の山門と無縁仏,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
天妙国寺の墓地,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川2-8-23,"",35.6121706,139.7433768,明治時代の浪曲師、桃中軒雲右衛門(とうちゅうけんくもえもん)や一刀流の祖、伊藤一刀斎、歌舞伎で有名な斬られ与三郎のモデルとなった吉村伊三郎等の墓がある。 ,"","","","","","","","","","","","","","","",天妙国寺の墓地,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川寺,"",百景,鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川3-5-17,"",35.6096764,139.7435325,平安時代に開創、品川で一番古い寺と伝えられている。江戸六地蔵、洋行帰りの鐘も百景に選定。山門すぐ右脇の大イチョウは推定樹齢600年で、区の天然記念物。,"","","","","","","","","","","","","","","",品川寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川寺の江戸六地蔵,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川3-5-17,"",35.6096764,139.7435325,旧東海道を歩いていると突然現れ、その大きさに圧倒される銅造りの地蔵菩薩坐像。宝永5年（1708）造立の江戸六地蔵の一つであり、東京都文化財（彫刻）に指定されている。,"","","","","","","","","","","","","","","",品川寺の江戸六地蔵,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川寺の梵鐘,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川3-5-17,"",35.6096764,139.7435325,慶応3年(1867)パリ万国博に出品の後行方不明になり、昭和5年スイスから返還された「洋行帰りの鐘」。この縁から、スイス・ジュネーヴ市は平成3年に友好都市提携を結んだ。 ,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/03_01_hyakkei.jpg,"","","","","","",品川寺の梵鐘,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
海雲寺と千躰荒神,"",百景,鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川3-5-21,"",35.6090515,139.7439769,江戸時代から「品川の荒神さん」として広く親しまれ、台所の防火の神として厚い信仰を集めている。大祭は3月と11月の27、28日。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/03_02_hyakkei.jpg,"","","","","","",海雲寺と千躰荒神,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
清光院と奥平家墓地,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400004,東京都,品川区,"",南品川4-2-35,"",35.6153006,139.7387214,約600㎡という都内でも有数の広さの奥平家の墓域。瓦を土でかためた土塀や入り口の石門には、江戸時代の姿がしのばれる。区指定史跡。,"","","","","","","","","","","","","","","",清光院と奥平家墓地,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
エンジュの並木のゼームス坂通り,"",百景,花と緑、古い顔・新しい顔,観る,"","","","","",1400004,東京都,品川区,"",南品川6-6-7,"",35.6117233,139.7399187,明治時代、英国人ゼームスが私財を投じて穏やかな坂に改修したことから、この名が付けられた。エンジュは通りの両側に植えられ、花時の7月頃は、白並木が見られる。,"","","","","","","","","","","","","","","",エンジュの並木のゼームス坂通り,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
二日市公園,"",百景,文化といこい,観る,"","","","","",1400004,東京都,品川区,"",南品川6-7-15,"",35.6114412,139.7390672,室町時代末期頃に、二と五の日に市が開かれていたことから二日五日市村となったことに由来する。オープンスペースを生かした開放的な公園。,"","","","","","","","","","","","","","","",二日市公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
赤レンガ造りの旧変電所,"",百景,古い顔・新しい顔,観る,"","","","","",1400005,東京都,品川区,"",広町1-6,"",35.6116259,139.7347885,ＪＲ東日本東京総合車両センターの一角、京浜東北線線路の脇にある赤レンガが印象的な建物。大正年間に建造されたといわれる。,"","","","","","","","","","","","","","","",赤レンガ造りの旧変電所,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
花房山の桜並木,"",百景,花と緑,観る,"","","","","",1410021,東京都,品川区,"",上大崎3-10-41,"",35.6310925,139.7171031,城南五山の一つと呼ばれた花房山の一角にある。付近は閑静な住宅街。桜の開花の頃は、付近を走るJR線の車窓からピンクに彩られた並木が目を引く。,"","","","","","","","","","","","","","","",花房山の桜並木,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
清泉女子大学（旧島津公爵邸）,"",百景,歴史の足跡、花と緑、文化といこい,観る,"","","","","",1410022,東京都,品川区,"",東五反田3-16-21,"",35.6276822,139.7286883,大正4年竣工の旧島津公爵邸は、鹿鳴館やニコライ堂等を手がけたイギリス人コンドルによる設計で、大正初期の洋風建築物として貴重。現在は清泉女子大学の本館として使用。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/02_03_hyakkei.jpg,"","","","","","",清泉女子大学（旧島津公爵邸）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
池田山公園,"",百景,花と緑、文化といこい,観る,"","","","","",1410022,東京都,品川区,"",東五反田5-4-35,"",35.6325647,139.7234275,旧岡山藩池田家の下屋敷の一部を含めて区立公園として整備。池田山の自然な高低差を巧みにとり入れた、回遊式の日本庭園。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/02_04_hyakkei.jpg,"","","","","","",池田山公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
五反田公園の桜並木,"",百景,花と緑、文化といこい,観る,"","","","","",1410022,東京都,品川区,"",東五反田5-25-1,"",35.6280236,139.7241554,駅のすぐ近くの高低差を生かした小さな公園。池田山の散策路の一つで、歩行者専用の石畳の坂道は桜並木となっている。,"","","","","","","","","","","","","","","",五反田公園の桜並木,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
かむろ坂,"",百景,花と緑,観る,"","","","","",1410031,東京都,品川区,"",西五反田4-31-23,"",35.6270846,139.7137924,坂の名は、歌舞伎「浮世柄比翼稲妻」(うきよつかひよくのいなづま)にもなっている白井権八と相愛の小紫に仕えた侍女(かむろ)の悲話に由来する。春は桜並木が美しい。 ,"","","","","","","","","","","","","","","",かむろ坂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
氷川神社とわき水,"",百景,鎮守の森と祭り,観る,"","","","","",1410031,東京都,品川区,"",西五反田5-6-2,"",35.6246924,139.7158107,桐ヶ谷村の総鎮守。この辺りは武蔵野台地の末端にあたり、湧水が多くあった。一時枯渇した湧水も改修工事によって復活し、手水舎として使われている。 ,"","","","","","","","","","","","","","","",氷川神社とわき水,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大崎副都心の街並み,"",百景,古い顔・新しい顔,観る,"","","","","",1410032,東京都,品川区,"",大崎1-6-2,"",35.6209385,139.7291747,昭和57年、東京の副都心の一つに位置づけられた大崎駅周辺地区。大崎ニューシティ、ゲートシティ大崎と順次再開発が進み、東五反田地区、大崎駅西口地区へと副都心の街並みが続く。,"","","","","","","","","","","","","","","",大崎副都心の街並み,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
居木神社と居木橋貝塚,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1410032,東京都,品川区,"",大崎3-8-20,"",35.6198608,139.7251111,大崎の鎮守。江戸時代初期に目黒川の水害を避けるためにこの地に移転。居木橋遺跡（貝塚）は、縄文時代前期の遺跡で、現在はその上に住宅が建っている。,"","","","","","","","","","","","","","","",居木神社と居木橋貝塚,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
八幡神社,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400011,東京都,品川区,"",東大井1-20-10,"",35.6046687,139.7422995,参道に「町内猟師中」と書かれた石造の狛犬や地元猟師が寄進した石灯籠などがあり、鮫洲の猟師町の鎮守として厚い信仰が寄せられていたことがうかがえる。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/03_03_hyakkei.jpg,"","","","","","",八幡神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
しながわ花海道と船だまり,"",百景,古い顔・新しい顔,観る,"","","","","",1400011,東京都,品川区,"",東大井2-26-18,"",35.5980076,139.7409233,平成14年に地元商店街が中心となって「勝島運河の土手をお花畑にしよう」と、しながわ花海道プロジェクトが始まった。運河の土手約2kmにわたり春は菜の花、秋はコスモスが訪れる人を楽しませる。,"","","","","","","","","","","","","","","",しながわ花海道と船だまり,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
来福寺の境内,"",百景,花と緑、鎮守の森と祭り,観る,"","","","","",1400011,東京都,品川区,"",東大井3-13-1,"",35.601805,139.7376721,正暦元年(990)開山の古寺。鮫洲を見下ろす高台にあり、庭園風に整備された境内が美しい。「世の中は三日見ぬ間に桜かな」。江戸時代中期の俳人、雪中庵寥太の句碑がある。,"","","","","","","","","","","","","","","",来福寺の境内,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
鈴ヶ森刑場跡と大経寺,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400013,東京都,品川区,"",南大井2-5-6,"",35.5921478,139.7366505,鈴ヶ森は慶安4年(1651)に江戸幕府が設けた小塚原と並ぶ刑場。明治4年に廃止されるまで、天一坊、八百屋お七など、歌舞伎や講談に登場する人物もここで処刑されたという。 ,"","","","","","","","","","","","","","","",鈴ヶ森刑場跡と大経寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
しながわ区民公園,"",百景,花と緑、文化といこい,観る,"","","","","",1400012,東京都,品川区,"",勝島3-2-2,"",35.5928005,139.7386532,「花とひろばと水と緑の公園」をテーマに勝島運河を埋め立てて造った、区立では都内有数の規模の公園。昭和62年に全面開園。園内にはしながわ水族館もある。,"","","","","","","","","","","","","","","",しながわ区民公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大井の水神社,"",百景,鎮守の森と祭り,観る,"","","","","",1400013,東京都,品川区,"",南大井5-14-9,"",35.5956667,139.7330283,江戸時代から「柳の清水」として知られ、水不足に悩んだ大井村の人々が雨乞いをする信仰行事が明治時代まで続いた。区指定史跡。 ,"","","","","","","","","","","","","","","",大井の水神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大井水神公園,"",百景,文化といこい,観る,"","","","","",1400013,東京都,品川区,"",南大井6-15-11,"",35.5897562,139.7292483,東海道線沿いに約800m続く細長い公園。園内には桜が多く植えられ、満開の桜の下で春を謳歌する人々でにぎわう。 ,"","","","","","","","","","","","","","","",大井水神公園,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大井競馬場とトゥインクルレース,"",百景,古い顔・新しい顔,観る,"","","","","",1400012,東京都,品川区,"",勝島2-1,"",35.5908759,139.7421836,春から秋に行われるトゥインクルレースは、日本初のナイター競馬。美しいカクテル光線と疾走する馬、ファンファーレとひづめの音、夕涼みには絶好の場所として人気が高い。,"","","","","","","","","","","","","","","",大井競馬場とトゥインクルレース,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大井競馬場前駅と運河、モノレール,"",百景,古い顔・新しい顔,観る,"","","","","",1400012,東京都,品川区,"",勝島1-5-21,"",35.5965364,139.7460275,すっきりとしたラインを描いて運河の上を走るモノレールは、東京五輪の年（昭和39年）、浜松町〜羽田間に開通した。京浜運河の上に造られたチロル風の駅舎は磯の香りが漂う。 ,"","","","","","","","","","","","","","","",大井競馬場前駅と運河、モノレール,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
「平和の誓い」像,"",百景,古い顔・新しい顔,観る,"","","","","",1400014,東京都,品川区,"",大井1-2-1,"",35.6061821,139.7348915,非核平和都市品川宣言1周年を記念して昭和60年に建立されたブロンズ像。広島の「平和の灯」と長崎の「誓いの火」を合わせて点火した「誓いの灯」とともに、品川区の平和のシンボル。,"","","","","","","","","","","","","","","",「平和の誓い」像,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大井どんたく夏祭り<8月>,"",百景,鎮守の森と祭り,観る,"","","","","",1400014,東京都,品川区,"",大井1-50,"",35.6066015,139.7326916,昭和28年に大井町に出店した百貨店が地域活性化のために始めた。今は地元商店街を中心とする実行委員会が8月下旬に開催。盆踊りの他、様々な催し物が繰り広げられる。,"","","","","","","","","","","","","","","",大井どんたく夏祭り<8月>,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川歴史館,"",百景,歴史の足跡、文化といこい,観る,"","","","","",1400014,東京都,品川区,"",大井6-11-1,"",35.5967333,139.7301566,郷土資料の保存と区民文化の向上を目的に、昭和60年開館。常設展示では東海道第一の宿場として栄えた品川宿の町並みを模型で再現している。,"","","","","","","","","","","","","","","",品川歴史館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
鹿嶋神社,"",百景,鎮守の森と祭り,観る,"","","","","",1400014,東京都,品川区,"",大井6-18-36,"",35.59535,139.7300952,大井村の総鎮守として安和2年（969）に常陸国の鹿嶋神社を勧請して創建された。境内のタブノキやアカガシは区の天然記念物。,"","","","","","","","","","","","","","","",鹿嶋神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
大森貝塚,"",百景,歴史の足跡、文化といこい,観る,"","","","","",1400014,東京都,品川区,"",大井6-21,"",35.5937946,139.7296897,明治10年、エドワード・S・モース博士により発掘。現在は日本考古学発祥の地を記念する「大森貝塚遺跡庭園」として整備されている。国指定史跡。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/04_01_hyakkei.jpg,"","","","","","",大森貝塚,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
西大井駅とその周辺,"",百景,古い顔・新しい顔,観る,"","","","","",1400015,東京都,品川区,"",西大井1-3,"",35.6016406,139.7219703,昭和61年開業。再開発によって、コアスターレ西大井、ジェイタワー西大井が誕生した。駅前広場には「平和の誓い」像が設置され周囲にはカンナが植えられている。,"","","","","","","","","","","","","","","",西大井駅とその周辺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
養玉院（如来寺）,"",百景,歴史の足跡、鎮守の森と祭り,観る,"","","","","",1400015,東京都,品川区,"",西大井5-22-25,"",35.5968439,139.7174766,明治41年に現在の地に移転。「大井の大仏」として親しまれ、瑞應殿に安置されている「大仏」と呼ばれる五智如来坐像をはじめとして、文化財が多くある。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/04_02_hyakkei.jpg,"","","","","","",養玉院（如来寺）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
