設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
他の法人,さくら下高井戸ハウス,-,杉並区,-,-,-,-,13
他の法人,さくら浜田山ハウス,-,杉並区,-,-,-,-,16
社福法人,東京望みの門,-,杉並区,-,-,-,-,5
他の法人,ふるさと上池ハウス,170-0012,豊島区上池袋１－１８－２７,139.721751,35.734451,JGD2011,03-6903-5054,26
他の法人,東池袋荘,170-0013,豊島区東池袋２－３７－１１,139.72192,35.73227,JGD2011,03-5956-7769,20
社福法人,やまて寮,171-0022,豊島区南池袋４－１８－９,139.72029,35.72435,JGD2011,03-3987-2352,48
他の法人,ちとせ橋寮,171-0032,豊島区雑司ヶ谷３－８－１６,139.71306,35.72149,JGD2011,03-5985-5805,48
他の法人,さくら千早ハウス,171-0044,豊島区千早３－３１－８,139.68825,35.7344,JGD2011,03-3956-0277,14
他の法人,長崎荘,171-0051,豊島区長崎４－３５－１,139.68503,35.73136,JGD2011,03-5986-9959,16
社福法人,ハピーテラス,-,豊島区,-,-,-,-,10
他の法人,やすらぎの里東十条,114-0001,北区東十条５－７－６,139.72714,35.76912,JGD2011,03-3902-2983,69
他の法人,中里荘,114-0015,北区中里２－６－３,139.7505,35.73836,JGD2011,03-5961-6299,28
他の法人,ライズケア赤羽,115-0055,北区赤羽西１－３２－７,139.71693,35.77683,JGD2011,03-3905-6781,65
社福法人,アイリス・ハート,-,北区,-,-,-,-,14
事務組合,赤羽荘,-,北区,-,-,-,-,46
他の法人,町屋荘,116-0001,荒川区町屋１－３０－２,139.78526,35.74571,JGD2011,03-5901-4433,17
他の法人,ふるさと町屋荘,116-0001,荒川区町屋８－１４－１１,139.78679,35.74811,JGD2011,03-6807-8148,16
他の法人,さくら荒川ハウス,116-0002,荒川区荒川２－２－２,139.78339,35.73626,JGD2011,03-3807-4575,24
他の法人,シルバービレッジ,173-0004,板橋区板橋１－４７－１０,139.71838,35.74858,JGD2011,03-5943-2320,46
他の法人,向原荘,173-0036,板橋区向原１－２０－３,139.68579,35.74322,JGD2011,03-5917-6765,24
他の法人,高島平荘,175-0082,板橋区高島平１－５９－１０,139.67181,35.78559,JGD2011,03-5921-0018,55
他の法人,貫井荘,176-0021,練馬区貫井１－２３－６,139.63245,35.73801,JGD2011,03-5987-0856,22
他の法人,さくら関町南ハウス,177-0053,練馬区関町南４－１３－５,139.57396,35.72008,JGD2011,03-3920-3077,34
他の法人,大泉荘,178-0061,練馬区大泉学園町３－３－２６,139.58669,35.7623,JGD2011,03-5905-6077,16
社福法人,聖家族寮,-,練馬区,-,-,-,-,12
他の法人,ＳＷワーク花畑寮,121-0062,足立区南花畑１－１８－１８,139.82616,35.78919,JGD2011,03-5242-5144,6
他の法人,さくら西新井ハウス,121-0815,足立区島根３－２７－２１,139.79269,35.78055,JGD2011,03-3850-2013,22
他の法人,鹿浜荘,123-0864,足立区鹿浜２－１５－９,139.74611,35.78111,JGD2011,03-5837-3975,33
事務組合,綾瀬荘,-,足立区,-,-,-,-,75
他の法人,あさひ　第一西亀有寮,124-0002,葛飾区西亀有２－３３－１４,139.83453,35.75999,JGD2011,03-6231-2934,8
他の法人,あさひ　第１西水元寮,125-0032,葛飾区水元３－３６－１,139.86134,35.78081,JGD2011,03-6231-3946,7
他の法人,さくら金町ハウス,125-0033,葛飾区東水元３－４－５,139.86632,35.78334,JGD2011,03-3608-3480,12
他の法人,金町荘,125-0041,葛飾区東金町５－３９－７,139.88025,35.77842,JGD2011,03-5648-3650,39
営利法人,立花荘,125-0054,葛飾区高砂２－１５－３,139.86583,35.74993,JGD2011,03-5889-8670,23
営利法人,第二立花荘,125-0054,葛飾区高砂３－２８－７,139.86949,35.74727,JGD2011,03-5889-8553,30
営利法人,第三立花荘,125-0054,葛飾区高砂３－２８－８,139.86949,35.74727,JGD2011,03-6657-9351,19
他の法人,青戸荘,125-0062,葛飾区青戸８－３－８,139.85005,35.75608,JGD2011,03-5650-3590,75
他の法人,瑞江荘,132-0015,江戸川区西瑞江３－１７－１７,139.89177,35.68668,JGD2011,03-5636-2822,43
他の法人,サンビレッジ東小岩,133-0052,江戸川区東小岩３－７－７,139.89142,35.73197,JGD2011,03-3658-8983,29
他の法人,サンビレッジ南小岩,133-0056,江戸川区南小岩７－２９－１６　第二山喜ビル,139.88391,35.73183,JGD2011,03-3671-7821,6
他の法人,葛西荘,134-0084,江戸川区東葛西７－１３－１７,139.87631,35.65934,JGD2011,03-5679-3372,49
他の法人,西葛西荘,134-0088,江戸川区西葛西２－２０－２,139.85443,35.66657,JGD2011,03-3804-7570,29
他の法人,船堀荘,134-0091,江戸川区船堀３－２－２２,139.86316,35.6821,JGD2011,03-3686-8552,30
他の法人,サンビレッジ平井,-,江戸川区,-,-,-,-,13
他の法人,八王子荘,192-0012,八王子市左入町４１４－１,139.34378,35.68782,JGD2011,042-696-6822,62
他の法人,ブランベルセ八王子,192-0064,八王子市田町３－１５,139.33643,35.66617,JGD2011,042-649-7620,54
他の法人,さくら第２八王子ハウス,-,八王子市,-,-,-,-,86
他の法人,さくら八王子ハウス,-,八王子市,-,-,-,-,50
他の法人,八王子ドゥーム,-,八王子市,-,-,-,-,34
他の法人,八王子ドゥーム2,-,八王子市,-,-,-,-,37
他の法人,すみれハイツ,-,八王子市,-,-,-,-,20
他の法人,ル・シェール八王子,-,八王子市,-,-,-,-,22
他の法人,ル・シェール八王子2,-,八王子市,-,-,-,-,37
他の法人,立川第２荘,190-0013,立川市富士見町４－１５－１４,139.39961,35.69511,JGD2011,042-521-0855,57
他の法人,さくら立川ハウス,190-0022,立川市錦町６－９－８,139.41768,35.6885,JGD2011,042-524-7681,14
他の法人,さくら立川錦町ハウス,190-0022,立川市錦町６－２－５,139.41811,35.68947,JGD2011,042-527-1838,52
営利法人,グッドライフ三鷹寮,181-0014,三鷹市野崎４－４－２３,139.54076,35.68024,JGD2011,0422-34-0668,25
他の法人,三鷹荘,181-0015,三鷹市大沢１－１－５０,139.54054,35.67792,JGD2011,0422-39-7213,69
他の法人,さくら三鷹ハウス,-,三鷹市,-,-,-,-,33
他の法人,青梅荘,198-0043,青梅市千ケ瀬町３－４９０,139.26949,35.78294,JGD2011,0428-20-5228,55
他の法人,さくら青梅ハウス,-,青梅市,-,-,-,-,46
他の法人,さくら府中南ハウス,183-0036,府中市日新町４－２３－１０,139.48795,35.69326,JGD2011,042-361-0271,19
他の法人,府中荘,183-0042,府中市武蔵台２－１５－８,139.46347,35.69298,JGD2011,042-359-5750,23
他の法人,天神荘,183-0053,府中市天神町１－１３－４２,139.48711,35.67974,JGD2011,042-314-2702,18
営利法人,グッドライフ調布寮,182-0012,調布市深大寺東町１－２６－５,139.55788,35.67124,JGD2011,042-480-5730,50
他の法人,町田荘,194-0045,町田市南成瀬４－１９－１５,139.47742,35.53862,JGD2011,042-721-8499,26
他の法人,町田第２荘,194-0045,町田市南成瀬７－６－１２,139.48062,35.5341,JGD2011,042-710-3078,20
他の法人,町田図師荘,194-0203,町田市図師町６１５－７,139.41943,35.58226,JGD2011,042-792-9449,51
他の法人,梶野町第二荘,184-0002,小金井市梶野町２－１６－６,139.52924,35.70932,JGD2011,042-236-5572,21
他の法人,梶野町荘,184-0002,小金井市梶野町２－１６－７,139.52924,35.70932,JGD2011,042-259-0630,16
他の法人,小金井荘,184-0002,小金井市梶野町４－１０－２３,139.52699,35.70747,JGD2011,042-250-0550,16
他の法人,東小金井荘,184-0002,小金井市梶野町４－１０－２４,139.52699,35.70747,JGD2011,042-255-5744,12
他の法人,さくら東小金井ハウス,184-0011,小金井市東町４－２０－２２,139.52505,35.6959,JGD2011,042-382-7316,54
他の法人,サンハイツ貫井南,184-0014,小金井市貫井南町４－１４－８,139.49466,35.69549,JGD2011,042-383-3993,69
他の法人,小平荘,187-0002,小平市花小金井８－２８－１,139.50586,35.73142,JGD2011,042-450-6776,45
他の法人,花小金井ハイツ,187-0002,小平市花小金井６－２０－３,139.51057,35.73022,JGD2011,042-451-4015,23
他の法人,花小金井ハイツ2,187-0002,小平市花小金井６－２０－３,139.51057,35.73022,JGD2011,042-451-4015,20
他の法人,日野荘,191-0013,日野市宮２６９－１,139.40596,35.67052,JGD2011,042-589-3062,17
他の法人,旭が丘ハイツ,191-0065,日野市旭が丘２－３２－８,139.37054,35.66238,JGD2011,042-581-1622,31
他の法人,日野第二荘,-,日野市,-,-,-,-,42
他の法人,ベル１０１,-,日野市,-,-,-,-,16
他の法人,ベル１０１（2）,-,日野市,-,-,-,-,20
他の法人,ドーミー久米川,189-0014,東村山市本町１－９－１１,139.46751,35.75204,JGD2011,042-306-1899,38
他の法人,ドーミー久米川２,189-0014,東村山市本町１－９－１１,139.46751,35.75204,JGD2011,042-306-1899,20
他の法人,さくら国分寺ハウス,185-0022,国分寺市東元町３－３０－７,139.47731,35.69675,JGD2011,042-326-1507,19
他の法人,さくら国立ハウス,186-0003,国立市富士見台３－８－１５,139.43806,35.68604,JGD2011,042-575-0761,27
他の法人,さくら滝山ハウス,203-0033,東久留米市滝山７－１－２２,139.50836,35.74975,JGD2011,042-476-0720,54
他の法人,芝久保ハイツ,188-0014,西東京市芝久保町４－２－９,139.52798,35.73027,JGD2011,042-468-1625,29
他の法人,芝久保ハイツ２,188-0014,西東京市芝久保町４－２－９,139.52798,35.73027,JGD2011,042-468-1625,20
他の法人,イクソス（ひばりが丘）,-,西東京市,-,-,-,-,12
他の法人,イクソス（ひばりが丘２）,-,西東京市,-,-,-,-,29
他の法人,Ａｒｋひばりが丘,-,西東京市,-,-,-,-,5
他の法人,イクソス（ひばりが丘３）,-,西東京市,-,-,-,-,6
公益法人,女性の家ＨＥＬＰ,-,-,-,-,-,-,12
