区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／比（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／比（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／比（％）
〔就業者の主な産業別内訳〕／建設業,472,461,11,2.4,393,378,15,4,80,82,-2,-2.4
〔就業者の主な産業別内訳〕／製造業,911,850,61,7.2,638,591,47,8,274,259,15,5.8
〔就業者の主な産業別内訳〕／情報通信業,533,471,62,13.2,414,350,64,18.3,119,120,-1,-0.8
〔就業者の主な産業別内訳〕／運輸業,375,348,27,7.8,309,286,23,8,66,62,4,6.5
〔就業者の主な産業別内訳〕／卸売・小売業,1202,1159,43,3.7,625,613,12,2,577,545,32,5.9
〔就業者の主な産業別内訳〕／金融・保険業,217,208,9,4.3,123,111,12,10.8,95,97,-2,-2.1
〔就業者の主な産業別内訳〕／不動産業,208,187,21,11.2,123,114,9,7.9,85,74,11,14.9
〔就業者の主な産業別内訳〕／飲食店，宿泊業,404,400,4,1,187,185,2,1.1,216,215,1,0.5
〔就業者の主な産業別内訳〕／医療，福祉,490,458,32,7,140,122,18,14.8,351,335,16,4.8
〔就業者の主な産業別内訳〕／教育，学習支援業,272,310,-38,-12.3,143,149,-6,-4,129,161,-32,-19.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1225,1210,15,1.2,681,649,32,4.9,544,561,-17,-3
〔雇用者の主な産業別内訳〕／建設業,399,374,25,6.7,328,305,23,7.5,71,70,1,1.4
〔雇用者の主な産業別内訳〕／製造業,842,783,59,7.5,593,548,45,8.2,250,235,15,6.4
〔雇用者の主な産業別内訳〕／情報通信業,516,460,56,12.2,402,342,60,17.5,114,118,-4,-3.4
〔雇用者の主な産業別内訳〕／運輸業,333,309,24,7.8,269,252,17,6.7,65,58,7,12.1
〔雇用者の主な産業別内訳〕／卸売・小売業,1098,1054,44,4.2,564,547,17,3.1,534,507,27,5.3
〔雇用者の主な産業別内訳〕／金融・保険業,213,206,7,3.4,120,110,10,9.1,93,96,-3,-3.1
〔雇用者の主な産業別内訳〕／不動産業,183,169,14,8.3,108,103,5,4.9,75,67,8,11.9
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,334,321,13,4,154,153,1,0.7,180,168,12,7.1
〔雇用者の主な産業別内訳〕／医療，福祉,440,411,29,7.1,109,90,19,21.1,330,321,9,2.8
〔雇用者の主な産業別内訳〕／教育，学習支援業,247,275,-28,-10.2,134,141,-7,-5,113,134,-21,-15.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1030,1020,10,1,558,533,25,4.7,472,488,-16,-3.3
〔非農林業雇用者の従業者規模別内訳〕／総数,5967,5716,251,4.4,3575,3360,215,6.4,2393,2356,37,1.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1886,1871,15,0.8,1105,1066,39,3.7,781,805,-24,-3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1824,1813,11,0.6,1067,1064,3,0.3,757,750,7,0.9
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1783,1582,201,12.7,1120,948,172,18.1,663,634,29,4.6
〔完全失業率（年齢階級別）(%)〕／総数,4.4,4.3,0.1,,4.6,4.9,-0.3,,4.3,3.5,0.8,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8.1,5.8,2.3,,8.9,6.9,2,,7.2,4.6,2.6,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.5,5.7,-0.2,,6.5,6.1,0.4,,4.2,5.1,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.8,3.8,0,,3.5,4.3,-0.8,,4.5,2.9,1.6,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.5,3.6,-0.1,,2.7,3.6,-0.9,,4.6,3.7,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4,4.1,-0.1,,4.5,5.4,-0.9,,3.1,2,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.7,2.1,0.6,,2.9,3.2,-0.3,,2.2,0.5,1.7,
〔労働力人口比率(%)〕／総数,62.6,61.6,1,,76.2,74.4,1.8,,49.2,49.2,0,
,,,,,,,,,,,,
東京の労働力統計データ（平成19年１～３月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成19年１～３月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
