"年月[西暦]","調査項目","設問","考え","調査回答者の属性種別","調査回答者の属性","調査数[人]","そう思う[人]","ややそう思う[人]","どちらともいえない[人]","あまり思わない[人]","思わない[人]","無回答[人]"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 18～29歳","26","2","1","1","6","15","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 30～39歳","49","0","3","4","13","28","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 40～49歳","78","0","2","6","18","49","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 50～59歳","62","2","0","3","9","45","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 60～69歳","56","0","2","5","10","33","6"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 70歳以上","42","0","0","6","4","27","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","無回答","14","0","0","0","1","2","11"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","自営業主・家族従業","86","3","4","13","9","50","7"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","会社員・団体職員・公務員","243","3","8","17","70","135","10"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","アルバイト・パートタイマー","35","1","0","4","7","21","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","家事専業","55","0","1","5","8","38","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","学生","13","1","1","3","2","5","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","無職","81","1","3","8","17","44","8"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","その他","31","0","0","3","4","21","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","職業別","無回答","14","0","0","2","0","1","11"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","芝地区","86","2","2","11","16","50","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","麻布地区","87","2","5","8","17","50","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","赤坂地区","81","1","3","7","17","46","7"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","高輪地区","146","2","4","15","33","83","9"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","芝浦港南地区","139","2","3","12","34","79","9"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","居住地区別","無回答","19","0","0","2","0","7","10"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","持家（一戸建）","64","1","4","10","10","33","6"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","持家（マンション）","267","2","6","27","63","155","14"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","借家（一戸建）","9","0","0","0","0","9","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","民間の賃貸マンション・アパート","151","4","4","11","32","90","10"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","都営住宅・区営住宅・区立住宅","26","1","3","3","4","13","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","0","0","0","6","4","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","社宅・公務員宿舎","10","1","0","2","1","6","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","0","0","1","2","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","その他","5","0","0","2","0","3","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","住居形態別","無回答","11","0","0","0","0","0","11"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","ずっと住み続けていたい","279","6","9","32","58","153","21"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","当分は住んでいたい","203","3","4","22","40","118","16"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","0","3","0","11","28","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","0","0","2","2","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","近いうちに区外に転居する予定である","13","0","1","1","3","6","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","わからない","10","0","0","0","3","6","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","定住意向別","無回答","3","0","0","0","0","2","1"

"第33回港区民世論調査クロス集計表・自殺対策Q30-4","Ver202203",,,,,,,,,,,
