1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
28,1,1,バス通学定期代,7,0.0,-87.5,-,-,-,-,49,0.0,-,-,-,-,-,-,-,-
29,1,1,バス通勤定期代,34,0.0,-64.6,-,-,237,0.1,-,-,-,-,-,-,-,-,-,-
30,1,1,タクシー代,761,0.2,95.6,168,0.2,287,0.2,648,0.3,166,0.1,452,0.1,1479,0.3,2109,0.3
31,1,1,航空運賃,457,0.1,9.1,-,-,-,-,-,-,809,0.3,-,-,565,0.1,1810,0.2
32,1,1,郵便料,326,0.1,-19.1,78,0.1,167,0.1,202,0.1,424,0.1,342,0.1,330,0.1,734,0.1
33,1,1,固定電話通信料,1338,0.4,-2.7,697,0.6,1419,0.8,1531,0.7,1358,0.5,1415,0.4,1594,0.4,1339,0.2
34,1,1,携帯電話通信料,9439,2.8,-6.5,3786,3.4,6506,3.7,7478,3.2,11451,3.9,9854,2.8,13246,3.0,13634,1.7
35,1,1,ＮＨＫ放送受信料,1032,0.3,46.8,497,0.4,925,0.5,781,0.3,736,0.3,2458,0.7,1053,0.2,755,0.1
36,1,1,ケーブルテレビ放送受信料,1198,0.3,5.4,502,0.5,976,0.5,713,0.3,1454,0.5,1180,0.3,2065,0.5,1476,0.2
37,1,1,他の放送受信料,253,0.1,105.7,8,0.0,179,0.1,260,0.1,507,0.2,178,0.1,167,0.0,465,0.1
38,1,1,国公立小学校,175,0.1,19.9,-,-,26,0.0,221,0.1,53,0.0,239,0.1,456,0.1,229,0.0
39,1,1,国公立中学校,131,0.0,-53.4,-,-,-,-,133,0.1,107,0.0,24,0.0,428,0.1,227,0.0
40,1,1,国公立高校,41,0.0,41.4,-,-,24,0.0,-,-,-,-,-,-,105,0.0,155,0.0
41,1,1,国公立大学,41,0.0,-93.8,-,-,-,-,-,-,-,-,-,-,-,-,282,0.0
42,1,1,たばこ,912,0.3,-5.5,228,0.2,339,0.2,1464,0.6,1568,0.5,802,0.2,1673,0.4,314,0.0
43,2,0,準公共料金等,28180,8.2,15.4,4906,4.4,10415,5.9,19668,8.4,16841,5.8,34615,9.9,21694,5.0,88294,11.1
44,2,1,牛乳,1352,0.4,3.1,862,0.8,1321,0.7,968,0.4,1342,0.5,1273,0.4,1498,0.3,2185,0.3
45,2,1,灯油,972,0.3,-11.4,782,0.7,1189,0.7,1082,0.5,1411,0.5,926,0.3,354,0.1,1057,0.1
46,2,1,プロパンガス,590,0.2,24.2,267,0.2,659,0.4,724,0.3,525,0.2,947,0.3,226,0.1,771,0.1
47,2,1,理髪料,419,0.1,-0.2,77,0.1,328,0.2,267,0.1,293,0.1,750,0.2,730,0.2,482,0.1
48,2,1,パーマネント代,96,0.0,-38.9,258,0.2,118,0.1,-,-,101,0.0,139,0.0,55,0.0,-,-
49,2,1,洗濯代,388,0.1,80.5,224,0.2,245,0.1,394,0.2,112,0.0,351,0.1,772,0.2,613,0.1
50,2,1,新聞,2239,0.7,1.7,1716,1.5,1653,0.9,2085,0.9,2001,0.7,3229,0.9,2393,0.6,2581,0.3
51,2,1,私立小学校,121,0.0,...,-,-,-,-,-,-,-,-,-,-,850,0.2,-,-
52,2,1,私立中学校,856,0.2,-33.8,-,-,-,-,-,-,-,-,169,0.0,993,0.2,4788,0.6
53,2,1,私立高校,5314,1.6,180.9,-,-,-,-,65,0.0,-,-,638,0.2,706,0.2,35498,4.5
54,2,1,私立大学,3165,0.9,-7.3,-,-,-,-,-,-,-,-,-,-,2151,0.5,19846,2.5
55,2,1,幼児教育費用,737,0.2,-31.6,44,0.0,917,0.5,177,0.1,1070,0.4,147,0.0,495,0.1,2284,0.3
56,2,1,民営家賃,11220,3.3,8.6,506,0.5,3442,1.9,13262,5.7,9986,3.4,25290,7.2,10017,2.3,15801,2.0
57,2,1,地代,711,0.2,32.9,170,0.2,544,0.3,644,0.3,-,-,756,0.2,454,0.1,2388,0.3
