1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","",""
32,"2","基礎的支出",7986,2.2,-1.3,5021,2.0,6917,2.3,6898,2.1,8271,2.4,8312,2.2,8789,2.0,11706,2.3
33,"3","選択的支出",32917,9.1,7.3,17386,6.8,28858,9.6,39690,12.2,31415,9.1,31314,8.3,43477,9.9,38699,7.8
34,"1","教育",32066,8.8,11.3,14977,5.8,15153,5.0,19334,6.0,25852,7.5,33396,8.9,49304,11.2,66669,13.4
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",32066,8.8,11.3,14977,5.8,15153,5.0,19334,6.0,25852,7.5,33396,8.9,49304,11.2,66669,13.4
37,"1","教養娯楽",44495,12.3,12.7,28054,10.9,31054,10.3,39674,12.2,45868,13.3,50120,13.3,51284,11.7,65318,13.1
38,"2","基礎的支出",5799,1.6,10.2,4908,1.9,5913,2.0,5489,1.7,4860,1.4,6491,1.7,5579,1.3,7343,1.5
39,"3","選択的支出",38696,10.7,13.1,23146,9.0,25141,8.3,34185,10.5,41008,11.9,43629,11.6,45705,10.4,57974,11.6
40,"1","その他の消費支出",46907,12.9,-9.9,28205,11.0,39601,13.1,41982,12.9,40861,11.8,46874,12.5,55410,12.6,74865,15.0
41,"2","基礎的支出",18579,5.1,-11.1,15522,6.0,20275,6.7,18816,5.8,14719,4.3,16777,4.5,19992,4.5,23664,4.7
42,"3","選択的支出",28327,7.8,-9.1,12684,4.9,19326,6.4,23166,7.1,26141,7.6,30097,8.0,35418,8.1,51201,10.3
